,unnamed: 0,unnamed: 0,mth_day,black comedy,black comedy_norm,black comedy_ravg
90,90,90,03-31,6.307166517634378,-0.4052651957791379,0.15586875891338295
91,91,91,04-01,6.935502215372175,0.3918328972585236,0.08925154828822612
92,92,92,04-02,6.927151819184656,0.3812396985891756,0.17791252679291802
93,93,93,04-03,6.202606021147728,-0.5379092149820052,0.047386126279141495
94,94,94,04-04,7.546620415330525,1.1670891075314658,0.12676990947534902
95,95,95,04-05,6.064845340405276,-0.7126705349431747,0.183271393627033
96,96,96,04-06,6.682625939048138,0.07103750339810724,0.16319132212657642
97,97,97,04-07,7.202735820202731,0.7308418021686272,0.13475215292803314
98,98,98,04-08,6.832179625570829,0.260759269586436,-0.16399542514234744
99,99,99,04-09,6.068098019855052,-0.7085442301732648,-0.1175718665585692
100,100,100,04-10,6.1336417401541405,-0.6253963608908177,-0.3323946887669905
101,101,101,04-11,6.2844136419405165,-0.4341291834405052,-0.5727650478458082
102,102,102,04-12,5.666584005981159,-1.2178994298524204,-0.5626811199861542
103,103,103,04-13,6.065862364301957,-0.7113803523042791,-0.5621779342283804
104,104,104,04-14,6.879873317749821,0.32126283674436,-0.5239661974654375
105,105,105,04-15,6.070477924488852,-0.7055251156266221,-0.5776027427333318
106,106,106,04-16,6.314370800909144,-0.3961259403131602,-0.3918366618169555
107,107,107,04-17,6.030730264277072,-0.7559484550478706,-0.07334486834400876
108,108,108,04-18,6.545197023034952,-0.10330294435416328,-0.18681478645178395
109,109,109,04-19,7.572224743212812,1.1995704085334016,-0.2595043703447304
110,110,110,04-20,6.343197587704152,-0.3595566719022909,-0.024689104272873942
111,111,111,04-21,5.72667988397727,-1.141662618984301,0.005127058504410161
112,112,112,04-22,7.424970477426814,1.0127656561179783,0.16445136153961162
113,113,113,04-23,6.171750996401519,-0.5770514783841659,0.08935959328849019
114,114,114,04-24,7.298749048728844,0.8526428738570454,0.0035938818871014875
115,115,115,04-25,7.217065153617328,0.7490197990266729,0.15141141437431874
116,116,116,04-26,5.9375537259053965,-0.8741509403106231,0.13187341895685478
117,117,117,04-27,6.4258086353153825,-0.2547574240609977,0.13910046318187913
118,118,118,04-28,7.332562127009772,0.8955376836131946,-0.1011270895398426
119,119,119,04-29,6.205932560116524,-0.5336892130340198,-0.1260089513387629
120,120,120,04-30,6.162551020353072,-0.5887224424732851,-0.1984619258431974
121,121,121,05-01,7.099382056911929,0.5997286282331512,-0.14084288357840455
122,122,122,05-02,5.594874770684724,-1.3088687873372304,-0.5169760415768047
123,123,123,05-03,6.6983279257815935,0.09095682952775937,-0.5768360338750154
124,124,124,05-04,5.553574880615146,-1.3612612643772062,-0.6144861194859773
125,125,125,05-05,5.922814306372326,-0.8928491668232842,-0.751087747786327
126,126,126,05-06,5.984478386491178,-0.8146229561390564,-0.7594179600909176
127,127,127,05-07,6.453300876841933,-0.21988114156894664,-0.8080512418560745
128,128,128,05-08,5.5554755815026615,-1.3588500611647742,-0.5638241074660412
129,129,129,05-09,6.468308353800922,-0.20084286106318155,-0.15137643385666896
130,130,130,05-10,6.708689626721162,0.1041015419629937,0.09113203169526532
131,131,131,05-11,7.873557375823616,1.5818368748329488,0.1788353990846042
132,132,132,05-12,7.131464389148928,0.6404278371725494,0.3672140835411184
133,133,133,05-13,6.868109219934512,0.30633906276708645,0.5870474734055741
134,134,134,05-14,6.446445361790312,-0.2285779544256893,0.5502567414842717
135,135,135,05-15,7.508048638815166,1.1181574781235533,0.5630066663989254
136,136,136,05-16,6.534681455727103,-0.11664284956482072,0.7238283247251719
137,137,137,05-17,7.93386036515952,1.6583364243208714,0.7144034005868195
138,138,138,05-18,7.892098417344982,1.6053577871300282,1.0888602899869106
139,139,139,05-19,6.8235324005719455,0.2497895179369712,1.336782589611622
140,140,140,05-20,8.217504404051613,2.018163381974857,1.250754686196864
141,141,141,05-21,8.680640312137049,2.6056912758718216,0.92881152833249
142,142,142,05-22,6.1277975111598595,-0.6328102700533699,0.932209776129242
143,143,143,05-23,6.411174157560753,-0.2733225228653716,1.129376949575583
144,144,144,05-24,7.908171021852071,1.6257472739105392,0.8602507783579169
145,145,145,05-25,7.756068869399322,1.4327925586150176,0.362237775626221
146,146,146,05-26,6.9446253289521485,0.4034063546688609,0.5376147333699062
147,147,147,05-27,6.325201123757527,-0.3823867405183532,0.6531515939257699
148,148,148,05-28,6.957273361674564,0.4194514764087407,0.4746596088645267
149,149,149,05-29,6.957625851719103,0.4198986404698109,0.1826886424682284
150,150,150,05-30,7.063962107388427,0.5547953635430805,0.08105720644759194
151,151,151,05-31,6.375141358778902,-0.3190332397627722,0.2293565047373118
152,152,152,06-01,6.463941760729608,-0.20638226145495786,0.12677637602905645
153,153,153,06-02,7.0266084703222935,0.507409049219966,0.022967305402782568
154,154,154,06-03,6.472102786241591,-0.19602929584079146,0.05893936207240055
155,155,155,06-04,6.46664278155594,-0.2029557832878324,0.26240562508805176
156,156,156,06-05,7.234098211268178,0.7706277035607884,0.18350041288033456
157,157,157,06-06,7.33747046824273,0.9017643383311352,0.2286532373816906
158,158,158,06-07,6.090745824113492,-0.6798135347012608,0.18281678196667805
159,159,159,06-08,7.240166613810799,0.7783259962281021,0.2833736050264329
160,160,160,06-09,6.2553112913434195,-0.4710480283308668,0.2495952858535052
161,161,161,06-10,6.942243780715993,0.4003851550706967,0.1697581111377564
162,162,162,06-11,7.074337770755408,0.5679577885232224,0.3313965451117666
163,163,163,06-12,6.959866652712858,0.4227412900366426,0.34962539965038464
164,164,164,06-13,6.8552429349164345,0.2900170691428001,0.5109704029935357
165,165,165,06-14,7.32638315455173,0.8876991234598104,0.7058564211379669
166,166,166,06-15,7.018420570898572,0.49702199172803996,1.1635318300325197
167,167,167,06-16,7.863991128449287,1.5697012639372834,1.1306353925098314
168,168,168,06-17,9.238993287287444,3.3140102418905384,1.2449473418867365
169,169,169,06-18,6.804277224979052,0.22536266490051346,1.260213318796825
170,170,170,06-19,7.395901198426634,0.9758887654042308,1.5082123131751115
171,171,171,06-20,7.398586249783548,0.9792949849203414,1.4949953897237764
172,172,172,06-21,8.191374985408181,1.9850159579977609,0.9575003689552204
173,173,173,06-22,7.801479388241052,1.4903997232292725,0.5626668222938378
174,174,174,06-23,6.69681702174283,0.0890401172791997,0.3693831543634147
175,175,175,06-24,4.936843235119683,-2.1436386150677817,0.1530400402893767
176,176,176,06-25,6.4817324449607145,-0.1838132421783084,-0.07796199743793915
177,177,177,06-26,6.375353831692271,-0.31876369952388633,-0.14553284885591047
178,178,178,06-27,7.0988106361363945,0.5990037316338658,0.11997696896639272
179,179,179,06-28,7.481891284016781,1.0849746147214443,0.9291523342227438
180,180,180,06-29,7.952591923939693,1.682099024213019,1.1457870559708212
181,181,181,06-30,8.763978982864325,2.7114135764703247,1.3029478091550273
182,182,182,07-01,7.50634407230817,1.1159950883101566,1.3656973730104351
183,183,183,07-02,7.118672971744435,0.6242008195813492,1.13923980246202
184,184,184,07-03,7.395595621564537,0.9755011147663144,0.8993418046198521
185,185,185,07-04,6.410820783348888,-0.2737708085690467,0.5402821397205313
186,186,186,07-05,6.817952582734264,0.2427110371600115,0.345767896403677
187,187,187,07-06,7.065743794161987,0.5570555870744002,0.4608186365315681
188,188,188,07-07,6.586355098338863,-0.05109037159096904,0.5567150936852981
189,189,189,07-08,7.6628254747169375,1.3145052603486955,0.8117232833291617
190,190,190,07-09,7.849154608915606,1.5508798576886944,1.1070659873456472
191,191,191,07-10,7.616926406997589,1.2562783292941353,1.1173708668950892
192,192,192,07-11,8.214827313366932,2.0147672612589247,1.2763963953185866
193,193,193,07-12,7.114482515820153,0.6188848643710523,0.723710815508347
194,194,194,07-13,7.338494017497301,0.9030627989500152,0.3989122611080713
195,195,195,07-14,5.048802815877545,-2.0016082185127426,0.3883264385085496
196,196,196,07-15,6.312963306345153,-0.39791146871296,0.3147690702530032
197,197,197,07-16,7.566858916278718,1.1927633936970057,0.24442839569326325
198,198,198,07-17,7.866924935652263,1.5734230517256464,0.22381003548387807
199,199,199,07-18,6.781794050887995,0.19684081701261244,0.5963368927633321
200,200,200,07-19,7.240975893731615,0.7793526376937046,0.5758811607902741
201,201,201,07-20,6.810733435252607,0.2335529251639812,0.42965690508651583
202,202,202,07-21,6.216214361132798,-0.5206458605513085,0.07973806848098053
203,203,203,07-22,6.875265844838737,0.31541785947445594,-0.20289333520345512
204,204,204,07-23,6.211922885561433,-0.5260899679075656,-0.4292502295837079
205,205,205,07-24,5.445039627904206,-1.4989476050940016,-0.5197166320743648
206,206,206,07-25,6.170381558526323,-0.5787887285878119,-0.382561996157492
207,207,207,07-26,6.382856836671086,-0.3092454897799604,-0.4534619532535919
208,208,208,07-27,6.864911086990326,0.3022819549499286,-0.4764019939961524
209,209,209,07-28,6.5399321557933705,-0.10998188310214337,-0.27750535238983953
210,210,210,07-29,6.103423969565937,-0.6637302123629285,-0.2355858690996201
211,211,211,07-30,6.385755917452543,-0.3055677554561244,-0.2892947329727741
212,212,212,07-31,6.368647051910638,-0.3272718288464953,-0.3061736548606184
213,213,213,08-01,6.128831415575154,-0.6314986730188844,-0.16669277478931574
214,214,214,08-02,6.785079287711695,0.2010084236228631,0.11744823044057227
215,215,215,08-03,7.199631258321844,0.7269033973256726,0.3549015549295137
216,216,216,08-04,7.447318315843883,1.0411158190163996,0.3435015948558569
217,217,217,08-05,7.50883275047567,1.1191521914775244,0.6729246453735334
218,218,218,08-06,6.314728956286294,-0.3956715892884361,0.5958541324881829
219,219,219,08-07,7.686895077545234,1.345039630087174,0.6018595278099427
220,220,220,08-08,6.4205608809172725,-0.2614146536892395,0.3386079754035054
221,221,221,08-09,7.2280348208894765,0.7629357692562305,0.013221087531068655
222,222,222,08-10,6.202224273040483,-0.5383934954222236,0.14777107724843108
223,223,223,08-11,5.969858822334071,-0.833169135757096,-0.03172290021396329
224,224,224,08-12,6.951106554537637,0.4116283490157384,0.0776104291806843
225,225,225,08-13,6.837947065597823,0.26807576531280763,0.0830090920812328
226,226,226,08-14,6.937671894564648,0.3945853226786461,0.3632626708997912
227,227,227,08-15,7.253568736853621,0.7953277466595214,0.2682977153645449
228,228,228,08-16,7.527732359399588,1.143127977489127,0.2143497560927677
229,229,229,08-17,5.520705534039413,-1.4029588689685737,-0.017985375291639308
230,230,230,08-18,6.695950290133222,0.08794059338507558,-0.23821498757482304
231,231,231,08-19,5.739077617815616,-1.125935022993635,-0.06041092548043015
232,232,232,08-20,5.896057606648338,-0.9267923510204564,0.001973518503844418
233,233,233,08-21,8.094523999894877,1.8621521192258788,0.2699257751380381
234,234,234,08-22,7.822790446838707,1.5174346413947744,0.351670614024196
235,235,235,08-23,6.788032375766345,0.2047546708365881,0.6000263009979735
236,236,236,08-24,7.082576735435013,0.5784096267020231,0.9872328792669274
237,237,237,08-25,6.913719072047111,0.3641990988490304,0.8573533762020994
238,238,238,08-26,7.727418521825883,1.3964471185932672,0.5907163353873233
239,239,239,08-27,7.480236281284907,1.0828751008369106,0.7459257747544169
240,240,240,08-28,6.56168414727682,-0.08238760349388194,0.7406540004690142
241,241,241,08-29,7.522122437444168,1.1360113070391498,0.7173661527592436
242,242,242,08-30,7.057642961264424,0.5467789809896071,0.3861536658886047
243,243,243,08-31,6.803575142455458,0.22447201259040728,0.3960551484923737
244,244,244,09-01,6.160891409127089,-0.5908278026305664,0.3237263042794715
245,245,245,09-02,7.5270670668669055,1.1422839964595248,0.23029556139166665
246,246,246,09-03,6.219592287878016,-0.5163606687712954,0.07097779596986596
247,247,247,09-04,7.080225474934718,0.575426849712321,0.0012272763752403195
248,248,248,09-05,6.304121856351148,-0.4091276115411969,0.20318661795137835
249,249,249,09-06,6.473677918162445,-0.19403110497734646,0.2920341425375133
250,250,250,09-07,7.116093271324341,0.6209282468262617,0.44397399001100907
251,251,251,09-08,7.947286900591693,1.6753691439763347,0.4932025928024164
252,252,252,09-09,6.9382182455385815,0.3952784160696792,0.8201148039513143
253,253,253,09-10,7.313060721339962,0.8707984664607654,0.8304375595978942
254,254,254,09-11,7.850310066450483,1.5523456553521906,0.5699461317201423
255,255,255,09-12,6.522501187933817,-0.13209457109786749,0.12797211996829075
256,256,256,09-13,5.884053717949957,-0.9420203204402494,-0.05512236347765523
257,257,257,09-14,5.856893875077692,-0.9764749265347752,-0.08686692643890233
258,258,258,09-15,6.07224101378138,-0.7032884846059967,-0.4442757772565042
259,259,259,09-16,7.162919284857859,0.6803310886932827,-0.27326786764234523
260,260,260,09-17,6.1598826903142445,-0.5921074495534205,0.16386611637794246
261,261,261,09-18,7.331312864774834,0.8939528865870863,0.6986188836989894
262,262,262,09-19,7.951554989776333,1.6807835836814766,0.7953850426915113
263,263,263,09-20,8.386100175582634,2.2320416773915066,0.7239178772195402
264,264,264,09-21,6.529913407372968,-0.12269153065086535,0.7981881596655898
265,265,265,09-22,6.824902885061616,0.25152809586145564,1.1909144884257683
266,266,266,09-23,6.51115691979393,-0.14648575487712312,0.7902721852620159
267,267,267,09-24,9.188780400755034,3.2503108591481573,0.5985489191127286
268,268,268,09-25,6.0566474748756765,-0.7230702353010378,0.5264621599371464
269,269,269,09-26,7.479311613968623,1.0817020804957829,0.4908429120463546
270,270,270,09-27,6.18896653129929,-0.5552120857043589,0.2294788376772129
271,271,271,09-28,6.656435451716755,0.03781260851670479,-0.4680717080366765
272,272,272,09-29,5.2749900329319726,-1.7146702010919732,-0.6025178074564285
273,273,273,09-30,5.889593668204597,-0.9349924151351794,-0.8333371376945781
274,274,274,10-01,5.420761243871657,-1.5297468318195495,-0.8561957888285555
275,275,275,10-02,6.387611411571782,-0.30321390093311473,-1.0795281874153526
276,276,276,10-03,6.080852561625543,-0.6923639925082241,-0.939644278247356
277,277,277,10-04,5.6001459958578215,-1.3021817830040765,-0.7530993925493649
278,278,278,10-05,5.936595331730832,-0.8753667460839929,-0.4235452025242996
279,279,279,10-06,6.77189017804402,0.18427689905276654,-0.4971436156565331
280,280,280,10-07,6.979445152970135,0.44757830833084256,-0.5041519365448138
281,281,281,10-08,6.039514904967907,-0.7448043797265165,-0.4991632358327338
282,282,282,10-09,6.047705488006081,-0.7344139178379083,-0.19811449130742434
283,283,283,10-10,5.623740924287151,-1.2722495787315962,-0.1065179143739804
284,284,284,10-11,7.3604577742329536,0.930925721067864,-0.11492191873941365
285,285,285,10-12,7.205112133388605,0.7338563606534302,-0.22051610690467505
286,286,286,10-13,6.9396969513909115,0.3971542821382431,-0.25257332382723346
287,287,287,10-14,5.540088810658529,-1.3783695087180847,-0.004684616538233895
288,288,288,10-15,5.8960853001885045,-0.9267572193732592,-0.28627262750722937
289,289,289,10-16,6.796173716809676,0.21508266500240125,-0.5242146019553771
290,290,290,10-17,6.028638258726152,-0.758602344746109,-0.5396925652360061
291,291,291,10-18,6.07972414532133,-0.6937954860354554,-0.21906308281431755
292,292,292,10-19,6.866491229717948,0.30428650245446964,0.033699992207735466
293,293,293,10-20,7.056561761572148,0.5454073858120454,0.04283904731532575
294,294,294,10-21,7.0915722634134575,0.589821230759059,-0.07341772775304282
295,295,295,10-22,6.839398468828403,0.2699169956479429,0.0201128595008866
296,296,296,10-23,5.478781603561293,-1.4561429951563205,-0.03150129343308592
297,297,297,10-24,6.522093339140843,-0.13261196251187884,-0.08663539589346203
298,298,298,10-25,6.622373108647139,-0.005398415149365444,-0.15228581196449026
299,299,299,10-26,6.795795426478549,0.2146027710497887,0.16243015601258856
300,300,300,10-27,6.781067192463674,0.19591873433288973,0.5265677746282801
301,301,301,10-28,8.327902423777099,2.158212803510416,0.6830329826773344
302,302,302,10-29,7.201033858313532,0.7286827165378287,0.8874586291169847
303,303,303,10-30,7.262122777398805,0.8061792857824471,0.9640661285934206
304,304,304,10-31,7.589239789020108,1.221155463488537,0.9985926273110338
305,305,305,11-01,7.158123930756128,0.6742477679084036,0.6168432837561701
306,306,306,11-02,6.944366278372913,0.4030777266385699,0.5295373104299472
307,307,307,11-03,6.5223524501517725,-0.13228325781876613,0.42861751172093343
308,308,308,11-04,6.788105059619107,0.2048468765804911,0.15712238065126602
309,309,309,11-05,6.784805021720344,0.2006604935283644,-0.06305511790628388
310,310,310,11-06,6.305156305922271,-0.40781532292946737,-0.1478546279921453
311,311,311,11-07,6.116756123776938,-0.6468172234368957,-0.10026810424018366
312,312,312,11-08,6.54329223388811,-0.1057193338765986,0.1367318268855626
313,313,313,11-09,6.747421197893907,0.15323588469300367,-0.06157378406439867
314,314,314,11-10,7.909037489806237,1.6268464633349686,0.1731209326482155
315,315,315,11-11,5.846884114545296,-0.9891731721714032,0.3506002359941493
316,316,316,11-12,7.415185823260691,1.0003529773462176,0.4170365644048513
317,317,317,11-13,6.95617538378475,0.4180585966387069,0.3869956052156158
318,318,318,11-14,6.857514414056619,0.2928986365876136,0.13486174325358213
319,319,319,11-15,6.605337252007545,-0.02700987044240933,0.3130972592428765
320,320,320,11-16,6.716526499279345,0.11404329156276652,0.1577517727957529
321,321,321,11-17,6.689880013888126,0.08023992376436277,0.06762792803596228
322,322,322,11-18,6.680452303235378,0.06828005866347629,-0.024631639333254258
323,323,323,11-19,6.529918971622335,-0.12268447192003673,0.3634327863811005
324,324,324,11-20,6.421156730035527,-0.26065876762768564,0.2374888762257817
325,325,325,11-21,8.440755506008506,2.30137668384372,0.2505336293045069
326,326,326,11-22,6.1208528524259735,-0.6416201693691459,0.3098852670841893
327,327,327,11-23,6.751577444348422,0.15850844223671345,0.4085877598653521
328,328,328,11-24,6.961166205792029,0.4243898853415709,0.4368525683949295
329,329,329,11-25,6.9967495929359504,0.4695304847669393,0.2391374944844144
330,330,330,11-26,6.554840062192374,-0.09106991645022046,0.3741529543029855
331,331,331,11-27,7.505627646559664,1.1150862403806283,0.4658463607132328
332,332,332,11-28,6.7594319725480165,0.16847258954228062,0.398726867656654
333,333,333,11-29,7.185257371559207,0.7086688806981971,0.2552365915106033
334,334,334,11-30,6.6437128795084845,0.02167292700209822,0.18111952940502915
335,335,335,12-01,6.318087353733544,-0.3914111721093645,0.19193204435832736
336,336,336,12-02,6.204290514984906,-0.5357722890836657,0.09168399603744393
337,337,337,12-03,7.556767318227353,1.179961330100418,-0.09928625346926184
338,338,338,12-04,6.285291377265635,-0.4330157003830201,-0.27761842350207155
339,339,339,12-05,6.2820303332381835,-0.4371526163420374,-0.2553852480998551
340,340,340,12-06,5.80025983804173,-1.04832009319476,-0.3095412888116449
341,341,341,12-07,6.423243027053808,-0.2580121196960656,-0.5466656820366286
342,342,342,12-08,5.948150093188026,-0.8607085333544049,-0.4997241102658467
343,343,343,12-09,6.435246222876049,-0.2427850292494837,-0.7211131915886608
344,344,344,12-10,6.507309712342316,-0.15136626975832898,-0.6489967563380993
345,345,345,12-11,5.2349321346635636,-1.7654871042789215,-0.681906782626663
346,346,346,12-12,6.141347072277905,-0.6156214816913909,-0.4334069606453391
347,347,347,12-13,6.267589328886317,-0.4554722774274474,-0.3265337775033875
348,348,348,12-14,7.1234732590281125,0.6302903985335387,-0.3185426015719441
349,349,349,12-15,6.940721546569629,0.39845406960222585,-0.08219886924621815
350,350,350,12-16,6.545105369979588,-0.10341921416966894,0.013203882502588636
351,351,351,12-17,6.352760958397736,-0.34742471032456546,0.29305629182200005
352,352,352,12-18,6.5925709939742765,-0.043204971198550206,-0.007820324565600167
353,353,353,12-19,7.591200014265348,1.2236421784890212,-0.07621701966217964
354,354,354,12-20,5.700424926516613,-1.1749692997920629,0.047392806154272736
355,355,355,12-21,6.617227470908067,-0.011926100977250971,-0.04740008340829055
356,356,356,12-22,7.129739558644935,0.6382397407290453,-0.3544852511172069
357,357,357,12-23,5.904421486073388,-0.9161820476999452,-0.8439665931178372
358,358,358,12-24,5.140158237230722,-1.8857159774520484,-0.8707143036999554
359,359,359,12-25,5.276112800468179,-1.7132458735147609,-1.0242357333903152
360,360,360,12-26,5.573916973192153,-1.335455563284772,-1.5306816051874923
361,361,361,12-27,5.891121144837817,-0.9330546791194101,-1.7296503329698902
362,362,362,12-28,4.73441564806267,-2.400435490054017,-1.5788770126077412
363,363,363,12-29,4.963364252406804,-2.109994414394333,
364,364,364,12-30,5.853266901854155,-0.9810760552791526,
365,365,365,12-31,,,
