,unnamed: 0,unnamed: 0,mth_day,cult,cult_norm,cult_ravg
69,69,69,03-10,3.812536366550229,-1.387765364814754,-0.7456996366946577
70,70,70,03-11,4.761205180281464,-0.01737213715960531,-0.8364272461737673
71,71,71,03-12,4.145873594357154,-0.9062452885773088,-0.7058424871944435
72,72,72,03-13,4.357262698958023,-0.6008845629456245,-0.7417257496543233
73,73,73,03-14,4.58591718402609,-0.2705832467488577,-0.7059239371347029
74,74,74,03-15,3.8957886047123504,-1.26750389767979,-0.7156418249816343
75,75,75,03-16,3.9612414053391234,-1.1729544896970316,-0.8745022652110626
76,76,76,03-17,4.720841333103835,-0.07567946424119383,-0.6210160865861697
77,77,77,03-18,3.4860369474446027,-1.8594079299538784,-0.3608819068966605
78,78,78,03-19,5.410133192713215,0.9200325088037328,-0.06249297356429029
79,79,79,03-20,5.666400560666487,1.2902218313881977,0.4956506441729654
80,80,80,03-21,5.1351654625474135,0.5228297023144312,0.5395084023895843
81,81,81,03-22,6.279525382718963,2.1759072167265026,0.7641437479335369
82,82,82,03-23,4.90300723973837,0.18746708505851933,0.674508309553266
83,83,83,03-24,4.4190737246793805,-0.5115958566901623,0.4838411984155248
84,84,84,03-25,5.037826865096617,0.3822198785221074,0.4484505970561785
85,85,85,03-26,4.874452942317107,0.14621916456175027,0.3140172217286568
86,86,86,03-27,4.9881684147018674,0.3104860941583537,0.29499725299196033
87,87,87,03-28,5.7211480580612895,1.3693069647613716,0.17685805286678455
88,88,88,03-29,4.8240066252526095,0.07334727263834093,-0.0571219102039868
89,89,89,03-30,3.9283752627656,-1.220431057441217,-0.26400343484480604
90,90,90,03-31,4.065976642005392,-1.0216598999025206,-0.3617422864234549
91,91,91,04-01,4.015157756366421,-1.0950699832831652,-0.7683154580194612
92,92,92,04-02,4.582204060041894,-0.2759470153135397,-0.9806925792756076
93,93,93,04-03,4.032421287047258,-1.0701320648146662,-0.9435775643971782
94,94,94,04-04,3.94188513944902,-1.2009154548985363,-0.6911638882612513
95,95,95,04-05,4.08253476863203,-0.9977409681706406,-0.6637315011434116
96,96,96,04-06,5.1143924304538215,0.49282215691304,-0.6899028181714897
97,97,97,04-07,4.129099870000885,-0.9304756605761269,-0.6427506149251948
98,98,98,04-08,4.4734998788867095,-0.4329749174820072,-0.4524795540960613
99,99,99,04-09,4.228270874519388,-0.7872188453368969,-0.35244666771600325
100,100,100,04-10,4.732187738388514,-0.05928908992373583,-0.6350190706349647
101,101,101,04-11,4.498027538478794,-0.3975436498902921,-0.544476027728373
102,102,102,04-12,3.9407105082408767,-1.2026122606007283,-0.4186564265026209
103,103,103,04-13,4.505175989055208,-0.3872174031365765,-0.18261662213729948
104,104,104,04-14,4.996099360977879,0.3219426898725055,-0.19943781180702969
105,105,105,04-15,5.208676775607004,0.6290199808550312,-0.2384100718899305
106,106,106,04-16,4.6623198885152215,-0.16021622794211682,-0.13107749202817326
107,107,107,04-17,4.3361538499848775,-0.631377210387697,-0.2267646926753735
108,108,108,04-18,4.386523005664235,-0.5586167814301846,-0.3162545123236829
109,109,109,04-19,4.107733293212792,-0.961340607019778,-0.4896942452134321
110,110,110,04-20,4.624397869755328,-0.2149962280173508,-0.4074782992972752
111,111,111,04-21,4.488284136469772,-0.4116184164834644,-0.528122469263136
112,112,112,04-22,5.0038088960850935,0.33307944755482466,-0.3613330306349147
113,113,113,04-23,3.835050841175043,-1.355242230182862,-0.2492055329869917
114,114,114,04-24,5.079293236981302,0.4421198503391432,-0.4731323919098648
115,115,115,04-25,4.573461777710564,-0.2885756211322401,-0.4689606685962415
116,116,116,04-26,3.694303835444845,-1.558557381554589,-0.34241932151934784
117,117,117,04-27,4.5056116468249785,-0.3865880766017243,-0.19710028556119288
118,118,118,04-28,5.529406194131278,1.0923275300161863,-0.31991709961087217
119,119,119,04-29,4.438642429368506,-0.48332801443393203,-0.2720218978801493
120,120,120,04-30,4.569166016825139,-0.2947810339589325,-0.14226992905410624
121,121,121,05-01,4.772397455262248,-0.0012044107479029088,0.021456658143841217
122,122,122,05-02,4.233236649157508,-0.7800455685983306,-0.1609966861226994
123,123,123,05-03,5.185660135618705,0.5957714465859605,-0.2631430458462212
124,124,124,05-04,4.771574963618839,-0.00239253558305738,-0.2459573469491909
125,125,125,05-05,4.014371217498817,-1.096206172775063,-0.1949236601670756
126,126,126,05-06,4.640547878279683,-0.1916668405767508,0.014534122622576863
127,127,127,05-07,4.984369024252389,0.30499770994478925,0.013321118696895987
128,128,128,05-08,5.103232482393649,0.4767011281395842,0.1162458923851042
129,129,129,05-09,5.180621848919658,0.5884934230318752,0.3943264693491438
130,130,130,05-10,5.199079365951974,0.6151561065461919,0.592681673187606
131,131,131,05-11,5.169396063272027,0.5722772890091748,0.6672499435910574
132,132,132,05-12,5.464428464342551,0.9984643824540226,0.4847948350747235
133,133,133,05-13,5.29409293939465,0.7524073323654976,0.5949341867352212
134,134,134,05-14,4.345393923960764,-0.6180295229584195,0.7841297315834445
135,135,135,05-15,5.6380924463058175,1.2493295329948615,0.8025487908925246
136,136,136,05-16,5.984914742859856,1.7503293756355318,1.0354580248108964
137,137,137,05-17,5.2459007633486125,0.6827916448636555,0.8866734430514831
138,138,138,05-18,6.431831347789933,2.3959197859642525,1.2457583730921515
139,139,139,05-19,4.676106992744661,-0.14030015819098185,1.5298792852296226
140,140,140,05-20,5.836875351638255,1.5364800572855908,1.2661300101776674
141,141,141,05-21,6.8182061971664645,2.954055005819688,1.2533192035076646
142,142,142,05-22,4.889415844426995,0.1678337253238006,0.9864857267553444
143,143,143,05-23,5.1926902868752265,0.6059268048436398,0.9788864855044588
144,144,144,05-24,5.323522027168691,0.7949189254503305,0.8283118213818227
145,145,145,05-25,4.644543075013964,-0.185895605696295,0.4577446315852384
146,146,146,05-26,5.211454187368696,0.6330320725497743,0.6962888997076401
147,147,147,05-27,5.279032494650879,0.7306518670401821,0.5415477003604545
148,148,148,05-28,5.8802241903611625,1.5990993340582114,0.4716820249620091
149,149,149,05-29,4.549963161298754,-0.3225203912394737,0.5847213828833154
150,150,150,05-30,5.033330630729068,0.3757248730596584,0.6941757238238869
151,151,151,05-31,5.114059027457643,0.4923405418315431,0.79517218819008
152,152,152,06-01,5.66607955043546,1.2897581181932023,0.4619400810785058
153,153,153,06-02,5.698527545156642,1.3366306532373404,0.5156514421583951
154,154,154,06-03,4.49612405893415,-0.40029330861123424,0.7700527645765151
155,155,155,06-04,4.773056615810646,-0.0002522247601387516,0.7888196283410859
156,156,156,06-05,6.090002230732572,1.9021328075683792,0.6989067543491259
157,157,157,06-06,5.192008354814381,0.6049417244189675,0.6792806243264508
158,158,158,06-07,5.29262087687618,0.7502808742414426,0.6929934022757496
159,159,159,06-08,5.617009202343737,1.2188738731012896,0.6035770315693564
160,160,160,06-09,4.553080928805934,-0.31801664091544113,0.4372512343373994
161,161,161,06-10,4.401660199303257,-0.5367504489984981,0.36737212588347584
162,162,162,06-11,5.399157762581207,0.9041780241766376,0.3127241439092109
163,163,163,06-12,4.901761163349441,0.1856670736954264,-0.009145779040405108
164,164,164,06-13,5.0656371096503054,0.4223929823958528,-0.01347967394303709
165,165,165,06-14,4.280102604361561,-0.7123456645964064,0.2965086137822852
166,166,166,06-15,4.535079828742921,-0.34402001033123303,0.3205209962148807
167,167,167,06-16,5.689215691781044,1.3231792773534352,0.3171219734927367
168,168,168,06-17,5.4988946755963255,1.0482523187722108,0.2918704229582177
169,169,169,06-18,4.887643112609308,0.16527293736256254,0.5095758210626045
170,170,170,06-19,4.9607532354146775,0.2708836791887387,0.7637494923298832
171,171,171,06-20,5.184355417034744,0.5938867240299146,0.7383071353051842
172,172,172,06-21,5.5908058656356845,1.1810220172724393,0.4686492101336836
173,173,173,06-22,5.583539291007608,1.1705251352052417,0.4287007702773296
174,174,174,06-23,4.3788538340778835,-0.5696952322567932,0.4704088629556192
175,175,175,06-24,4.721714801154703,-0.07441770177556123,0.4229291477610753
176,176,176,06-25,5.133990373510323,0.5211322352584762,0.4663457158718789
177,177,177,06-26,4.9871454884642,0.30900843286265123,0.461329163599787
178,178,178,06-27,5.771139261925594,1.4415214259372602,0.9038055007685692
179,179,179,06-28,5.562702731411664,1.14042582157269,1.2082070520435892
180,180,180,06-29,6.216706620044869,2.0851627907558994,1.2970355495497168
181,181,181,06-30,5.9860654388478265,1.7519916058745602,1.3533853969888214
182,182,182,07-01,5.502945022383726,1.0541032202952425,1.1270546522987954
183,183,183,07-02,5.221198058975487,0.6471075174972775,0.8560311212278472
184,184,184,07-03,4.831060539659644,0.08353695779710467,0.5570919204180418
185,185,185,07-04,4.4369897614741305,-0.4857153648529982,0.34446872503614384
186,186,186,07-05,4.975044192267462,0.2915275858970667,0.1853050538089836
187,187,187,07-06,5.102921868969728,0.4762524335831719,0.27008373869873004
188,188,188,07-07,4.841848886799896,0.09912119293228044,0.38724956937865146
189,189,189,07-08,5.5733315611017336,1.155779626835756,0.9656924505196834
190,190,190,07-09,5.317716051484427,0.7865319418766329,0.9165349852254052
191,191,191,07-10,6.839587982726126,2.9849419219931934,0.8917456227876762
192,192,192,07-11,4.770865625069409,-0.003417205868602204,1.2298798128111554
193,193,193,07-12,4.999957721530704,0.3275162589567964,0.8317017595937196
194,194,194,07-13,6.246310122267713,2.127926333073156,0.5379823452784712
195,195,195,07-14,3.9194744326075774,-1.2332886924688589,0.038578432808556405
196,196,196,07-15,4.097734329194138,-0.9757845440148571,0.13680661962981536
197,197,197,07-16,4.7652829979026325,-0.01148155282629553,0.3061148336501849
198,198,198,07-17,5.17886246387228,0.5859519150589516,-0.06497240491508431
199,199,199,07-18,5.703189841954213,1.343365543079014,0.09966454183106734
200,200,200,07-19,4.704976365082351,-0.09859709831845924,0.4657550668548702
201,201,201,07-20,4.603304155992523,-0.24546701199194895,0.5240992374431901
202,202,202,07-21,5.618313928176094,1.2207586061279598,0.5018606165182468
203,203,203,07-22,5.00761911274842,0.33858347070362405,0.3769748061055432
204,204,204,07-23,5.0864929787954285,0.4525201895092914,0.3883396720283077
205,205,205,07-24,5.184468917659498,0.5940506806027932,0.5156633026373462
206,206,206,07-25,4.752181037386278,-0.030407902781872564,0.2677557528871245
207,207,207,07-26,5.132150716989509,0.5184747716622823,0.2335491974020117
208,208,208,07-27,4.588614613889604,-0.2666866923733701,0.20401213069647287
209,209,209,07-28,4.865540072547298,0.13334413779294746,0.17996655707233955
210,210,210,07-29,4.963808948545559,0.2752977892760583,-0.2074214168311812
211,211,211,07-30,5.084594142981024,0.4497772388579927,-0.5561982232192164
212,212,212,07-31,3.1431411695275058,-2.354735746202997,-0.38679203197314616
213,213,213,08-01,3.6834847173511847,-1.5741860666659289,-0.4392701687511291
214,214,214,08-02,5.292253688769407,0.7497504551030515,-0.3194487220466406
215,215,215,08-03,4.64756889131556,-0.18152468287495024,-0.2001935075824135
216,216,216,08-04,5.461494725492402,0.9942264695029897,0.1827949347460449
217,217,217,08-05,5.579928039357423,1.1653085256433549,0.4402929776819369
218,218,218,08-06,4.7339073113517625,-0.056805092232246425,0.3516814982985867
219,219,219,08-07,4.753018737224108,-0.02919780905057737,0.4787571069760302
220,220,220,08-08,4.924200438068171,0.2180815788029501,0.16603687334627573
221,221,221,08-09,5.175385277906203,0.5809289691897109,-0.11321209815750748
222,222,222,08-10,4.162591927023748,-0.8820949322755369,-0.1823689101339125
223,223,223,08-11,4.420050194723945,-0.5101853033793443,-0.22541271937771576
224,224,224,08-12,4.4466602229024925,-0.4717459640906768,-0.14444195177149868
225,225,225,08-13,4.5742336179033005,-0.2874606645133965,-0.15400080586441586
226,226,226,08-14,5.260517520647452,0.7039061844402524,0.1836179276086221
227,227,227,08-15,5.135681987244993,0.523575844632208,0.003103293513758913
228,228,228,08-16,5.5649121818837965,1.143617468562691,0.0005229423247084716
229,229,229,08-17,3.6702715166101236,-1.5932731079485236,-0.06013377565161535
230,230,230,08-18,4.43594257492178,-0.4872280712249794,-0.2906163093609652
231,231,231,08-19,4.3222921946992905,-0.6514009723713394,-0.07590363982948478
232,232,232,08-20,4.30319408634846,-0.6789890178158469,-0.373311368196869
233,233,233,08-21,6.027504317012463,1.8118518618210904,0.06935109214457967
234,234,234,08-22,4.329610819452721,-0.6408289016416143,0.16384158767278706
235,235,235,08-23,5.5088973766664635,1.0627016541001686,0.4335714465455529
236,236,236,08-24,4.828414682165053,0.07971490194426463,0.8839528748136766
237,237,237,08-25,5.4426318172872925,0.9669781808652556,0.7397650433893679
238,238,238,08-26,6.173881156275594,2.023299551792896,1.2262870425292518
239,239,239,08-27,5.428611256693577,0.946724873275238,1.1594715243460298
240,240,240,08-28,6.350409981900108,2.2783030931976893,1.290465248330413
241,241,241,08-29,5.231374996544199,0.6618085450008371,1.3224830079076315
242,242,242,08-30,5.372505202596783,0.8656772458505627,0.9586974582870388
243,243,243,08-31,5.575619558543536,1.1590847383285678,0.9166336593382816
244,244,244,09-01,4.662875414945508,-0.15941374593066165,0.4744847266966856
245,245,245,09-02,5.253896670641397,0.6943420795826948,0.4141849676258574
246,246,246,09-03,4.513917090851521,-0.37459050265188654,0.22692259375450194
247,247,247,09-04,4.9809162241936535,0.3000099905758677,0.21718004990880926
248,248,248,09-05,4.594699370699875,-0.25789699737757005,0.16278735140218786
249,249,249,09-06,5.535153301152731,1.100629475254412,0.5882513706376229
250,250,250,09-07,4.436951983364296,-0.4857699369703904,0.4742143792934194
251,251,251,09-08,7.021087743691442,3.2471261949953063,0.3763466344489521
252,252,252,09-09,4.040257406389588,-1.0588124507171086,0.3625675532429679
253,253,253,09-10,4.574416503395927,-0.2871964784909363,-0.03347528846331963
254,254,254,09-11,4.537467106157728,-0.340571484613475,-0.2315170091792033
255,255,255,09-12,3.8901649055031418,-1.2756275749833133,-0.8851362678881339
256,256,256,09-13,3.61437346880625,-1.6740202612656918,-0.656542573658915
257,257,257,09-14,4.306239796643679,-0.6745893572582777,-0.6146363265243746
258,258,258,09-15,4.989735429286436,0.31274971465820445,-0.8363472094059081
259,259,259,09-16,4.748476688260135,-0.03575899568369412,-0.4553676058929232
260,260,260,09-17,3.616577265154556,-1.6708367819026766,0.09712653564471026
261,261,261,09-18,5.472587211276866,1.0102500460945956,0.6699171928760794
262,262,262,09-19,5.909191997978923,1.6409445879601092,0.6768187512250828
263,263,263,09-20,6.685361156905207,2.7621545861299377,0.8618186501154894
264,264,264,09-21,5.018401478007572,0.3541590647522251,1.08384889310702
265,265,265,09-22,5.516885190633112,1.074240397658746,1.0453849333774687
266,266,266,09-23,4.538793588092651,-0.3386553239534926,0.6761180972448582
267,267,267,09-24,5.312824779684252,0.7794662877172872,0.08152911478437501
268,268,268,09-25,4.375419394693568,-0.5746564288355535,-0.07997847211735014
269,269,269,09-26,4.215699106924356,-0.8053793086329611,-0.3292504238028307
270,270,270,09-27,4.347569743950535,-0.6148864566581258,-0.3294357692598699
271,271,271,09-28,4.481518748667117,-0.4213913124541376,-0.5170078245246897
272,272,272,09-29,4.538023744293172,-0.3397673966957273,-0.5313940990214591
273,273,273,09-30,4.533732666999127,-0.3459660438716324,-0.5933538270405552
274,274,274,10-01,4.3156651153285965,-0.6609740758161695,-0.5051291650951691
275,275,275,10-02,3.9583455510567664,-1.1771376767475374,-0.6308550740787557
276,276,276,10-03,4.714016324540162,-0.08553848498580978,-0.4050184778845642
277,277,277,10-04,3.9593084230885625,-1.175746766355657,-0.1348104623997081
278,278,278,10-05,5.476049990271777,1.0152521804694226,0.04035667400502795
279,279,279,10-06,5.656058342597965,1.2752820490375043,0.060544333487152935
280,280,280,10-07,5.043232631619309,0.3900287426122468,-0.16626321677549166
281,281,281,10-08,4.042196241149656,-1.0560117198547876,-0.1124206676560003
282,282,282,10-09,3.771957160889236,-1.4463837865616769,-0.07359876643239897
283,283,283,10-10,4.182946775222804,-0.8526914716387091,-0.3185206984153447
284,284,284,10-11,5.6372991539600825,1.2481835878110306,-0.08438051938374769
285,285,285,10-12,4.638759976046962,-0.1942495428601702,-0.14804525728116538
286,286,286,10-13,6.015748321595937,1.7948698168018289,0.050702432773764766
287,287,287,10-14,3.777760821481112,-1.4380001472392938,-0.00942499585195248
288,288,288,10-15,4.59746796268523,-0.253897646232096,-0.3149535488275844
289,289,289,10-16,3.9332037880161153,-1.2134560433930126,-0.4178165493730461
290,290,290,10-17,4.368267445119714,-0.5849877300427608,-0.8555130487242527
291,291,291,10-18,4.211512152276246,-0.8114275461329402,-0.5701370168966011
292,292,292,10-19,4.197748887122753,-0.8313091793054112,-0.4234968730194443
293,293,293,10-20,4.963087789468983,0.2742560437266154,-0.2659889438627379
294,294,294,10-21,5.2065468541885975,0.625943217030845,0.08063647193215569
295,295,295,10-22,4.587422696680879,-0.2684084684527742,0.14816602863922848
296,296,296,10-23,5.8079975110974775,1.494764764726601,0.5262327882757124
297,297,297,10-24,4.492000335493753,-0.4062502058905035,0.5853807994529295
298,298,298,10-25,5.768072516009555,1.4370913785134931,0.6410766078960922
299,299,299,10-26,5.208762705831775,0.6291441107899178,1.033345232030304
300,300,300,10-27,5.437882833348327,0.9601180676898216,0.6272557104151469
301,301,301,10-28,6.216734646615727,2.085203276352496,0.7952758317776332
302,302,302,10-29,4.121279610140599,-0.9417723649643404,0.8808572974588048
303,303,303,10-30,5.189882283532854,0.6018705222844131,0.8593210374892833
304,304,304,10-31,6.123540417718574,1.9505801726005232,0.7497202076707928
305,305,305,11-01,5.119310520348699,0.4999265509727893,0.5680519565252605
306,306,306,11-02,4.982649019682555,0.3025130887788781,0.692166776049774
307,307,307,11-03,5.462164348854903,0.995193769479302,0.6958751593329775
308,308,308,11-04,4.6367981761784165,-0.19708344781725973,0.5538613662598505
309,309,309,11-05,5.2052852824640015,0.6241208219836348,0.4991205974708025
310,310,310,11-06,5.533677359921594,1.0984974141617607,0.5426461131250182
311,311,311,11-07,4.891941357358745,0.17148193823850116,0.5904936576083267
312,312,312,11-08,5.163434936320706,0.5636661827041726,0.6587348655043521
313,313,313,11-09,5.6609020790869815,1.2822790363791532,0.29294207502927305
314,314,314,11-10,4.920242246548269,0.21236379955889265,0.15214265327661905
315,315,315,11-11,3.685942342313005,-1.5706359208668397,0.2262378908987292
316,316,316,11-12,4.9488582683823585,0.2537008836458367,0.12723386834923875
317,317,317,11-13,5.199700501637542,0.6160533639711618,-0.1511414198849126
318,318,318,11-14,4.752215615918691,-0.03035795259277,-0.3507164462905818
319,319,319,11-15,4.504653131857193,-0.3879726930257552,-0.35535395886690296
320,320,320,11-16,4.091295052137775,-0.9850863588751222,-0.32898244828116713
321,321,321,11-17,3.666680147496252,-1.598460996324767,-0.3809543648055846
322,322,322,11-18,5.0583939658397,0.41192994716025205,-0.22617608449112084
323,323,323,11-19,4.983831937484225,0.3042218648246572,-0.08145053338942218
324,324,324,11-20,5.395096759582222,0.8983117292940124,0.07710836952020374
325,325,325,11-21,5.105779644056205,0.4803806135844368,0.5156331436374099
326,326,326,11-22,4.749879245174898,-0.03373294141736668,0.3967479342045415
327,327,327,11-23,5.488119872349658,1.0326876483784695,0.2509432062658397
328,328,328,11-24,4.5645969082060365,-0.30138130943695857,0.2058265356505827
329,329,329,11-25,4.378222997661788,-0.5706065028075537,0.3059351808072092
330,330,330,11-26,5.207701882571711,0.6276117056024705,0.3556657758178165
331,331,331,11-27,5.5215870826589715,1.0810324845241956,0.3568372047055723
332,332,332,11-28,4.956438342036108,0.26465062864627675,0.5389558718974267
333,333,333,11-29,5.492985474561744,1.0397162217050044,0.9543026095219002
334,334,334,11-30,5.321038036825012,0.7913306937141676,0.8214399424491584
335,335,335,12-01,6.1033913168757925,1.921473922939288,1.1013189610622074
336,336,336,12-02,4.655848591629511,-0.1695642968339801,0.9149714290825238
337,337,337,12-03,6.684081866861386,2.760306596202489,0.5695313378499126
338,338,338,12-04,4.182432362420764,-0.8534345632318242,0.2849398224694814
339,339,339,12-05,4.058178727338165,-1.0329243256906635,-0.08651800380402801
340,340,340,12-06,4.138969606338572,-0.9162183985684196,-0.05839960598496183
341,341,341,12-07,4.560518300763294,-0.30727303470176864,-0.6498945912736415
342,342,342,12-08,4.772640093067444,-0.0008539099195829578,-0.5210559813041631
343,343,343,12-09,4.227270925164329,-0.7886633155295883,-0.5333049157225448
344,344,344,12-10,4.717571483729747,-0.08040290341495379,-0.36848932067168
345,345,345,12-11,4.007302021953212,-1.1064179322009533,-0.4434583863090411
346,346,346,12-12,4.823541356487313,0.07267517173676928,-0.33131694790746186
347,347,347,12-13,4.249129657870943,-0.7570874285259351,0.14210334643002712
348,348,348,12-14,5.238426481346261,0.6719947204898925,0.1385243684720371
349,349,349,12-15,6.1936513477847015,2.0518584504953457,0.2943309095407978
350,350,350,12-16,4.702705977806665,-0.1018767711628938,0.22627307763476145
351,351,351,12-17,4.654454110146966,-0.17157868578838906,0.28839366828146645
352,352,352,12-18,4.540858949613948,-0.3356718196994493,0.035009838467612776
353,353,353,12-19,4.507151366594345,-0.3843638846457052,-0.34581937936568125
354,354,354,12-20,4.18598109969698,-0.8483082583932294,-0.12444364578944853
355,355,355,12-21,4.6118536782167405,-0.2331168565044185,-0.08069455253756139
356,356,356,12-22,5.6222037554773605,1.2263776302945026,-0.10311780233686124
357,357,357,12-23,4.836168670141254,0.09091587372293376,-0.2378448818621989
358,358,358,12-24,4.4477225971080365,-0.4702113184952483,-0.29571065399624197
359,359,359,12-25,3.9475541234170506,-1.1927263617977313,-0.4515566537103762
360,360,360,12-26,3.9456320423684863,-1.1955028911974876,-0.9380402729868664
361,361,361,12-27,3.964537696103157,-1.1681928547892235,-1.1731533396343632
362,362,362,12-28,3.601564006162241,-1.6925240853644403,-1.1868365806841936
363,363,363,12-29,3.859612031383604,-1.3197625261620465,
364,364,364,12-30,4.390888410571873,-0.5523107647942308,
365,365,365,12-31,,,
