,unnamed: 0,unnamed: 0,mth_day,based on a true story,based on a true story_norm,based on a true story_ravg
100,100,100,04-10,4.6741208115575725,-0.25157933613908023,-0.05993231149291677
101,101,101,04-11,5.337861631029694,0.7952817571159432,-0.18263341119684
102,102,102,04-12,4.560146840166566,-0.43134064174613457,-0.14563569857448458
103,103,103,04-13,4.309731151746342,-0.826299688496183,-0.007052392329477878
104,104,104,04-14,4.7120344262246565,-0.19178146483865424,-0.0313559393158416
105,105,105,04-15,5.38105378967191,0.8634050201272426,-0.17215356402895432
106,106,106,04-16,4.581665816543948,-0.39740061805726257,0.04381912166417095
107,107,107,04-17,4.802242542256984,-0.0495039911627331,0.2077851015751102
108,108,108,04-18,5.38174516859329,0.864495472412617,0.1177559357332014
109,109,109,04-19,4.933486765014458,0.15749619096945264,0.10124537144870233
110,110,110,04-20,4.369547542163469,-0.731956459890107,0.26929333212805123
111,111,111,04-21,5.3182446803903725,0.7643416344202482,0.2482353462798497
112,112,112,04-22,5.220950007258013,0.6108871460188309,0.019166482499107133
113,113,113,04-23,4.722134236350658,-0.1758519062519416,-0.07787588142865676
114,114,114,04-24,4.510326660401549,-0.5099177102718389,0.15316807355182607
115,115,115,04-25,4.564320433939998,-0.42475799259713065,-0.02064397384373997
116,116,116,04-26,5.248479646914835,0.6543072699927899,-0.06847639013652032
117,117,117,04-27,4.657032883434101,-0.278530649953148,0.19959890087410406
118,118,118,04-28,5.038987028260756,0.32389264826214875,0.4588882431080989
119,119,119,04-29,5.741940098744706,1.432599839811805,0.2387368640604404
120,120,120,04-30,5.496709218337651,1.0458183431321295,-0.11719472657985736
121,121,121,05-01,3.7268256162693953,-1.7456662668830818,0.19454051671215944
122,122,122,05-02,3.894452868177406,-1.4812822738489966,0.38194548904256015
123,123,123,05-03,5.842928933105589,1.5918808097989532,0.10011013481955347
124,124,124,05-04,5.751908717924287,1.4483224822445528,0.002861754350204489
125,125,125,05-05,4.6697885200483515,-0.25841228552623496,0.3512542816290139
126,126,126,05-06,5.126759163869415,0.4623280603160356,0.6579330157285124
127,127,127,05-07,5.052172463394995,0.3446888967897749,0.2597884603406839
128,128,128,05-08,5.061113061764063,0.35879013074799426,-0.10852831203946084
129,129,129,05-09,4.328316563819052,-0.7969865225280177,-0.10999147114385667
130,130,130,05-10,4.350766515391194,-0.7615781520363156,-0.03318314296946395
131,131,131,05-11,4.6642224038029765,-0.2671912401526101,-0.03802100073398388
132,132,132,05-12,5.418951641056084,0.9231780293623921,-0.08079712160978247
133,133,133,05-13,5.033768396048519,0.31566175020265536,0.08653213387761459
134,134,134,05-14,4.898385125611652,0.10213340549320273,0.37619479289531865
135,135,135,05-15,4.964866672755858,0.20698901039636464,0.3732701092759935
136,136,136,05-16,5.452694547136558,0.9763978020699088,0.43656161006610256
137,137,137,05-17,4.653096389579914,-0.28473934186856104,0.3587136966025813
138,138,138,05-18,5.659723714088777,1.3029270341030463,0.3959527106046481
139,139,139,05-19,4.7376211523918945,-0.1514257305784719,0.3219149717332282
140,140,140,05-20,5.0400489270232365,0.3255674895056036,0.15013415585054216
141,141,141,05-21,4.6832140077346684,-0.2372374228321545,0.2230206055171645
142,142,142,05-22,4.7992099144292,-0.054287093226207415,0.07452530960407718
143,143,143,05-23,4.930369346661827,0.152579356131173,0.03079521732800008
144,144,144,05-24,5.094821321409462,0.4119552586245223,0.208792953724332
145,145,145,05-25,4.571264140158309,-0.4138062842349345,0.06164318503394532
146,146,146,05-26,5.717183825900045,1.3935539078835946,0.11196511633435212
147,147,147,05-27,4.123430238799256,-1.1201360349744742,0.07149315006711128
148,148,148,05-28,4.9906434492159315,0.24764449457623355,0.12779066174831402
149,149,149,05-29,4.776406822527848,-0.09025244147227204,0.43822914696145904
150,150,150,05-30,5.308987021777621,0.7497403287117388,0.37752457378432186
151,151,151,05-31,5.7522270925422605,1.4488246270439356,0.4707346264279544
152,152,152,06-01,5.486252883451791,1.0293264688207715,0.5874460481446465
153,153,153,06-02,4.478017779343106,-0.560875719112679,0.8578270504588743
154,154,154,06-03,5.434634357987564,0.947913024876386,0.7720104305637586
155,155,155,06-04,5.804984018883856,1.5320335724130951,0.91338349736552
156,156,156,06-05,4.982525408213943,0.2348406093410446,0.8050834317851926
157,157,157,06-06,6.2900352648864555,2.297063027854503,0.9559251370747952
158,158,158,06-07,5.074260262423169,0.3795260753388079,0.9614346135971688
159,159,159,06-08,5.0518463286582165,0.34417451262493803,0.8555768959231602
160,160,160,06-09,5.455593381980625,0.9809698840106263,0.8295657985435416
161,161,161,06-10,5.4022825216416885,0.8968872663690438,0.5124888988173052
162,162,162,06-11,4.8835745892293385,0.07877402506333284,0.5994938999845455
163,163,163,06-12,5.083818608545191,0.39460162949708416,0.663995773611853
164,164,164,06-13,5.405242688716371,0.9015560823422494,0.5725730875887479
165,165,165,06-14,5.297222874226981,0.7311857543887831,0.6051520791602386
166,166,166,06-15,5.10780530046558,0.432433767871997,0.7912101348083586
167,167,167,06-16,5.526218772797995,1.0923612157979867,0.6978052097244537
168,168,168,06-17,5.591372369398758,1.1951223589520523,0.7848232940651708
169,169,169,06-18,4.728489738741716,-0.1658279210063439,0.7160116418832786
170,170,170,06-19,5.7362748857174966,1.4236645883865526,0.6381787245970798
171,171,171,06-20,5.035451168108297,0.3183158412974305,0.6523742902170002
172,172,172,06-21,4.811715104922152,-0.03456373584519586,0.5858938944219988
173,173,173,06-22,5.580221217352348,1.1775346095175092,0.8321138404042917
174,174,174,06-23,5.338469175260912,0.7962399841820444,0.9395247134309482
175,175,175,06-24,5.665153999757616,1.311491754887413,1.1230259389877906
176,176,176,06-25,6.144884860864763,2.068129826546492,1.3151370134833689
177,177,177,06-26,5.733522313993741,1.4193231946384834,1.2474669825389917
178,178,178,06-27,5.542539640308542,1.1181027111282744,1.0258869767190717
179,179,179,06-28,5.322792440513951,0.7715144238512444,0.972463759356422
180,180,180,06-29,4.495539608449376,-0.5332400507374764,0.9929284265876921
181,181,181,06-30,5.461922623792337,0.990952450711517,1.0488378570816217
182,182,182,07-01,6.222736077721469,2.190917829934111,1.2881823597109052
183,183,183,07-02,5.946211684826364,1.7547797776020615,1.1811250153299069
184,184,184,07-03,6.453048497700616,2.554169726903976,1.10856644038685
185,185,185,07-04,4.915527350917336,0.12917035756525486,1.2667815270795002
186,186,186,07-05,4.219513944857148,-0.9685915003958168,1.0736411080267414
187,187,187,07-06,6.063800821219911,1.940242970867417,0.7682585215920761
188,188,188,07-07,5.487995733422297,1.0320753156175588,-0.0014642888776011573
189,189,189,07-08,4.7844822664041855,-0.07751574100592956,-0.061243460059420586
190,190,190,07-09,3.524886668327498,-2.0641671359140883,0.09017288687993442
191,191,191,07-10,4.688116801476356,-0.2295046695256617,-0.43846506522727374
192,192,192,07-11,4.795528532732483,-0.06009341875968668,-0.7964943368218155
193,193,193,07-12,4.052768470530234,-1.231584741775832,-1.0797896128317148
194,194,194,07-13,4.125989004997951,-1.1161003139496917,-0.7666153754924583
195,195,195,07-14,3.706776886791314,-1.7772873970653265,-0.8427238644429139
196,196,196,07-15,4.716256906089179,-0.18512171187854706,-0.9065867817996536
197,197,197,07-16,4.398586636584914,-0.6861556032283953,-0.6357315137638879
198,198,198,07-17,4.552582689926671,-0.4432709229001248,-0.30841525604458697
199,199,199,07-18,5.083149857646728,0.39354686643876174,0.10853631131629836
200,200,200,07-19,5.371157991742781,0.8477972323661146,0.323893571266162
201,201,201,07-20,5.292934458889842,0.7244220070999857,0.4994795041311986
202,202,202,07-21,5.535514046044262,1.1070218478206346,0.5047964750319195
203,203,203,07-22,5.0665466078849,0.3673599939618243,0.3789332853279781
204,204,204,07-23,4.5728093884571175,-0.4113690974957995,0.261670088378502
205,205,205,07-24,4.60434400338168,-0.36163227178488616,-0.08067247821870306
206,206,206,07-25,4.9250680323089435,0.14421805066925802,-0.4799841861499124
207,207,207,07-26,3.99060273317694,-1.3296333924832446,-0.584159738559548
208,208,208,07-27,4.016461621870305,-1.2888483997666214,-0.51491901278631
209,209,209,07-28,4.670244365089706,-0.2576933204959886,-0.24194001294636955
210,210,210,07-29,4.836213366473012,0.004075257143627809,-0.2988848043117383
211,211,211,07-30,5.642804442229817,1.2762417272547566,0.18806811220275452
212,212,212,07-31,4.7084399654390765,-0.1974506975229544,0.5222077337499699
213,213,213,08-01,5.843057829277829,1.5920841066037126,0.5664061761629249
214,214,214,08-02,5.287587892506244,0.7159893295166703,0.5413055175551632
215,215,215,08-03,4.838383064152541,0.00749733398174149,0.7101623589925786
216,216,216,08-04,4.7407260177448025,-0.14652869450294198,0.9090356069983198
217,217,217,08-05,6.285165758537757,2.289382775879248,0.5947844283961509
218,218,218,08-06,5.464989005915776,0.9957887905114924,0.4142081368447281
219,219,219,08-07,4.647590716309068,-0.2934229650093005,0.4757165495921041
220,220,220,08-08,4.600643713356889,-0.3674684197918662,0.4256567575224681
221,221,221,08-09,5.072371954623766,0.3765478104659977,0.1494930865139532
222,222,222,08-10,4.550289706996498,-0.44688744692075777,-0.0635485575952106
223,223,223,08-11,5.2345902668055375,0.6324007498281587,0.050175017652339116
224,224,224,08-12,4.6545408785350935,-0.2824610741434906,-0.1096103494989466
225,225,225,08-13,5.080215328195681,0.3889184864759978,-0.4133215944944246
226,226,226,08-14,3.9927918910895066,-1.3261806226995805,-0.3111779290469134
227,227,227,08-15,3.9170006149014913,-1.4457196595068702,-0.2541614158281036
228,228,228,08-16,4.9388622920978245,0.16597454576430964,-0.4247480113863895
229,229,229,08-17,5.4514911763022855,0.9744998291410176,-0.6485473812143852
230,230,230,08-18,4.005599271345762,-1.3059806474932056,-0.6057203455115148
231,231,231,08-19,4.2288429078198,-0.9538777324919768,-0.2458728973084825
232,232,232,08-20,4.155713516257174,-1.069218408482358,-0.4822919465628239
233,233,233,08-21,5.285924009002918,0.7133650297113239,-0.5806797529233227
234,234,234,08-22,4.0394823772154425,-1.2525397497617392,-0.2864972770934364
235,235,235,08-23,5.077206544039961,0.3841729909780249,-0.04332842295088659
236,236,236,08-24,5.12472148635447,0.4591142074861129,0.5186351694083088
237,237,237,08-25,5.153900275365053,0.5051353923633217,0.6830332332229728
238,238,238,08-26,6.293522501857471,2.302563145672814,1.0042428417884122
239,239,239,08-27,5.911323345929427,1.699753412599308,0.8994936547855114
240,240,240,08-28,5.261420589563967,0.6747179016308965,0.6382864614473701
241,241,241,08-29,4.678722093705689,-0.2443221310393789,0.48034623818878597
242,242,242,08-30,4.131043083315172,-1.1081289525427347,0.05193118362981353
243,243,243,08-31,4.553067707097709,-0.442505947188183,-0.5243093004552509
244,244,244,09-01,4.663755795160914,-0.2679271816810206,-0.6185092791065543
245,245,245,09-02,3.7192025368711854,-1.7576894919110788,-0.4354212285175753
246,246,246,09-03,4.903067195247644,0.10951802972307594,-0.5134520540851008
247,247,247,09-04,5.375221448872066,0.8542061724944953,-0.5204569451798682
248,248,248,09-05,3.8342000096353366,-1.576313905947888,-0.4995665105753217
249,249,249,09-06,4.5264198613490585,-0.4845352937567874,-0.190743242640075
250,250,250,09-07,4.743226706476018,-0.14258457405374167,-0.4794189313864641
251,251,251,09-08,4.89402091680002,0.09525011570040134,-0.6886839431865946
252,252,252,09-09,3.8048937731304218,-1.6225361027552585,-0.7068932683420032
253,253,253,09-10,4.579140299344283,-0.4013838983062881,-0.8406896144721155
254,254,254,09-11,3.764928513281765,-1.6855698568803397,-0.719589563676064
255,255,255,09-12,4.017434875690741,-1.2873133705374615,-0.6225930483110411
256,256,256,09-13,5.203912737152139,0.5840157307225681,-0.4002233854446984
257,257,257,09-14,5.2630128318255816,0.6772292078905381,-0.3699114395041139
258,258,258,09-15,4.650827335133706,-0.2883181255572021,-0.10019319288534057
259,259,259,09-16,4.694452307602272,-0.2195122226627816,0.3428354717938402
260,260,260,09-17,4.790984469649515,-0.06726037716769928,0.2448464098050972
261,261,261,09-18,5.702794342224082,1.3708586175376232,0.13903869748389228
262,262,262,09-19,4.831144999066746,-0.003918641209889984,0.19281930129814892
263,263,263,09-20,4.860501563797556,0.04238293396330888,0.27555570051746303
264,264,264,09-21,4.855418272426383,0.034365497328338115,0.4896517850796929
265,265,265,09-22,5.0091962164464725,0.276906172653102,0.2872294568952566
266,266,266,09-23,5.605443875173469,1.21731613020568,0.19472828620645294
267,267,267,09-24,4.9327439724801625,0.15632464843100533,0.35786577489931354
268,268,268,09-25,4.479254170967203,-0.5589256653427117,0.25135549202717106
269,269,269,09-26,5.48110544981042,1.0212078661204724,0.05500988622377608
270,270,270,09-27,4.450234301651715,-0.6046961999045168,-0.11615925786185698
271,271,271,09-28,4.262262774357334,-0.901167462167268,-0.2550048867194913
272,272,272,09-29,4.954286150261843,0.1903012656918817,-0.4364208641726746
273,273,273,09-30,4.404550621489107,-0.6767491247148008,-0.78258188152807
274,274,274,10-01,3.7891156780041535,-1.6474215300618118,-0.7975552296547791
275,275,275,10-02,4.1642476614612125,-1.0557582380118995,-0.8178346189041958
276,276,276,10-03,4.393273034756438,-0.6945362886647717,-1.0584010019708499
277,277,277,10-04,4.18511638774199,-1.0228437976637696,-0.9321482660622958
278,278,278,10-05,4.0391290433855405,-1.2530970327080408,-0.8895833413984809
279,279,279,10-06,4.88483837847499,0.08076729073652142,-0.9772893879706158
280,280,280,10-07,3.951040186379674,-1.3920319820789215,-1.2148748444009654
281,281,281,10-08,3.830598334346901,-1.5819945174447074,-0.9435587343907345
282,282,282,10-09,3.4894559004960723,-2.120049027246869,-0.8010060228739805
283,283,283,10-10,5.217250899308805,0.6050528623976174,-0.94857779627708
284,284,284,10-11,4.5814247930493615,-0.3977807636075177,-0.8724777890061907
285,285,285,10-12,4.32344922890804,-0.8046633496820754,-0.5260497941241882
286,286,286,10-13,4.240538085460596,-0.9354319384535864,-0.05267470366148822
287,287,287,10-14,5.14847175246838,0.4965734518473074,-0.3643757412817776
288,288,288,10-15,5.290258542713636,0.7202015155293306,-0.3364051571066278
289,289,289,10-16,4.031484974067745,-1.2651533633241183,-0.2824652181760863
290,290,290,10-17,4.687829846677647,-0.2299572585566191,-0.12923823842693313
291,291,291,10-18,4.528646305188984,-0.4810237160988266,-0.4932479483356967
292,292,292,10-19,4.8234406410673625,-0.016070059958667653,-0.7035311392004147
293,293,293,10-20,3.763714378023892,-1.6874848076052742,-0.4975816414809126
294,294,294,10-21,4.4903040597834405,-0.5414976296589765,-0.6104024821778627
295,295,295,10-22,4.814953321111839,-0.029456377007105967,-0.4053866438652649
296,296,296,10-23,4.258639396825949,-0.9068823027383196,-0.26182758635161185
297,297,297,10-24,5.308562846570381,0.7490713137767605,-0.0023511642969073674
298,298,298,10-25,5.3695647090493885,0.8452842851232508,0.13063086158014314
299,299,299,10-26,4.7508086207153335,-0.13062627527704732,0.15507796234542268
300,300,300,10-27,4.996191227046007,0.2563945256033265,0.4232547463879111
301,301,301,10-28,4.9079544201127225,0.11722622758457125,0.3158446976324208
302,302,302,10-29,5.2788313566797695,0.7021784015166105,0.4793106379343408
303,303,303,10-30,4.899956007096547,0.10461102124381913,0.4951202553788638
304,304,304,10-31,5.991418083126477,1.8260799269347705,0.7184836045900518
305,305,305,11-01,4.810951204134157,-0.03576857060990902,0.8711161504703098
306,306,306,11-02,5.845904947810041,1.5965746208704543,0.8618972219519878
307,307,307,11-03,5.488595644053974,1.0330215028661194,1.1040785672411024
308,308,308,11-04,5.243760920637218,0.6468648304066783,0.7550418877221201
309,309,309,11-05,5.821256716151932,1.557699092978507,0.8693812168624898
310,310,310,11-06,4.6636207668497445,-0.2681401501791231,0.7036917419301204
311,311,311,11-07,5.245918252831422,0.6502674042323093,0.7022354273325063
312,312,312,11-08,5.2155928543828045,0.6024377712762388,0.6717296085004927
313,313,313,11-09,5.48305556552403,1.0242836152804355,0.2185425757057068
314,314,314,11-10,5.127711385580347,0.463829917414596,0.3489928087977873
315,315,315,11-11,4.097253019045917,-1.1614231037902083,0.2033324751219158
316,316,316,11-12,5.1598765461737015,0.5145612483733604,0.19771428299320973
317,317,317,11-13,4.691800558354911,-0.2236945978229196,-0.06843940298690687
318,318,318,11-14,5.194220256978133,0.5687286185040022,-0.20301525092214293
319,319,319,11-15,4.470559828833585,-0.5726385006002641,-0.1228865676984483
320,320,320,11-16,4.615761037065889,-0.3436251701968205,0.0820089118926463
321,321,321,11-17,4.402076714618072,-0.6806510044480405,0.4618267643327232
322,322,322,11-18,5.939335221672285,1.7439341259199284,0.6110885200405557
323,323,323,11-19,6.1366949053872775,2.0552125168175417,0.7846162474987316
324,324,324,11-20,5.762038398397378,1.4642991527509972,0.7787008440615999
325,325,325,11-21,5.130690022416965,0.4685278641487916,0.9873499131791816
326,326,326,11-22,4.5932577952308415,-0.3791175908196107,0.9747769819815032
327,327,327,11-23,5.195814709145656,0.5712434102574511,0.6962255685945739
328,328,328,11-24,5.8915055657031274,1.6684965387338564,0.5663730979583245
329,329,329,11-25,5.077036018963164,0.3839040364959653,0.42636366448356106
330,330,330,11-26,5.2680566132728766,0.6851843289335002,0.38874632041657664
331,331,331,11-27,4.598069352642613,-0.3715287366997887,0.10840130045289154
332,332,332,11-28,4.450154759279332,-0.6048216552215171,-0.16380596980223075
333,333,333,11-29,4.129332625794631,-1.1108267095246596,-0.0792668244623022
334,334,334,11-30,4.855980922809228,0.03525291720312265,-0.2991015530878452
335,335,335,12-01,5.3986378931770185,0.8911389085355367,-0.3480684441796049
336,336,336,12-02,4.431766389862288,-0.6338240428197577,-0.3430309496348188
337,337,337,12-03,4.411790630682338,-0.665330083250347,0.06867232251715649
338,338,338,12-04,4.469318280278167,-0.5745966879528005,1.163283697238466
339,339,339,12-05,5.695524753851513,1.3593929233871922,1.008336225005023
340,340,340,12-06,9.020076363219511,6.6029211655309785,0.9936679391509065
341,341,341,12-07,4.809190279593931,-0.03854592486512184,1.135780394666536
342,342,342,12-08,4.375965633854877,-0.721833757944457,1.1397990868795376
343,343,343,12-09,4.9524115685826136,0.18734464984343013,1.0633418161510881
344,344,344,12-10,4.484606096855839,-0.5504845346747902,0.15921270206982374
345,345,345,12-11,5.404667761334316,0.9006492990164957,0.08154783949669034
346,346,346,12-12,5.580609161952276,1.1781464810433921,0.20891256012862536
347,347,347,12-13,4.513739393928492,-0.5045351003039222,0.3072264807855436
348,348,348,12-14,4.860483577574948,0.04235456584715319,0.29011771088446553
349,349,349,12-15,5.326415126549075,0.7772281737849392,0.11562578569042865
350,350,350,12-16,4.4195213075129125,-0.6531371540812586,-0.2859652360472327
351,351,351,12-17,4.7408695888789145,-0.14630225214772566,-0.3963934054629503
352,352,352,12-18,4.052885824568482,-1.2313996493825756,-0.6007324596703507
353,353,353,12-19,4.093651089187534,-1.167104116798228,-0.6530104743988131
354,354,354,12-20,4.083141642735815,-1.1836797593972497,-0.6447719493997618
355,355,355,12-21,5.127540304131013,0.4635600854141652,-0.6813719502769429
356,356,356,12-22,4.450862115014561,-0.6037060040869507,-0.5071765058381096
357,357,357,12-23,4.601636706514172,-0.3659022574108113,-0.5681329687206782
358,358,358,12-24,4.715556131747291,-0.186226982749576,-0.22299536323610067
359,359,359,12-25,3.8617619137096457,-1.5328428940936392,-0.4748799736399696
360,360,360,12-26,5.3961061911613815,0.8871458735102155,-0.7260655177254575
361,361,361,12-27,4.169326656881717,-1.0477475770090487,-0.967348714081198
362,362,362,12-28,3.4953078397909363,-2.1108192685998786,-0.9758300232677868
363,363,363,12-29,3.6837527149940175,-1.8136014355452537,
364,364,364,12-30,4.683291730217957,-0.23711483786910906,
365,365,365,12-31,,,
