,unnamed: 0,unnamed: 0,mth_day,reflective,reflective_norm,reflective_ravg
75,75,75,03-16,4.787188047522718,-0.5947910179904531,-0.4161701918891203
76,76,76,03-17,5.511740226282189,0.4369998286829225,-0.019252489718991628
77,77,77,03-18,3.725404796072573,-2.106812197573491,0.03854943485649615
78,78,78,03-19,6.269458533430376,1.5160205487791651,0.4853686929777521
79,79,79,03-20,5.471514703609612,0.37971709969123296,0.9617721409832716
80,80,80,03-21,7.508930807184623,3.2810778962771376,1.059114530040293
81,81,81,03-22,6.794450414700084,2.263629670042664,1.7942164154119506
82,82,82,03-23,5.921879395306492,1.0210541630250525,1.6452696627882046
83,83,83,03-24,6.822658513956165,2.3037991146564525,1.6732437660737751
84,84,84,03-25,5.6418912634901766,0.6223400330366897,1.0856535390654252
85,85,85,03-26,5.589379855542785,0.5475617194046559,0.8612949009091794
