,unnamed: 0,unnamed: 0,mth_day,artistic,artistic_norm,artistic_ravg
62,62,62,03-03,0.4437892625383409,-0.4923941061598649,0.9230294238997718
63,63,63,03-04,1.0024110355240858,2.571368682626607,1.22882234786621
64,64,64,03-05,0.7909038412814916,1.4113568416673956,0.7690093370077891
65,65,65,03-06,0.6878345520426394,0.8460730158170858,0.8681644814173075
66,66,66,03-07,0.6199420883095685,0.4737165949195322,0.9143346085593472
67,67,67,03-08,0.6062944095114456,0.3988658596330901,0.5023619285813613
68,68,68,03-09,0.4942989920333177,-0.21537334330762734,0.03895985003257759
69,69,69,03-10,0.5517163999864308,0.09953260275869147,-0.19871639052296008
70,70,70,03-11,0.2839458776852258,-1.3690556296253065,-0.3345738025089166
71,71,71,03-12,0.42781875046360734,-0.5799844275161402,-0.3984847610151465
72,72,72,03-13,0.4713152260055643,-0.3414278769962069,-0.32761369678765395
73,73,73,03-14,0.5363763602068979,0.015400108595710704,-0.3327654050061222
74,74,74,03-15,0.5718313382653113,0.20985304205732785,-0.17624444933988972
75,75,75,03-16,0.5460804746672011,0.06862235344788235,-0.1782890851728831
76,76,76,03-17,0.45517848240981,-0.4299298956279117,0.26633633798180106
77,77,77,03-18,0.4255819361156088,-0.5922522425141004,0.2852150416238989
78,78,78,03-19,0.9577316870441556,2.3263246619318982,0.1206289807540114
79,79,79,03-20,0.5570295026867667,0.12867233044829793,0.1590035266694944
80,80,80,03-21,0.3917755765038857,-0.7776633231619974,0.955490425495924
81,81,81,03-22,0.5880619040819521,0.2988696289407805,1.1611992530133894
82,82,82,03-23,1.3265284287127463,4.348991497330666,0.8375658918446454
83,83,83,03-24,0.6506256575823246,0.6420007225906907,0.9449540252714892
84,84,84,03-25,0.6036795208481655,0.3845244949194345,1.0045741069536558
85,85,85,03-26,0.6745112144800505,0.7730011310093614,0.9229275348333909
86,86,86,03-27,0.4569994427707098,-0.4199428330689982,0.4684564604599613
87,87,87,03-28,0.4987412431424744,-0.191009803780809,0.4511661869571658
88,88,88,03-29,0.8293409083216262,1.6221650510900891,0.35589510341830205
89,89,89,03-30,0.6317102442711672,0.5382590815739177,0.2172252025052288
90,90,90,03-31,0.4994537593847594,-0.1871020063137477,-0.02495473315618436
91,91,91,04-01,0.5228075130224686,-0.05901827446907796,-0.007602785531809268
92,92,92,04-02,0.1920566367494808,-1.8730224470374768,-0.3562313359878357
93,93,93,04-03,0.5177241274222137,-0.08689811803455846,-0.44147352188753003
94,94,94,04-04,0.4479442159628128,-0.4696062516460691,-0.3076375115748167
95,95,95,04-05,0.5384560121979416,0.02680596617575141,0.05278973050483028
96,96,96,04-06,0.6458692253154744,0.6159140555625319,0.2640447287700605
97,97,97,04-07,0.91711187445636,2.103545178008804,0.09626718906286767
98,98,98,04-08,0.4231678222138751,-0.6054924574460961,0.14658677077466242
99,99,99,04-09,0.3341769147435033,-1.0935633562777152,0.22561299981435656
