,unnamed: 0,unnamed: 0,mth_day,soundtrack,soundtrack_norm,soundtrack_ravg
74,74,74,03-15,15.86066087724787,-0.29877901554485997,-0.6999417430538238
75,75,75,03-16,15.740892387215721,-0.37467210452039545,-0.9843442266178742
76,76,76,03-17,16.900913279990274,0.3603924254339078,-0.3649574909787837
77,77,77,03-18,11.710457864675686,-2.928617017302466,-0.2393446976115792
78,78,78,03-19,19.46449314353379,1.9848430186372767,-0.2453311846220497
79,79,79,03-20,16.049315041371294,-0.17923549237293973,-0.1038451437293072
80,80,80,03-21,15.803976466096367,-0.33469793760768324,-0.059302003428831726
81,81,81,03-22,17.080585081801914,0.4742441408360596,0.6118413223220178
82,82,82,03-23,17.322680114922864,0.6276512672367608,0.30813140006281586
83,83,83,03-24,18.065330789633034,1.098242937202631,0.3047274047973219
84,84,84,03-25,16.588746804483698,0.16258348508206544,0.3925048971714868
