,unnamed: 0,unnamed: 0,mth_day,seen more than once,seen more than once_norm,seen more than once_ravg
74,74,74,03-15,22.257698566929776,0.019973896756845744,-0.4529218551782994
75,75,75,03-16,21.38814271529461,-0.421274147824742,-0.8048225457722488
76,76,76,03-17,22.87629281280389,0.3338738042419066,-0.4976345859975855
77,77,77,03-18,16.946464362448758,-2.6751625946313613,-0.4569038213899336
78,78,78,03-19,23.1793990942194,0.4876822729256491,-0.4189424894717415
79,79,79,03-20,21.2595720077548,-0.4865161598079034,-0.2785859581459704
80,80,80,03-21,22.706554923947248,0.2477418882659984,-0.204797860261251
81,81,81,03-22,23.04772414068455,0.4208650401298849,0.3252736710161228
82,82,82,03-23,23.74876633083425,0.776602391550223,0.3078636189014705
83,83,83,03-24,23.21405204879684,0.505266593032881,0.42326967414073297
84,84,84,03-25,22.973541918699127,0.3832219602377353,0.3718014325408206
