,unnamed: 0,unnamed: 0,mth_day,great cinematography,great cinematography_norm,great cinematography_ravg
69,69,69,03-10,1.1212721643296661,-1.2008849888406672,-0.4615590204570445
70,70,70,03-11,1.5333999931660327,0.2099292377106073,-0.6222855059743616
71,71,71,03-12,1.3008266277443252,-0.5862262016837336,-0.7649456061154289
72,72,72,03-13,1.2659506878751572,-0.7056150628307567,-0.8939305280339314
73,73,73,03-14,0.7729018120837299,-2.3934417992966477,-0.8024418786028306
74,74,74,03-15,1.2712879376164772,-0.6873443532623887,-0.8297699849645847
75,75,75,03-16,1.2816264522732206,-0.651953092254063,-0.9388218152900926
76,76,76,03-17,1.4855013842813871,0.04596059954008317,-0.9186103419576798
77,77,77,03-18,1.1096889433482149,-1.240537183636781,-0.5609132921374759
78,78,78,03-19,1.3013758082006022,-0.5843462228362799,-0.3988789488273252
79,79,79,03-20,1.3998457672092772,-0.2472595003754243,-0.3760761594379735
80,80,80,03-21,1.5552893072450469,0.2848617065985158,-0.2679275038168545
81,81,81,03-22,1.3215934326406598,-0.5151363559179528,0.09751614874382523
82,82,82,03-23,1.6750560533251941,0.6948525332667971,0.3826607455719304
83,83,83,03-24,1.7502105496267182,0.9521247317272976,0.3832678508522465
84,84,84,03-25,1.8011553881774296,1.1265213581323514,0.21441646518074964
85,85,85,03-26,1.4009098547822951,-0.2436168686935282,0.3660833669005837
86,86,86,03-27,1.259339548602844,-0.7282466074304652,0.34779279831502913
87,87,87,03-28,1.5874235457871495,0.39486505440105135,0.14431515316359253
88,88,88,03-29,1.6429977475150497,0.5851091217534697,-0.06337695494417434
89,89,89,03-30,1.3935705390507382,-0.2687411391813219,-0.1612910950740913
90,90,90,03-31,1.4371285901624706,-0.11963129051424982,-0.17441552470185132
91,91,91,04-01,1.2292934595488898,-0.83110170947303,-0.4458378856060943
92,92,92,04-02,1.236336054937658,-0.8069931851970252,-0.7048852427947584
93,93,93,04-03,1.1116952485021876,-1.233669111024407,-0.7747830009513006
94,94,94,04-04,1.1889594076340926,-0.969175021378514,-0.7051572560663063
95,95,95,04-05,1.2710591094062986,-0.6881276881205749,-0.6729130409646601
96,96,96,04-06,1.5591632558067692,0.2981231787957153,-0.5463542083331673
97,97,97,04-07,1.2858086467887797,-0.6376364188631527,-0.3818317103329427
98,98,98,04-08,1.4581586702651903,-0.04764018940806787,-0.3751049437660357
99,99,99,04-09,1.4000576648409362,-0.2465341230230592,-0.2797597872932374
100,100,100,04-10,1.2007495681589917,-0.9288144219770714,-0.3667883945128268
101,101,101,04-11,1.4381727871153172,-0.11605674928378545,-0.3168336314228402
102,102,102,04-12,1.4066261877858206,-0.2240484645218207,-0.2685078358772872
103,103,103,04-13,1.3733655242210598,-0.3379078403232333,-0.28007742777826555
104,104,104,04-14,1.542860418320274,0.2423145838652505,-0.047571482142006
105,105,105,04-15,1.3797793714939997,-0.3159516744289293,-0.03570389922268384
106,106,106,04-16,1.608268157481079,0.4662212518404858,0.0471640301836664
107,107,107,04-17,1.4589733762645989,-0.044851251767852485,0.2695638167386496
108,108,108,04-18,1.551870738841515,0.27315911191628073,0.3320111836690928
109,109,109,04-19,1.7631708130036878,0.996490879006666,0.30657925453357754
110,110,110,04-20,1.6523133736360296,0.6169987854479096,0.11481052328615192
111,111,111,04-21,1.3352042366230048,-0.4685432492420207,-0.1483604555196693
112,112,112,04-22,1.2721506331735637,-0.6843911356440677,-0.06075275543549796
113,113,113,04-23,0.9977074686768318,-1.62387712460278,-0.3019425805240559
114,114,114,04-24,1.7054227964216129,0.7988053124213088,-0.3907240577337602
115,115,115,04-25,1.340431785793186,-0.4506480715246815,-0.3975226241879162
116,116,116,04-26,1.4967040095338693,0.08430992218968338,0.055168786338398425
117,117,117,04-27,1.3232882307624731,-0.5093346479669567,0.3722929619231677
118,118,118,04-28,2.06559341809278,2.03175732751382,0.17198262015451038
119,119,119,04-29,1.5535384016045144,0.2788679289058357,0.18448401017883206
120,120,120,04-30,1.3543341922966516,-0.4030567381906352,0.1442764588033507
121,121,121,05-01,1.362343263425878,-0.3756397313787509,0.20930931643787645
122,122,122,05-02,1.4262312972262652,-0.15693538606320526,-0.13834151192694116
123,123,123,05-03,1.4372728358885154,-0.11913750215980222,-0.04110240896575322
124,124,124,05-04,1.4562577094329865,-0.05414764267508576,-0.059749279187228985
125,125,125,05-05,1.72397164346097,0.8623025466729632,-0.19434626276109893
126,126,126,05-06,1.3216513883058414,-0.5149379595194898,-0.29630782991683824
127,127,127,05-07,1.1264319936175688,-1.183221632821971,-0.5041918696592601
128,128,128,05-08,1.2475208823219497,-0.7687047889976408,-0.5479484921652316
