,unnamed: 0,unnamed: 0,mth_day,twist,twist_norm,twist_ravg
130,130,130,05-10,3.5565826809824936,-0.3153993857216521,0.1055004553932063
131,131,131,05-11,4.665799880652124,1.4303629148599386,0.2242737252682063
132,132,132,05-12,4.095609257378598,0.5329577046337408,0.12250127633923165
133,133,133,05-13,3.883207498000949,0.1986652106035868,0.3783949147272359
134,134,134,05-14,3.6828800020089267,-0.11662397746250575,0.4236237607377806
135,135,135,05-15,4.100342381891582,0.5404070214503077,0.4078622312270106
136,136,136,05-16,3.7290068898202895,-0.044026309658384284,0.5911518582201418
137,137,137,05-17,4.605712801372354,1.3357937377953186,0.4189564414097751
138,138,138,05-18,4.794357328799596,1.6326954665925284,0.7590544176391335
139,139,139,05-19,3.22675346196165,-0.8345072902586138,1.2191661285573077
140,140,140,05-20,4.9794225771834295,1.9239638799136445,1.295166858446574
141,141,141,05-21,5.854408751694048,3.301077286959351,1.0183774078901773
142,142,142,05-22,4.018741580800392,0.4119780696772146,0.8376585566725763
143,143,143,05-23,3.5505189099405823,-0.3249429655430614,1.1470048245722142
144,144,144,05-24,4.105409728058127,0.5483823592869222,0.7476783375128607
145,145,145,05-25,4.406062469471691,1.0215703171392143,0.2527681058688511
146,146,146,05-26,3.457085403620946,-0.4719950424424768,0.3706971517611146
147,147,147,05-27,3.9676813052972553,0.33161589709529343,0.5509411994791312
148,148,148,05-28,4.468317995644783,1.119552345030796,0.5894445770510232
149,149,149,05-29,4.2376564353652935,0.7565213207650376,0.4625453317258761
150,150,150,05-30,4.252194689449106,0.7794026247182736,0.9544731809271364
151,151,151,05-31,3.9222893046157807,0.2601748451883322,0.9794617439590904
152,152,152,06-01,5.332443226901047,2.4795720527650853,0.9770099779291336
153,153,153,06-02,4.062944253411685,0.4815472752870174,0.8554376719103939
154,154,154,06-03,4.458971221290378,1.1048417488510558,0.8405679553332615
155,155,155,06-04,3.774190958554752,0.027087484652599924,0.8477774942361002
156,156,156,06-05,4.195507434685706,0.6901843252554787,0.4468122380918851
157,157,157,06-06,3.9497739554759295,0.3034320786053636,0.5094599074389548
158,158,158,06-07,3.803858636306096,0.07378051589979485,0.2546612828853532
159,159,159,06-08,4.30177357972662,0.857433291369435,0.20268679745213028
160,160,160,06-09,3.487612119150768,-0.4239499984705533,0.2369593018153561
161,161,161,06-10,3.57605060519518,-0.2847594279467378,0.343506143975389
162,162,162,06-11,4.32616319911404,0.8958193514348334,0.46292118036888397
