,unnamed: 0,unnamed: 0,mth_day,space opera,space opera_norm,space opera_ravg
73,73,73,03-14,1.3361690839292089,-1.8330780846318264,-0.8992339078580628
74,74,74,03-15,1.7525794341829508,-0.8928585536169839,-0.8437758047809506
75,75,75,03-16,2.2025259118451417,0.12308273110741888,-0.7848092441500593
76,76,76,03-17,1.9034203289372604,-0.5522725061344105,-0.35823523702805365
77,77,77,03-18,1.7946749595584148,-0.7978103995491893,0.0009938628534517842
78,78,78,03-19,2.9467709454373936,1.8035253906566693,0.3294749688833727
79,79,79,03-20,2.2907549675570578,0.3222965146572063,0.3446041334842063
80,80,80,03-21,2.625458126243412,1.0780280825625417,0.4534669773534303
81,81,81,03-22,2.2427289103321844,0.21385771871242013,0.5208108961174539
82,82,82,03-23,2.192703502386801,0.1009045570809342,0.28214033654707343
83,83,83,03-24,1.973629154030752,-0.3937468869650475,0.06693360598561747
