,unnamed: 0,unnamed: 0,mth_day,train,train_norm,train_ravg
73,73,73,03-14,1.4481261764351785,-0.20284894710339346,-0.14606957417789224
74,74,74,03-15,1.4456194545362706,-0.2116640622872764,-0.1847106106182612
75,75,75,03-16,1.3330824738646128,-0.6074105738965021,-0.35458070454632945
76,76,76,03-17,1.4506874628340631,-0.1938419509005344,-0.5018353748513257
77,77,77,03-18,1.2998263520226612,-0.7243587462222084,-0.6927192844593315
78,78,78,03-19,1.2012851109303466,-1.070887968698039,-0.8100373233796457
79,79,79,03-20,1.122440442523291,-1.3481524047514284,-1.0375352963520006
80,80,80,03-21,1.245451657861682,-0.915572295809162,-1.1831386758878006
81,81,81,03-22,0.9449259003581126,-1.9723984117306312,-0.8815302020473558
82,82,82,03-23,1.2022592761862174,-1.067462228115336,-0.7046984171679028
83,83,83,03-24,1.814430109659914,1.0852920968204611,-0.42851756329781177
