,unnamed: 0,unnamed: 0,mth_day,boxing,boxing_norm,boxing_ravg
61,61,61,03-02,0.4988485134424004,-0.2493642706464736,-0.6919343642115363
62,62,62,03-03,0.3470968972426816,-1.1595003621371576,-0.8732424416167602
63,63,63,03-04,0.4434722826078801,-0.5814853218442767,-0.7008007509948639
64,64,64,03-05,0.3650955478507473,-1.0515527703634255,-0.7121515642385704
65,65,65,03-06,0.525997083994639,-0.08653968590231928,-0.8244415742269992
66,66,66,03-07,0.34960349036264826,-1.14446697453777,-0.7017266606177431
67,67,67,03-08,0.3865124090412418,-0.9231043305770472,-0.6212616150384066
68,68,68,03-09,0.4698621846285237,-0.4232108804816213,-0.4565881573230757
69,69,69,03-10,0.523970358632415,-0.09869504836825747,-0.2767054222514938
70,70,70,03-11,0.529836603087232,-0.06351202407144001,-0.1433962692407238
71,71,71,03-12,0.7059536599095353,0.992756724527172,-0.08090494584005886
72,72,72,03-13,0.4829673660252388,-0.3446120564731499,-0.1552703531207512
73,73,73,03-14,0.4490293847760115,-0.5481563901730575,-0.3672947459061382
74,74,74,03-15,0.3954662507695865,-0.8694033241657751,-0.4619206043744989
75,75,75,03-16,0.31185893103537543,-1.3708414050805795,-0.8858086398706684
76,76,76,03-17,0.4351719012402341,-0.6312671748816048,-0.7395510603800456
77,77,77,03-18,0.2818916207770553,-1.5505714884498445,-0.5995461441583604
78,78,78,03-19,0.6292849834233706,0.5329334204705858,-0.20166079380975507
79,79,79,03-20,0.5890917722223691,0.2918731071570537,0.19124375332794585
80,80,80,03-21,0.7935149307996121,1.5179087779258569,0.17888378194234508
81,81,81,03-22,0.7049247632630056,0.986585877745626,0.40829287545864656
82,82,82,03-23,0.4228068561564261,-0.7054270031952096,0.2273527021094217
83,83,83,03-24,0.5113948854261368,-0.1741169273520356,0.10266608936471244
84,84,84,03-25,0.44827053515841103,-0.5527076196247632,-0.10830857053658012
85,85,85,03-26,0.4643539763297528,-0.4562465693112019,0.0484909738274798
86,86,86,03-27,0.5824536669960667,0.2520608185181013,0.4138828043633844
87,87,87,03-28,0.8617886729514117,1.9273831439299856,0.2055922975235728
88,88,88,03-29,0.7883486779680151,1.4869239800202183,0.05546741824561058
89,89,89,03-30,0.3030188765136925,-1.4238599683909057,-0.10688933923701338
