,unnamed: 0,unnamed: 0,mth_day,martial arts,martial arts_norm,martial arts_ravg
70,70,70,03-11,0.7633477573295605,-0.6336151285585848,-0.07833158064344252
71,71,71,03-12,1.1097597370286256,0.5757435729957584,-0.0032695570007626276
72,72,72,03-13,1.1811342221237948,0.8249190047859326,-0.057986637211034676
73,73,73,03-14,0.8774624963225859,-0.23522921622175924,-0.10260598984569702
74,74,74,03-15,0.6682479433505092,-0.9656180450041312,0.33517932585194027
75,75,75,03-16,0.8927565572914721,-0.18183612707139848,-0.0065761204134035895
76,76,76,03-17,1.5157502217055152,1.9930967656272391,0.04480335575338503
77,77,77,03-18,0.5223996069288196,-1.4747891045963049,0.10494612958718989
78,78,78,03-19,1.269437879419,1.1331958617866642,0.33416474982906824
79,79,79,03-20,0.9808272498316188,0.1256274267810699,0.41494619742377714
80,80,80,03-21,1.0621959552339424,0.4096936764471389,-0.030741002580994697
81,81,81,03-22,1.0315920962342509,0.3028525584968551,0.49362063246250715
82,82,82,03-23,0.7497671345614639,-0.6810264344013918,0.3634574056765742
83,83,83,03-24,1.4235970027396565,1.671380705664706,0.3021006567294568
84,84,84,03-25,1.045732037552658,0.3522165010710662,0.2318762840821941
85,85,85,03-26,0.8753760904195192,-0.2425130669016345,0.2900276060999851
86,86,86,03-27,0.9415043990202376,-0.011652559436437143,0.40648844381010213
87,87,87,03-28,1.1315342286540702,0.6517604906036011,0.2576422060708855
88,88,88,03-29,0.9499232799468882,0.017738591859310263,0.2713149561377373
89,89,89,03-30,1.1677814875262025,0.7783032792294065,0.28531134317267287
90,90,90,03-31,1.0692307947658874,0.43425300147217705,0.43250849914576334
91,91,91,04-01,0.8994310683272719,-0.15853474469202095,0.2243128399942448
92,92,92,04-02,1.1944857095669286,0.8715303764021058,0.10809393191056606
93,93,93,04-03,0.7737174600209046,-0.5974134643055101,-0.03505908978126121
94,94,94,04-04,0.7501829284234568,-0.6795748566427623,-0.10559706295763911
95,95,95,04-05,0.9217506535952944,-0.08061485092155714,0.1277847153117253
96,96,96,04-06,0.9480002670461152,0.011025162413909613,0.06991303094338279
97,97,97,04-07,1.3005341177305805,1.2417559249241656,0.3991674600424249
98,98,98,04-08,1.0950241781381271,0.5243002701920508,0.7086259869687032
99,99,99,04-09,1.3395926389680142,1.3781131102887427,1.0182936677107273
100,100,100,04-10,1.282035756585233,1.1771763049149069,1.0650016157016025
101,101,101,04-11,1.4539629452675136,1.7773912335305886,0.925058119213834
102,102,102,04-12,1.0282751732938855,0.29127285035916084,0.9335807497706864
