,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,based on novel or book,based on novel or book_norm,based on novel or book_ravg
30,30,30,30,01-31,6.867277824052431,-1.0686783980190744,-0.7825424866878977
31,31,31,31,02-01,6.761768339797639,-1.1887350547810431,-0.5074711008499575
32,32,32,32,02-02,6.969564235337549,-0.9522891970121228,-0.6652510943879221
33,33,33,33,02-03,8.045889717212216,0.2724351948684893,-0.6067117807246653
34,34,34,34,02-04,7.1145953531527235,-0.7872618418475996,-0.5865220792947213
35,35,35,35,02-05,7.880514346149954,0.0842586124433565,-0.29680858614080674
36,36,36,36,02-06,6.973737809325306,-0.9475401894394104,0.007117205985872917
37,37,37,37,02-07,8.289423135562714,0.5495459041424446,0.03117223023852078
38,38,38,38,02-08,8.572160265106719,0.8712655557479552,0.3545655849009191
39,39,39,39,02-09,8.172731490309335,0.4167653403843765,0.4248651498412525
40,40,40,40,02-10,8.819843540906637,1.1530982861267902,0.5969749172271841
41,41,41,41,02-11,8.251202871396668,0.5060560020853566,0.5779399863494308
42,42,42,42,02-12,7.881269966985108,0.08511841487617926,0.6404500435254841
43,43,43,43,02-13,8.189052237659771,0.43533631887592494,0.3946902622664787
44,44,44,44,02-14,8.901774835656992,1.2463258988042756,-0.0330725062510863
45,45,45,45,02-15,6.8768439416854275,-1.057793347169656,-0.27299067594039755
46,46,46,46,02-16,6.564257038318592,-1.4134783249785996,-0.32049198377188753
47,47,47,47,02-17,6.986118050779285,-0.9334530160505108,-0.5397760114183723
48,48,48,48,02-18,7.630796301005947,-0.19988943211276072,-0.9487654551773126
49,49,49,49,02-19,7.032770930834807,-0.8803678470029837,-1.0259901468760724
50,50,50,50,02-20,6.745179785927278,-1.2076107637493665,-0.9225334216917046
51,51,51,51,02-21,6.469639329498397,-1.5211414973622148,-0.6518853758237991
52,52,52,52,02-22,7.109782759821955,-0.7927379738723934,-0.6039987759751136
53,53,53,53,02-23,8.413241036089799,0.6904352591569216,-0.5191317883102431
54,54,54,54,02-24,7.883301605868857,0.0874301669793526,-0.2389663108633602
55,55,55,55,02-25,7.480273252169553,-0.3711659210137605,0.16049374355534654
56,56,56,56,02-26,8.222488041646535,0.4733821009319308,0.0649144397115864
57,57,57,57,02-27,8.575986055728086,0.8756188291500256,-0.013671298506025923
58,58,58,58,02-28,6.605794559951552,-1.3662137969349541,-0.1066157249639253
59,59,59,59,02-29,7.998859646531616,0.21892082985124767,-0.14859131346506274
60,60,60,60,03-01,7.393207073949312,-0.4702363917680437,-0.22135627978438444
61,61,61,61,03-02,7.25893661927494,-0.6230194520205853,-0.38188504968446385
62,62,62,62,03-03,7.838799492827923,0.0367923030160008,-0.2410691087957051
63,63,63,63,03-04,7.729520319781708,-0.08755379025045062,-0.4063539478051981
64,64,64,64,03-05,7.348314851557713,-0.5213181516024019,-0.23286148350567507
65,65,65,65,03-06,7.127315231284214,-0.7727882042057106,-0.4511730477738829
66,66,66,66,03-07,8.3080301711789,0.5707183940290947,-0.6853952712201523
67,67,67,67,03-08,6.107783096894388,-1.932888837629832,-0.7283296822346133
68,68,68,68,03-09,6.603749309188878,-1.3685410376616152,-0.6338683195503116
69,69,69,69,03-10,7.503127830513887,-0.3451602563372165,-0.617738225332376
70,70,70,70,03-11,7.846408164879898,0.04545002450340783,-0.9782218955040086
71,71,71,71,03-12,7.212368970134691,-0.6760076388980962,-0.7359309657861641
72,72,72,72,03-13,6.407205319917573,-1.5921836270007008,-0.4376254783980275
73,73,73,73,03-14,7.3853794446668495,-0.4791432593227652,-0.4883408198941524
74,74,74,74,03-15,8.176709558470133,0.4212918866672045,-0.4328293158948906
75,75,75,75,03-16,7.235706614429005,-0.649452305313966,-0.8034927336622083
76,76,76,76,03-17,8.139119472114565,0.3785190484989791,-0.600346893281571
77,77,77,77,03-18,5.257866466290004,-2.899988145502003,-0.6067573946664508
78,78,78,78,03-19,7.478390213374832,-0.37330858471687656,-0.6791064446762562
79,79,79,79,03-20,7.351576969410138,-0.5176062676320439,-0.5883911813556146
80,80,80,80,03-21,7.795214129957907,-0.012802413391627816,-0.5852954659033175
81,81,81,81,03-22,7.714046803393716,-0.10516072539011667,0.005935319122950755
82,82,82,82,03-23,8.155443132105482,0.3970933412127622,0.08545557710343372
83,83,83,83,03-24,8.375417307007982,0.6473965646556062,0.21992138043071155
84,84,84,84,03-25,7.897699311276679,0.10381296316602127,0.3202978882193652
85,85,85,85,03-26,8.060613083272425,0.2891885523316231,0.5704622562218372
86,86,86,86,03-27,8.32449791248447,0.5894566333402942,0.5303879209394974
87,87,87,87,03-28,9.033159670206189,1.3958254826247156,0.4731865094180902
88,88,88,88,03-29,7.9441317782064775,0.15664732951872334,0.4764621674911475
89,89,89,89,03-30,8.073795143387231,0.30418809552716314,0.35417819916378096
90,90,90,90,03-31,7.914971805940689,0.12346691160436495,0.26153903835762504
91,91,91,91,04-01,7.41581159809879,-0.4445152576325762,-0.0012204016382484362
92,92,92,92,04-02,7.836013041653856,0.03362166850335869,0.062461409632412875
93,93,93,93,04-03,7.6476331823909005,-0.18073115735052514,0.1988353274368954
94,94,94,94,04-04,8.27992499008477,0.5387381971426912,0.5951719183916131
95,95,95,95,04-05,8.792892715555231,1.1224316023540584,0.7224397068847681
96,96,96,96,04-06,10.004848557340363,2.501486457332671,0.8947151160579847
97,97,97,97,04-07,8.086892690392597,0.3190914733263538,0.7644142434766099
98,98,98,98,04-08,8.744418625911674,1.0672741235426584,0.617164730011183
99,99,99,99,04-09,6.96055868432615,-0.9625363928387736,0.5009548876353354
100,100,100,100,04-10,7.503480569182263,-0.34475888364987034,0.09193733143654066
101,101,101,101,04-11,8.18012000314914,0.4251725480989719,0.25651069312957575
102,102,102,102,04-12,7.848105271147459,0.04738112013990282,0.11196761503553092
103,103,103,103,04-13,8.954685496687537,1.3065316434845644,0.27874029900551056
104,104,104,104,04-14,7.982245197117647,0.20001565497838933,0.341984261140241
105,105,105,105,04-15,7.8399484831782225,0.03809971098110443,0.09614167687342712
106,106,106,106,04-16,7.836965009297647,0.0347048891585122,0.16155277649743247
107,107,107,107,04-17,6.883795835537952,-1.0498829575019113,-0.22406723756838745
108,108,108,108,04-18,8.193016993929357,0.4398477178839348,-0.39673925014336325
109,109,109,109,04-19,6.921317090481893,-1.007188440910355,-0.44252941947843843
110,110,110,110,04-20,7.07174832921916,-0.8360164204714655,-0.4186009000135908
111,111,111,111,04-21,7.5984976241860975,-0.2366413050293469,-0.4338384039745926
112,112,112,112,04-22,7.963139724593399,0.1782760059475983,-0.4749156118858105
113,113,113,113,04-23,6.8034487113909,-1.1413079812679223,-0.3550071071079282
114,114,114,114,04-24,7.976417508074991,0.1933844704166275,-0.23897227563194065
115,115,115,115,04-25,7.5535927928760325,-0.28773741224306143,-0.017315884624817677
116,116,116,116,04-26,7.683598211840651,-0.13980743161553988,-0.09278465458431334
117,117,117,117,04-27,8.767288366542429,1.0932970410133909,0.16457150026748427
118,118,118,118,04-28,7.565194060744513,-0.2745366138093757,0.12621566090142758
119,119,119,119,04-29,8.160483759703753,0.4028289478428634,0.10539196720705701
120,120,120,120,04-30,7.774167756724879,-0.03675056577971262,0.025898646616281256
121,121,121,121,05-01,7.443789776138914,-0.4126795744092848,-0.14692725993830782
122,122,122,122,05-02,7.264431154380634,-0.6167673551601944,0.029590401038205788
123,123,123,123,05-03,7.855980018055184,0.056341601685856287,-0.03802194011039655
124,124,124,124,05-04,8.49596897354688,0.784569352049706,0.16796809239086427
125,125,125,125,05-05,7.8039649242013525,-0.0028450990487506713,0.12010349619702164
126,126,126,126,05-06,8.860350031511699,1.1991896292278523,0.21919197217348527
127,127,127,127,05-07,7.191400496209737,-0.6998671515723406,0.05885723848690941
128,128,128,128,05-08,7.786923164961853,-0.022236499301412537,-0.03857779614181236
129,129,129,129,05-09,7.0105374320797775,-0.9056668004335988,-0.18026290674899625
130,130,130,130,05-10,7.982195533774692,0.19995914427737546,-0.28065035266959676
131,131,131,131,05-11,7.056861514031294,-0.8529557626918541,-0.07424458414307328
132,132,132,132,05-12,8.331008572383528,0.5968649537042494,0.1267866529639026
133,133,133,133,05-13,8.279774940666845,0.5385674595868002,0.4372348715134609
134,134,134,134,05-14,8.846957787863943,1.1839509233404426,0.6082147714682754
135,135,135,135,05-15,8.647526116110454,0.9570225108637516,0.9401714089504688
136,136,136,136,05-16,8.883769917839158,1.2258385440062625,1.139880351900399
137,137,137,137,05-17,8.80726376045448,1.1387840622013052,1.870009878632441
138,138,138,138,05-18,9.384070758522553,1.7951186114038309,1.9797193145055367
139,139,139,139,05-19,12.129736711171345,4.919344619979052,2.1543558917544927
140,140,140,140,05-20,9.425453956708855,1.8422075385790184,2.031788435971597
141,141,141,141,05-21,9.568382103334466,2.0048419743574883,2.047321576495414
142,142,142,142,05-22,8.237473607670442,0.4904338093088885,1.909819313150827
143,143,143,143,05-23,8.889169771652568,1.2319829053442046,1.128126885537906
144,144,144,144,05-24,8.659023437667134,0.9701050313363094,0.9135141662544534
145,145,145,145,05-25,8.007884556975306,0.2291900543015257,0.5446022622910621
146,146,146,146,05-26,8.293804387072234,0.5545312228783016,0.5643550599451753
147,147,147,147,05-27,7.623115304852651,-0.2086294494228589,0.49424167289221704
148,148,148,148,05-28,8.341629806049689,0.608950595233568,0.3470712194777867
149,149,149,149,05-29,8.519462959543953,0.8113025830264553,0.4070962519518684
150,150,150,150,05-30,7.8829958991981774,0.08708231084972673,0.3720680805986061
151,151,151,151,05-31,8.324395630473251,0.5893402491460158,0.46498770836127884
152,152,152,152,06-01,8.109101377998838,0.3443621947587277,0.3204599119962068
153,153,153,153,06-02,8.113079073633486,0.3488883171531775,0.48755463345563976
154,154,154,154,06-03,7.579536957577616,-0.2582161829568641,0.7828174436624463
155,155,155,155,06-04,9.400550857127376,1.8138709117830527,0.828658599689691
156,156,156,156,06-05,9.439912158475993,1.8586591720905656,0.8454024306922325
157,157,157,157,06-06,8.566115341509393,0.8643871853094842,0.9584532311689609
158,158,158,158,06-07,8.19739134147984,0.4448251807739765,1.014146336889015
159,159,159,159,06-08,8.709194206668053,1.0271931200135471,0.9055481437739488
160,160,160,160,06-09,7.873205847894338,0.07594245136345991,1.1096311896224007
161,161,161,161,06-10,8.82791425426292,1.162281753092656,1.1613149790248156
162,162,162,162,06-11,10.5160389219578,3.083157447181277,1.1059478685287345
163,163,163,163,06-12,8.838643168516626,1.1744899217239728,0.969201863073649
164,164,164,164,06-13,7.905441418967746,0.11262251779749062,1.1590051808820412
165,165,165,165,06-14,7.988134622038361,0.20671708728303426,1.2119031142917314
166,166,166,166,06-15,8.874035824936765,1.2147623582138136,1.0029134412251552
167,167,167,167,06-16,9.106844243956024,1.4796693535507963,0.9614055491323171
168,168,168,168,06-17,9.4140395885822,1.8292194087818208,0.9358042434899057
169,169,169,169,06-18,8.619772691593289,0.9254425691669448,0.9759211602707242
170,170,170,170,06-19,7.770446127872693,-0.04098531605697908,0.8929710341047891
171,171,171,171,06-20,8.199670507524258,0.4474185879679454,0.6559856976568925
172,172,172,172,06-21,8.436641084818854,0.7170616012182033,0.7105193748146611
173,173,173,173,06-22,7.8572242079354915,0.05775733486341692,0.7296253397846177
174,174,174,174,06-23,9.701594829913367,2.1564214717284327,1.1027979011361608
175,175,175,175,06-24,8.720518151172445,1.0400783589866855,1.2249770190347276
176,176,176,176,06-25,9.738179307265062,2.19805005205228,1.4054190787381182
177,177,177,177,06-26,8.84391911799865,1.180493295359345,1.6621818163921944
178,178,178,178,06-27,9.388109291780026,1.7997139594385478,1.5174176283110519
179,179,179,179,06-28,9.211130176487098,1.5983337607878765,1.5189188403006026
180,180,180,180,06-29,8.9382554915564,1.287836343241576,1.6629239784487904
181,181,181,181,06-30,8.72843401891589,1.0490856309239909,1.5897498918303554
182,182,182,182,07-01,10.49751618699409,3.0620808809414046,1.5646945072552405
183,183,183,183,07-02,8.458073284132038,0.7414487756487342,1.2126776630553564
184,184,184,184,07-03,9.255992634080627,1.6493816519878592,0.837009345474092
185,185,185,185,07-04,7.354950768418082,-0.5137673044114279,0.6925246847831823
186,186,186,186,07-05,6.957362227930852,-0.9661735622460113,0.14098745392259962
187,187,187,187,07-06,7.966568624190573,0.18217766677853328,-0.22566721831180084
188,188,188,188,07-07,7.589268847200577,-0.2471425042220913,-0.7045415304613796
189,189,189,189,07-08,6.524708833857777,-1.4584792577576686,-0.4504907050532044
190,190,190,190,07-09,6.730895747635797,-1.2238642209096136,-0.21613493213171078
191,191,191,191,07-10,8.69455686538606,1.0105376480376234,-0.37474729683765773
192,192,192,192,07-11,8.193116615899761,0.4399610752829504,-0.22965748267054464
193,193,193,193,07-12,7.130208063372816,-0.7694965214571488,-0.04773518532294504
194,194,194,194,07-13,8.354325206903162,0.6233963807805871,0.025372361175237335
195,195,195,195,07-14,7.483982311161834,-0.3669454736720709,-0.24987327617264044
196,196,196,196,07-15,7.1163907164712095,-0.7852189419205193,-0.3191894316951554
197,197,197,197,07-16,7.243190850878363,-0.6409361760496433,-0.280246072966256
198,198,198,198,07-17,7.827613593395692,0.024064142147860738,-0.14661414351144372
199,199,199,199,07-18,7.335555795291525,-0.5358363690837522,-0.08788217460681587
200,200,200,200,07-19,9.058964316654707,1.4251879575094608,-0.16549477361638698
201,201,201,201,07-20,7.7936750803357375,-0.014553660244303828,-0.0838116650679398
202,202,202,202,07-21,6.7071406749973965,-1.250894535977946,0.15244335345544927
203,203,203,203,07-22,7.673904626576554,-0.15083752475896012,0.3203431141776871
204,204,204,204,07-23,9.073382674227146,1.4415942532881951,0.07424607704415671
205,205,205,205,07-24,8.220888652532214,0.47156219524967496,-0.2852657110187222
206,206,206,206,07-25,7.761298422988911,-0.05139426529172165,-0.0016920428458279864
207,207,207,207,07-26,5.897974948493558,-2.1716243886215776,0.034944547377465385
208,208,208,208,07-27,8.202420268022324,0.4505474730594194,-0.26819031608234867
209,209,209,209,07-28,7.867088803626119,0.06898201658080011,-0.08838576187662732
210,210,210,210,07-29,7.474957199159768,-0.3772149274706893,-0.1433606654870089
211,211,211,211,07-30,9.16899530280426,1.550389520484003,0.03207426533620487
212,212,212,212,07-31,7.471416601355893,-0.3812436869540111,0.024122391063854175
213,213,213,213,08-01,6.8230406418419,-1.119014803682295,0.06074437333361194
214,214,214,214,08-02,8.160490157224814,0.4028362274253152,0.12924323868174462
215,215,215,215,08-03,8.060195953161253,0.2887139101993467,0.045333307842910196
216,216,216,216,08-04,7.836150663138152,0.0337782646181067,0.21746900466393945
217,217,217,217,08-05,8.726539527400796,1.0469299354509964,0.41372494417051175
218,218,218,218,08-06,8.37908548452836,0.6515704939721644,0.36988806961232773
219,219,219,219,08-07,7.857895193905572,0.05852083335713881,0.35266143036240316
220,220,220,220,08-08,7.929338991564107,0.13981498007621102,0.08375943370504658
221,221,221,221,08-09,7.969360149213794,0.18535407469979887,-0.11302478036605462
222,222,222,222,08-10,6.418234568473633,-1.5796337153260327,-0.398484906340658
223,223,223,223,08-11,7.688899391679293,-0.13377534897561086,-0.339881921623465
224,224,224,224,08-12,6.8738586285146885,-1.0611902618754558,-0.3420993870702447
225,225,225,225,08-13,8.166907831441945,0.4101387416602972,-0.605603847208168
226,226,226,226,08-14,7.9176463303513405,0.12651018739553282,-0.06091406019131248
227,227,227,227,08-15,6.57990518164234,-1.3956726861277406,-0.0913731085233735
228,228,228,228,08-16,9.290375442141851,1.6885050067751002,-0.0629517398141326
229,229,229,229,08-17,7.528289298057616,-0.316529638967977,-0.5089170056339527
230,230,230,230,08-18,7.023724068809569,-0.8906620496200105,-0.4524391593288329
231,231,231,231,08-19,5.815339840397932,-2.2656528532586235,0.08474707239384245
232,232,232,232,08-20,8.215453145709652,0.465377265226252,-0.2556950484873608
233,233,233,233,08-21,9.412479923593137,1.8274447042083115,-0.28588057723698734
234,234,234,234,08-22,7.495229372199214,-0.3541477185121193,0.06502950053613504
235,235,235,235,08-23,7.369121468989421,-0.4976428114657364,0.5394098546331608
236,236,236,236,08-24,8.874067514524096,1.2147984170187238,0.620688601312477
237,237,237,237,08-25,8.31674015511525,0.5806292713235309,0.3770806432043978
238,238,238,238,08-26,8.64403472748799,0.9530497453021494,0.7012132893280255
239,239,239,239,08-27,8.127938905365053,0.3657969555598361,0.8124118373219705
240,240,240,240,08-28,9.204375832463391,1.5906481582296463,0.45446839241504594
241,241,241,241,08-29,7.955469703156117,0.16954847649793467,0.3760416307187599
242,242,242,242,08-30,6.986637232033828,-0.9328622524228236,0.03598672661717147
243,243,243,243,08-31,7.9031970463101455,0.11006870114581452,0.15760300341052477
244,244,244,244,09-01,6.850930445671749,-1.0872796793073811,-0.21873814092526192
245,245,245,245,09-02,8.769219663343959,1.095494616319956,-0.2967969764921754
246,246,246,246,09-03,7.219934763704313,-0.6673987077850738,-0.318886190152813
247,247,247,247,09-04,7.543866663175232,-0.2988045369035461,-0.2270275522043884
248,248,248,248,09-05,6.870161147968854,-1.065397534386649,-0.1539440386270204
249,249,249,249,09-06,8.38756623211057,0.6612205288363622,-0.2950109397096431
250,250,250,250,09-07,7.236298689285152,-0.6487785978431732,-0.2962238056942235
251,251,251,251,09-08,8.025376062493454,0.24909320982421976,-0.1462007252740846
252,252,252,252,09-09,7.213539340012463,-0.6746759036925565,0.09162854470347497
253,253,253,253,09-10,8.334936059993135,0.6013339456172873,0.04117949941632141
254,254,254,254,09-11,8.124231232517888,0.3615780854787083,0.09008374629821429
255,255,255,255,09-12,8.121549191841941,0.3585262571134409,0.026904736748847278
256,256,256,256,09-13,7.494170031310334,-0.3553531165518159,0.020845006487668055
257,257,257,257,09-14,7.692234116362203,-0.1299808474719823,-0.19533573444521526
258,258,258,258,09-15,7.18158647549878,-0.7110342852596319,-0.2917518611169396
259,259,259,259,09-16,7.195018336303558,-0.6957504999800128,-0.334000205561449
260,260,260,260,09-17,7.615830478739732,-0.2169186745516377,-0.35590924884251546
261,261,261,261,09-18,7.898774321050885,0.10503619044638496,-0.15292846280211117
262,262,262,262,09-19,7.378643982887159,-0.4868073762382146,-0.2048088505207146
263,263,263,263,09-20,8.762548680820721,1.0879038687704432,0.12887032373721688
264,264,264,264,09-21,6.908021988592503,-1.0223166115712523,0.32121145876219037
265,265,265,265,09-22,8.954503492665427,1.306324545567576,0.35228047118453404
266,266,266,266,09-23,8.630042326952465,0.937128135598203,0.27716542059745747
267,267,267,267,09-24,8.062600745943918,0.2914502649804471,0.0015299607930161867
268,268,268,268,09-25,6.98256347585147,-0.9374976797606741,0.196477008375788
269,269,269,269,09-26,7.30912713849213,-0.5659088900562047,-0.06079078063308516
270,270,270,270,09-27,7.935974773662982,0.14736567392537853,0.009520769534409057
271,271,271,271,09-28,7.597934396083906,-0.237282188485663,-0.15149404612652756
272,272,272,272,09-29,9.000794050117754,1.3589974366031683,-0.300095295221016
273,273,273,273,09-30,7.213572098172302,-0.6746386289851726,-0.3583120558871679
274,274,274,274,10-01,6.198991373756548,-1.8291051743276048,-0.43082103354307594
275,275,275,275,10-02,7.002151054439647,-0.915209454053116,-0.3778012165582812
276,276,276,276,10-03,7.553636049131353,-0.2876881920100698,-0.8007500288593562
277,277,277,277,10-04,7.877507075994876,0.08083671342310496,-0.8719249005330237
278,278,278,278,10-05,6.770591464656472,-1.178695437203282,-0.596573737209249
279,279,279,279,10-06,6.838268093976415,-1.1016878590271773,-0.5834121160989115
280,280,280,280,10-07,7.650913825112946,-0.1769981943849566,-0.8263293533015744
281,281,281,281,10-08,7.071552080226763,-0.8362397273910911,-1.0733104809412326
282,282,282,282,10-09,6.2727371916193855,-1.7451916152260467,-0.8928993560990065
283,283,283,283,10-10,6.575179386680998,-1.4010500524148437,-0.8815563693165379
284,284,284,284,10-11,7.7218965525702705,-0.09622868814992536,-0.8880722866800235
285,285,285,285,10-12,6.898079488909726,-1.0336299383323664,-0.9116641390594108
286,286,286,286,10-13,7.616555493021559,-0.21609369856586969,-0.5352025326572777
287,287,287,287,10-14,6.947152605297212,-0.9777908416674156,-0.356151778842516
288,288,288,288,10-15,8.257813455002504,0.5135780231867523,-0.5105340739139458
289,289,289,289,10-16,7.519311259079349,-0.3267455295262733,-0.47204737664774127
290,290,290,290,10-17,6.9078410839083615,-1.0225224585785044,-0.16198870972377608
291,291,291,291,10-18,7.101019251955697,-0.8027097547351391,-0.18033266284215577
292,292,292,292,10-19,9.251490077318886,1.6442583029779214,-0.2558767799602739
293,293,293,293,10-20,6.8504252224973525,-1.0878545603776937,-0.4229589910346177
294,294,294,294,10-21,7.859470486744478,0.060313320478043435,-0.41270287770782427
295,295,295,295,10-22,6.638289328564182,-1.3292387959723362,-0.463592147319406
296,296,296,296,10-23,6.961921411817915,-0.9609857786177436,-0.4270593387088219
297,297,297,297,10-24,6.832680915591731,-1.1080453724046293,-0.38199000402280253
298,298,298,298,10-25,9.444127015520023,1.8634551546414264,-0.37021970911513774
299,299,299,299,10-26,7.088075131466078,-0.8174385522615776,-0.14184240091335817
300,300,300,300,10-27,7.921535070853131,0.13093508992403238,-0.02797804018977501
301,301,301,301,10-28,7.842519363970298,0.04102505323834114,0.11727024507969719
302,302,302,302,10-29,7.562326435527651,-0.2777996142762447,-0.04777044890778966
303,303,303,303,10-30,7.59857289098095,-0.23655566078779616,-0.02677416718388459
304,304,304,304,10-31,8.57386997322053,0.8732109907165053,0.28635749244220904
305,305,305,305,11-01,7.198788202229812,-0.6914608619181472,0.5672774051131829
306,306,306,306,11-02,9.572673498429044,2.009725047680594,0.6207323369265532
307,307,307,307,11-03,9.323805745028592,1.7265445292641843,0.658904402969958
308,308,308,308,11-04,7.844193469240874,0.042929976603976884,0.5249505035256239
309,309,309,309,11-05,7.799853608425784,-0.0075232645273668654,0.6077725668202224
310,310,310,310,11-06,7.867533120663737,0.06948759405050056,0.3625216356816301
311,311,311,311,11-07,7.635507668795816,-0.1945284821505564,0.24176423533018584
312,312,312,312,11-08,8.279469108667751,0.5382194608490407,0.35939264627662504
313,313,313,313,11-09,8.68705382932475,1.0020001271555186,0.3291142741774666
314,314,314,314,11-10,8.464446271912674,0.7487004422826119,0.43350696178902776
315,315,315,315,11-11,7.640196217802748,-0.18919349712231776,0.7208488300904481
316,316,316,316,11-12,8.417994157657562,0.6958437197198677,0.7446879724346731
317,317,317,317,11-13,9.150656923171617,1.5295227276579662,0.6932668154294986
318,318,318,318,11-14,8.405172539780411,0.681254314914391,0.5734238226177027
319,319,319,319,11-15,8.415910858910836,0.6934731851244724,0.6545169391682674
320,320,320,320,11-16,7.832516013108621,0.029642485411835805,0.726196856788215
321,321,321,321,11-17,8.067798974765786,0.2973652021810699,0.8220997263565882
322,322,322,322,11-18,8.79596126136434,1.125923225439554,0.7678723728321847
323,323,323,323,11-19,9.656351280133872,2.104939945068205,0.635145540517083
324,324,324,324,11-20,8.119232538259004,0.3558901937679705,0.48256218688634017
325,325,325,325,11-21,7.716044312463333,-0.102887808766138,0.35980242055304773
326,326,326,326,11-22,7.027946335009135,-0.8858576363726212,0.15929017151886446
327,327,327,327,11-23,7.420488614021133,-0.4391933958186849,-0.11390993965762834
328,328,328,328,11-24,7.738663254591912,-0.07715026876554594,-0.312674130445211
329,329,329,329,11-25,8.215771293682932,0.4657392780092482,-0.48423334883702157
330,330,330,330,11-26,7.071152015748786,-0.8366949509575253,-0.31836576292112123
331,331,331,331,11-27,6.811415191186192,-1.1322431191170017,-0.3707889408367524
332,332,332,332,11-28,7.902563565735714,0.10934787912278077,-0.4705663138967544
333,333,333,333,11-29,7.1440620027499975,-0.7537324633124721,-0.5704049249857058
334,334,334,334,11-30,7.2125387002793,-0.6758145071255579,-0.5024576188099664
335,335,335,335,12-01,7.689323832185056,-0.13329238852445993,-0.416566967215702
336,336,336,336,12-02,7.429437116690012,-0.4290111139030892,-0.5352675849182175
337,337,337,337,12-03,7.2643152766843055,-0.6168992095514152,-0.4043567048604913
338,338,338,338,12-04,7.276657033321677,-0.602855827092312,-0.29017256597228336
339,339,339,339,12-05,7.8343530608601775,0.031732817033884746,-0.25120555684029994
340,340,340,340,12-06,7.814629909335298,0.009290326203689749,-0.16529065884006433
341,341,341,341,12-07,7.894796272315661,0.10050966626744062,-0.10220324730044494
342,342,342,342,12-08,7.882465053114084,0.08647827409832458,-0.029743241147762705
343,343,343,343,12-09,7.596974227918253,-0.2383747403136988,-0.15094091928836054
344,344,344,344,12-10,7.6587375318696145,-0.1680957901762186,-0.23314856185264196
345,345,345,345,12-11,7.195279567142321,-0.6954532518097022,-0.42066999435981606
346,346,346,346,12-12,7.381150273835037,-0.4839555291819988,-0.37283863856139754
347,347,347,347,12-13,6.90599864138816,-1.024618928775604,-0.07855748259408969
348,348,348,348,12-14,8.134679056949178,0.373466408888836,-0.08834260513408665
349,349,349,349,12-15,9.148714239481722,1.5273121954901483,0.06585330660085782
350,350,350,350,12-16,7.607140731138508,-0.22680652541620025,0.12427288356083388
351,351,351,351,12-17,8.00835223933613,0.2297222185999647,0.358210400042734
352,352,352,352,12-18,7.689195805087053,-0.13343806742214248,0.18910581124500633
353,353,353,353,12-19,8.139547569580762,0.3790061701157968,-0.09503749533852153
354,354,354,354,12-20,7.242993159787715,-0.6411611238975304,0.0020922396459659106
355,355,355,355,12-21,7.650430951874315,-0.17754764401101886,-0.028833634816152486
356,356,356,356,12-22,8.119304330579883,0.3559718844907244,-0.12437251763916461
357,357,357,357,12-23,7.845280578706969,0.04416697182725432,-0.35829439303115956
