,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,love,love_norm,love_ravg
36,36,36,36,02-06,10.20876995319445,-0.16249405059063676,-0.6331129147238527
37,37,37,37,02-07,9.270524718683598,-1.0528553776670784,-0.9467142501239801
38,38,38,38,02-08,9.32189577806931,-1.004106071061934,-0.7932163022030854
39,39,39,39,02-09,8.897706256002497,-1.4066468268337775,-0.5985788956653377
40,40,40,40,02-10,10.555914334424498,0.16693360924741735,-0.7143812205654921
41,41,41,41,02-11,10.240582941615104,-0.13230465708601832,-0.5545731363379951
42,42,42,42,02-12,9.476588694785958,-0.8573079999915636,-0.16259668913538625
43,43,43,43,02-13,10.280940393104856,-0.09400687230209576,-0.08153164314104915
44,44,44,44,02-14,11.800238148369276,1.347752612153719,-0.06604212713604261
45,45,45,45,02-15,9.410254751382462,-0.9202565508677548,-0.20932445822561893
46,46,46,46,02-16,10.65384961621148,0.2598707052774565,-0.1459860639427175
47,47,47,47,02-17,9.334654346698542,-0.991998643623476,-0.1765262123939355
48,48,48,48,02-18,9.877057211040816,-0.4772776342941548,-0.5406098244609753
49,49,49,49,02-19,10.087844750644528,-0.27724776300940396,-0.4891430744131325
50,50,50,50,02-20,9.498253300664386,-0.8367490602485198,-0.6553350530666445
51,51,51,51,02-21,9.735662638043763,-0.6114560505806981,-0.5396063053488368
52,52,52,52,02-22,9.603070608338873,-0.7372811666436163,-0.566658950131286
53,53,53,53,02-23,10.066370399991273,-0.2976261573166294,-0.4409508204957171
54,54,54,54,02-24,9.706011944746123,-0.6395935029888503,-0.23136832717775513
55,55,55,55,02-25,10.882657260912408,0.4770010148040089,0.07449766521006713
56,56,56,56,02-26,10.823376728283328,0.4207458996592521,0.12535905698745256
57,57,57,57,02-27,11.669555998163853,1.2237399037462355,0.10722430175912273
58,58,58,58,02-28,9.924651007247805,-0.4321128159793037,0.14677791877047197
59,59,59,59,02-29,9.951710112164953,-0.4064346886866084,-0.16971725564886883
60,60,60,60,03-01,9.956096881321852,-0.4022718009207548,-0.42791534503257084
61,61,61,61,03-02,8.881558964428562,-1.4219700317120358,-0.4572634446383885
62,62,62,62,03-03,9.190872353551423,-1.12844263664296,-0.4588554389042525
63,63,63,63,03-04,11.483997301308564,1.0476513061113293,-0.4922486225076237
64,64,64,64,03-05,9.914585333989825,-0.4416647815744876,-0.31145797638637784
65,65,65,65,03-06,9.740575636116539,-0.6067937903068358,-0.28302416706935923
66,66,66,66,03-07,11.099178619099307,0.6824720758067203,0.0065224896445477505
67,67,67,67,03-08,9.061336894664693,-1.251367175809924,-0.25599380606045713
68,68,68,68,03-09,11.021583746121033,0.6088373036404818,-0.13394452770674703
69,69,69,69,03-10,9.824190281822984,-0.5274464681186999,-0.1862993019501916
70,70,70,70,03-11,10.686264091647896,0.29063088854777275,-0.4073951210378737
71,71,71,71,03-12,9.40955305498694,-0.9209224357675032,-0.3738139106412639
72,72,72,72,03-13,9.701260095545909,-0.6441028387193725,-0.5289356897854204
73,73,73,73,03-14,9.273660204306962,-1.0498799134302652,-0.5124814680160538
74,74,74,74,03-15,10.040798087817024,-0.3218933712244569,-0.5712109915290807
75,75,75,75,03-16,9.92822509124166,-0.4287211375025004,-0.7846848118786783
76,76,76,76,03-17,10.314935998981582,-0.06174625253038873,-0.6067619648235151
77,77,77,77,03-18,8.059826004553361,-2.201765357865088,-0.43932193122982044
78,78,78,78,03-19,10.826209652204568,0.4234342436116071,-0.13199811945069764
79,79,79,79,03-20,10.332330266503854,-0.04523971186809726,0.02983249692380287
80,80,80,80,03-21,11.983908776150301,1.5220494994502798,0.09196194826794028
81,81,81,81,03-22,10.951428592969851,0.5422625607445027,0.5956148099555455
82,82,82,82,03-23,10.707760753653837,0.31103045553443576,0.6906494200454268
83,83,83,83,03-24,11.244262814344706,0.8201518122605435,0.8576451817392154
84,84,84,84,03-25,11.427083257013145,0.9936419041508946,0.5130296607398909
85,85,85,85,03-26,11.388191338820546,0.9567348582946348,0.6919958022731905
86,86,86,86,03-27,9.805014474589976,-0.5456436265456677,0.7642820361915953
87,87,87,87,03-28,12.082974568694803,1.6160594099442998,0.6047915700174472
88,88,88,88,03-29,11.164803613213193,0.744747859044865,0.4873970710797984
89,89,89,89,03-30,10.235855337826168,-0.1367909847843447,0.3565367239111495
90,90,90,90,03-31,10.684835188707844,0.2892749105250013,0.39456286061485074
91,91,91,91,04-01,10.560802996243448,0.17157277528274156,-0.0453837557591944
92,92,92,92,04-02,10.045441639140732,-0.3174868063234603,-0.23459688488304833
93,93,93,93,04-03,9.301332080195193,-1.023620288299971,-0.21462586906280254
94,94,94,94,04-04,9.968469194981427,-0.3905309156982588,-0.07284558559241937
95,95,95,95,04-05,10.362125717177973,-0.016964889862869825,0.015119001460187381
96,96,96,96,04-06,11.58126681439725,1.1399566113473003,0.26933198260714075
97,97,97,97,04-07,11.116975094680093,0.699360297598382,0.33189147453082923
98,98,98,98,04-08,11.652749442334088,1.20779108055826,0.45315314583561817
99,99,99,99,04-09,9.69687584463667,-0.64826333675784,0.736396761459233
100,100,100,100,04-10,10.735168163842447,0.3370391121304746,0.6419171407184177
101,101,101,101,04-11,12.15298498621492,1.6824968038788193,0.5769396692781327
102,102,102,102,04-12,10.983902230675707,0.5730788869024079,0.45334571201208523
103,103,103,103,04-13,10.706143215023364,0.3094954689566715,0.6713759267154372
104,104,104,104,04-14,10.87130417134524,0.4662273369619758,0.7698193969667791
105,105,105,105,04-15,11.075411526974776,0.6599179514622715,0.5008119550172774
106,106,106,106,04-16,11.35759490693999,0.9276999336385264,0.42644864600350774
107,107,107,107,04-17,10.45213651415136,0.06845215218180839,0.2909465252794335
108,108,108,108,04-18,10.513726686099496,0.12689903281978973,0.13402771580963438
109,109,109,109,04-19,9.849406415012536,-0.5035172553877739,-0.14107311168532774
110,110,110,110,04-20,9.879156462008476,-0.4752855198568186,-0.24731442331532713
111,111,111,111,04-21,9.336036516687658,-0.9906870135075012,-0.30796220731593776
112,112,112,112,04-22,10.685864893649748,0.2902520638585302,-0.22472173373642282
113,113,113,113,04-23,10.068679870707113,-0.2954345518218554,-0.07063308508272205
114,114,114,114,04-24,11.040029717999046,0.6263418742968794,-0.11136775759456881
115,115,115,115,04-25,10.823659917910735,0.4210146365344307,0.1480124982724649
116,116,116,116,04-26,9.621604087250047,-0.7196935549278991,0.19697509916201486
117,117,117,117,04-27,10.976015353993263,0.565594521694701,0.34729471445940807
118,118,118,118,04-28,10.995439841865798,0.5840276691958299,0.34484636363906623
119,119,119,119,04-29,11.01910297479264,0.6064831399625036,0.2848911380766091
120,120,120,120,04-30,11.024549574692692,0.6116517693748287,0.46967529582678136
121,121,121,121,05-01,10.4445821011369,0.06128328315968772,0.46100569112748824
122,122,122,122,05-02,10.789935528541292,0.3890113915731344,0.5478706718807707
123,123,123,123,05-03,10.92120020167136,0.5135768934989425,0.4142708040787317
124,124,124,124,05-04,11.544659479506107,1.1052175537155249,0.3830653528115919
125,125,125,125,05-05,10.174393514815515,-0.19511606684973026,0.5952354018082928
126,126,126,126,05-06,10.827247434190085,0.4244190617719899,0.6700269680788734
127,127,127,127,05-07,11.786065820094507,1.3343035771398934,0.6462968168024446
128,128,128,128,05-08,11.262818807504392,0.8377607891966179,0.5180497848278706
129,129,129,129,05-09,10.77116200478041,0.3711959858403693,0.3607359633590095
130,130,130,130,05-10,10.733794297487876,0.33573536186808073,0.40987676152565505
131,131,131,131,05-11,9.179748270279793,-1.1389989956628963,0.2054920557850842
132,132,132,132,05-12,11.137949067096626,0.7192638507718632,-0.07060441578841131
133,133,133,133,05-13,10.493806349677076,0.10799534269646817,-0.15896145548525661
134,134,134,134,05-14,9.517148656467931,-0.8188180402443551,-0.0034838602891577586
135,135,135,135,05-15,10.212508553131103,-0.15894625234070256,0.33393340181152853
136,136,136,136,05-16,11.716829667487204,1.268600933044674,0.4739876471415571
137,137,137,137,05-17,11.313130270914385,0.8855045769412216,0.5854974212837815
138,138,138,138,05-18,12.02346750275504,1.5595893227520343,0.83283479939736
139,139,139,139,05-19,11.198847175296905,0.7770539875498148,0.9768407223507342
140,140,140,140,05-20,11.080984209120256,0.6652062284371167,0.7796026210090967
141,141,141,141,05-21,11.123012189195297,0.7050892853795421,0.7555465436134363
142,142,142,142,05-22,10.469755903027496,0.08517232499484846,0.5870661179145152
143,143,143,143,05-23,11.161031346863306,0.7411681125672598,0.6574068280137301
144,144,144,144,05-24,10.958219372272382,0.5487067685585074,0.485483096977956
145,145,145,145,05-25,11.643589106706276,1.199098248145104,0.20974605881048733
146,146,146,146,05-26,9.993965154463194,-0.3663361577775279,0.3605983786532229
147,147,147,147,05-27,9.379614621233186,-0.94933294362527,0.860795998540397
148,148,148,148,05-28,11.423547128475914,0.9902862440512616,0.8708390732273656
149,149,149,149,05-29,14.323621762018563,3.7423538318903047,0.7694666946784835
150,150,150,150,05-30,11.021718538363698,0.6089652166803191,0.7627174847302559
151,151,151,151,05-31,11.00264380826103,0.5908639768518104,0.9663072677843824
152,152,152,152,06-01,9.951292047188213,-0.4068314174668922,0.8252537213942199
153,153,153,153,06-02,10.666848048404932,0.27220575469948793,0.44090949457638057
154,154,154,154,06-03,10.531710430136954,0.14396496571028727,0.6621584433534794
155,155,155,155,06-04,11.893535493058438,1.4362884709832688,0.9201912465753118
156,156,156,156,06-05,12.420605252225833,1.9364589093429119,1.2229798903476048
157,157,157,157,06-06,12.634103131176404,2.1390607961828048,1.3548932822479458
158,158,158,158,06-07,11.865728311055506,1.4099004451668649,1.5910044658943763
159,159,159,159,06-08,11.500894457799564,1.0636861061015346,1.692705302208395
160,160,160,160,06-09,12.024566326731575,1.5606320675888703,1.7732657181644467
161,161,161,161,06-10,12.536557525455438,2.046493488867382,1.5776747701891267
162,162,162,162,06-11,12.92996313241926,2.419821405079222,1.4641702767945743
163,163,163,163,06-12,11.39744379341825,0.9655151083308854,1.3723212172993124
164,164,164,164,06-13,11.14807551021324,0.7288734847995514,1.2239434137620848
165,165,165,165,06-14,10.92016207593365,0.5125917491299641,1.1476762912777385
166,166,166,166,06-15,11.086420680627796,0.6703652463655037,1.0272350756274744
167,167,167,167,06-16,12.05434477399358,1.5888907539613046,1.0172716882066941
168,168,168,168,06-17,12.168451643637905,1.6971741111776375,0.8184548132189766
169,169,169,169,06-18,11.334448464558935,0.9057347838062028,0.9017822097523999
170,170,170,170,06-19,9.891019662268373,-0.4640277651267531,1.0470370314053412
171,171,171,171,06-20,11.447014694016655,1.0125561283305031,0.9905522953060402
172,172,172,172,06-21,12.004820705838425,1.5418941762831504,0.7473700574598358
173,173,173,173,06-22,11.697209757976275,1.2499823373654988,0.6979456745539624
174,174,174,174,06-23,10.630887720958926,0.23808068410041075,0.5864345322427912
175,175,175,175,06-24,11.021953815567331,0.6091884863709627,0.5132571541246043
176,176,176,176,06-25,9.18597018615157,-1.1330946189937807,0.3846025538280167
177,177,177,177,06-26,10.984337413195183,0.5734918596213816,0.39468055157217435
178,178,178,178,06-27,11.191378598985946,0.7699665745036253,0.6145869220215442
179,179,179,179,06-28,11.760929731447597,1.3104503238304444,0.6089240331851279
180,180,180,180,06-29,12.021285739189462,1.557518906796629,1.0248199199327608
181,181,181,181,06-30,10.98614917107466,0.5752111533524651,1.0568886401414253
182,182,182,182,07-01,11.815547562843694,1.3622807014920169,0.9551948931978903
183,183,183,183,07-02,11.187097728570325,0.7659041808733689,0.5618726155571016
184,184,184,184,07-03,10.548401390423074,0.1598040928424159,0.2701441948311215
185,185,185,185,07-04,9.274078103456297,-1.0494833420142873,0.21500194719494223
186,186,186,186,07-05,10.176779746888911,-0.1928516175592514,-0.09959066915561189
187,187,187,187,07-06,10.63750228250363,0.2443576675353893,-0.3846580215431638
188,188,188,188,07-07,9.826478535739376,-0.5252749966113078,-0.5714982819175105
189,189,189,189,07-08,9.384707552187807,-0.9444999334519424,-0.5004601758571964
190,190,190,190,07-09,9.367069866378024,-0.9612374694036644,-0.4742507564262312
191,191,191,191,07-10,9.723229447654631,-0.6232547056524029,-0.3032196939853346
192,192,192,192,07-11,10.342493567554136,-0.03559510097346,0.04396569656726137
193,193,193,193,07-12,11.71887727763337,1.2705440421807688,0.12795904906081543
194,194,194,194,07-13,12.021621304893785,1.557837346704268,0.16278618184484406
195,195,195,195,07-14,9.915770797936137,-0.4405398184906181,0.23417949710847652
196,196,196,196,07-15,9.587270746891916,-0.7522746726994926,0.18114267813024465
197,197,197,197,07-16,10.1746266666375,-0.19489481407060816,0.05864108252659498
198,198,198,198,07-17,10.007158634555623,-0.3538160148428513,-0.23063441325946843
199,199,199,199,07-18,10.94433866190642,0.5355344685588709,-0.18152607794350648
200,200,200,200,07-19,10.192624376602426,-0.17781562801211245,0.3028843804055806
201,201,201,201,07-20,10.226267178565704,-0.14588980659484624,0.12306696920434945
202,202,202,202,07-21,12.650043962248974,2.15418807739503,0.16732250595222145
203,203,203,203,07-22,9.037698383629435,-1.273799281277995,-0.0375620901184243
204,204,204,204,07-23,10.28697231373295,-0.08828279435561931,0.055867908893221185
205,205,205,205,07-24,9.648918543969556,-0.6937731078650037,-0.06942887073524436
206,206,206,206,07-25,10.783352536062367,0.3827643660577605,-0.5440113817045218
207,207,207,207,07-26,9.434055503523773,-0.8976704843656395,-0.44518234953793706
208,208,208,208,07-27,9.649409731461748,-0.6933069884206348,-0.47323711287736775
209,209,209,209,07-28,9.662562912052447,-0.6808250882784868,-0.2407697091546115
210,210,210,210,07-29,10.10959097062151,-0.2566113743922033,-0.5435782184535645
211,211,211,211,07-30,11.118735979357293,0.7010313144715338,-0.5267362574979678
212,212,212,212,07-31,8.868790668790128,-1.4340866897359572,-0.40990074980016106
213,213,213,213,08-01,9.540541864459684,-0.7966187186320595,-0.449929244350003
214,214,214,214,08-02,10.388123475997814,0.007706057766205698,-0.5154769252586258
215,215,215,215,08-03,9.40947547588076,-0.9209960555775384,-0.5474496163535644
216,216,216,216,08-04,9.695153837905794,-0.6498974598439401,-0.31744295891301777
217,217,217,217,08-05,10.916582825517056,0.5091951679019024,-0.12260665014151828
218,218,218,218,08-06,10.323049588309674,-0.05404674509267773,-0.08277446920893812
219,219,219,219,08-07,10.7724298586168,0.3723991339969376,-0.03741849060880226
220,220,220,220,08-08,10.639969683623756,0.2466991433616867,-0.17701939275546832
221,221,221,221,08-09,9.696246898789834,-0.6488601839767233,-0.37419561410444
222,222,222,222,08-10,8.812501746966898,-1.4875028727239366,-0.4809401123213188
223,223,223,223,08-11,9.66990030856416,-0.6738621601919279,-0.3859165081466615
224,224,224,224,08-12,9.64813808631691,-0.6945137343939501,-0.29323027639457905
225,225,225,225,08-13,11.373233876524887,0.9425407590448814,-0.03688373389221872
226,226,226,226,08-14,11.225995239327347,0.8028165338741813,0.2763647120832852
227,227,227,227,08-15,11.317044531651465,0.8892190710374388,0.17033964225324671
228,228,228,228,08-16,10.793072012430912,0.3919878031290869,0.3556130456172764
229,229,229,229,08-17,8.999537523378816,-1.3100125791721589,0.0395248691646331
230,230,230,230,08-18,10.81956287197351,0.41712668579022794,-0.014872663235156458
231,231,231,231,08-19,9.374708898700089,-0.9539882996709784,0.3851248581653251
232,232,232,232,08-20,10.882056948268552,0.4764313394754439,0.27568902217019814
233,233,233,233,08-21,13.846101602239619,3.2892041994403285,0.5498397916851824
234,234,234,234,08-22,10.101144037902046,-0.26462721284167484,0.686618692616257
235,235,235,235,08-23,10.732905619314767,0.33489203791774685,0.7547098390819716
236,236,236,236,08-24,11.684372347031909,1.2378000913766751,1.0525875913923637
237,237,237,237,08-25,9.805227554942348,-0.5454414208766905,0.5636224101896217
238,238,238,238,08-26,12.765443207797999,2.263697853337796,0.9139853360234137
239,239,239,239,08-27,10.754530323341385,0.355413112223877,0.8617795017382724
240,240,240,240,08-28,12.31637735172237,1.8375503421610768,0.6590169782765855
241,241,241,241,08-29,10.402824738157014,0.021657032206899626,0.802539024596196
242,242,242,242,08-30,10.402369419074619,0.02122495060655381,0.43614936478236355
243,243,243,243,08-31,10.712671792994204,0.3156908570409729,0.5590829370924909
244,244,244,244,09-01,10.448877953847793,0.0653598944548019,0.36423095956402635
245,245,245,245,09-02,11.531800190352149,1.0930145460846412,0.5667556102005037
246,246,246,246,09-03,11.0843902889999,0.6684384769902889,0.7833722094726755
247,247,247,247,09-04,11.683323671918561,1.2368049360257638,0.9051960119152703
248,248,248,248,09-05,11.771967260776114,1.320924546239584,0.7288546795813969
249,249,249,249,09-06,11.482924938200338,1.0466336716965416,0.616044702817068
250,250,250,250,09-07,9.333927811620782,-0.9926880995484392,0.34802820924060834
251,251,251,251,09-08,10.818538597205766,0.41615468549866796,-0.05312237930901539
252,252,252,252,09-09,9.389807268233778,-0.9396604844684696,-0.29822595767558435
253,253,253,253,09-10,9.146976124588978,-1.1700985952719785,-0.43012498732123944
254,254,254,254,09-11,10.222255313251825,-0.14969692395982967,-0.42678674925655163
255,255,255,255,09-12,10.648969336772806,0.255239493822611,-0.5362746734406261
256,256,256,256,09-13,9.355034428859923,-0.9726586711603123,-0.5209805304729659
257,257,257,257,09-14,10.126281285629783,-0.2407728596057788,-0.35540378896599084
258,258,258,258,09-15,9.48650726846258,-0.8478956266625092,-0.33196919541254505
259,259,259,259,09-16,10.193865183718675,-0.17663814623012758,-0.30034383829940886
260,260,260,260,09-17,10.370424792690578,-0.009089362639155238,-0.05458248649845171
261,261,261,261,09-18,10.848926408348687,0.4449916365014281,0.25337493643863856
262,262,262,262,09-19,10.908905268542497,0.5019094396454307,0.6687412132975393
263,263,263,263,09-20,12.07339809573464,1.6069716780167629,0.728439094866903
264,264,264,264,09-21,12.112736090321011,1.6443020344908956,0.786700573796396
265,265,265,265,09-22,10.571315896296896,0.18154914318605486,0.6663960140575677
266,266,266,266,09-23,10.73879358836127,0.34047951093780365,0.448209815388047
267,267,267,267,09-24,10.088278951418943,-0.2768357219315421,0.19113543106441422
268,268,268,268,09-25,9.529383349211823,-0.8072077523716933,-0.116598240839261
269,269,269,269,09-26,10.447998550596367,0.06452537207496599,-0.29710385781845133
270,270,270,270,09-27,10.167033986815158,-0.20209999693115568,-0.29228554030474946
271,271,271,271,09-28,9.430036307104052,-0.9014845586890874,-0.49814172776734145
272,272,272,272,09-29,10.769258277076592,0.3693894160200151,-0.5722412663603336
273,273,273,273,09-30,8.786715770217786,-1.5119728467070943,-0.9310777900836705
274,274,274,274,10-01,9.06087554108894,-1.2518049839296461,-0.8987968961645548
275,275,275,275,10-02,8.179189373153584,-2.0884937702650554,-0.8346045713018192
276,276,276,276,10-03,10.371135809059467,-0.008414633416461816,-1.0265628836774097
277,277,277,277,10-04,9.835903954741424,-0.516330609512673,-0.767732477581674
278,278,278,278,10-05,9.555566938510534,-0.782360458233528,-0.5414231516095689
279,279,279,279,10-06,10.42321808235145,0.0410095898673195,-0.22414198100730362
280,280,280,280,10-07,10.491757410021195,0.10605097190298493,-0.5215571921913514
281,281,281,281,10-08,10.185257273441275,-0.1848067466514639,-0.42084531855503443
282,282,282,282,10-09,8.490674049916729,-1.7929059005207484,-0.2870242449028862
283,283,283,283,10-10,10.472673090760876,0.0879406323052286,-0.39843910057005766
284,284,284,284,10-11,10.401675012702356,0.020565983679361386,-0.5032828900859543
285,285,285,285,10-12,9.71877739605154,-0.6274795441357095,-0.786059968281864
286,286,286,286,10-13,9.8288634844437,-0.5230117651923947,-0.6509994503990467
287,287,287,287,10-14,8.397347772133141,-1.8814692158269224,-0.7906998650458186
288,288,288,288,10-15,9.344618735656038,-0.9825427932238444,-0.9176564950895328
289,289,289,289,10-16,9.58939181394322,-0.7502618555754033,-1.0098308449987308
290,290,290,290,10-17,9.598968631557982,-0.7411737965829237,-0.7714477850929541
291,291,291,291,10-18,9.135988306387835,-1.180525643590898,-0.6008705026142039
292,292,292,292,10-19,11.336083731840008,0.9072865942422657,-0.2623607294297883
293,293,293,293,10-20,9.475853660930072,-0.8580055209544212,-0.2852048230364873
294,294,294,294,10-21,11.484908336296067,1.0485158458826491,-0.13207720452483662
295,295,295,295,10-22,9.444955877803118,-0.8873264172155974,-0.08004624340275428
296,296,296,296,10-23,10.567145846614967,0.17759191448698045,-0.07110107550654292
297,297,297,297,10-24,9.464963520170604,-0.8683398768584037,0.2382552990828318
298,298,298,298,10-25,11.392641182586965,0.9609576016195338,0.07722682719812039
299,299,299,299,10-26,11.431815597262794,0.998132726581827,0.23650051901060057
300,300,300,300,10-27,10.466776538978523,0.08234501457438077,0.10157587046690242
301,301,301,301,10-28,10.451992758998518,0.06831573365928377,0.2127390101046419
302,302,302,302,10-29,9.714060219480752,-0.6319559767752085,0.1559703301049936
303,303,303,303,10-30,10.16781268609862,-0.20136103903196684,-0.1209408461161778
304,304,304,304,10-31,11.0337108796231,0.6203455216216437,-0.04788576293951096
305,305,305,305,11-01,9.680994327933318,-0.6633343307452013,0.06808101223646472
306,306,306,306,11-02,10.928680587792297,0.5206755136343818,0.039243204070501296
307,307,307,307,11-03,11.185213784181988,0.7641163847151379,0.20065758573152248
308,308,308,308,11-04,9.531727933052975,-0.8049828257709891,0.17959955598899965
309,309,309,309,11-05,11.18838446815649,0.7671252509341602,0.3202636316568837
310,310,310,310,11-06,10.900567657068827,0.4939973431665066,0.3116713267737445
311,311,311,311,11-07,10.570368526803492,0.1806501232621032,0.331321525507309
312,312,312,312,11-08,10.87435417761538,0.4691216843355465,0.6803219865598947
313,313,313,313,11-09,11.309455739161072,0.8820175771165252,0.3512899480812793
314,314,314,314,11-10,11.73834681552314,1.2890199405445255,0.41422512467031053
315,315,315,315,11-11,9.108019568766958,-1.207066979937532,0.30904232162420037
316,316,316,316,11-12,11.298486756127055,0.8716084027006936,0.29883682278023843
317,317,317,317,11-13,9.905331126529926,-0.4504466950145578,0.04183465972353682
318,318,318,318,11-14,10.809828055253837,0.4078886912717752,-0.17617102846618182
319,319,319,319,11-15,9.684512826116766,-0.6599954012236845,-0.24732248608683063
320,320,320,320,11-16,10.359966206527746,-0.019014188593786424,-0.1974876291231635
321,321,321,321,11-17,8.658151538714861,-1.633975725661425,0.09425838034857399
322,322,322,322,11-18,11.613576701995804,1.1706175444826965,0.15199737565298496
323,323,323,323,11-19,11.74994832687413,1.3000293618158671,0.3711038959326654
324,324,324,324,11-20,11.174893353188708,0.7543226630982409,0.49492924496374413
325,325,325,325,11-21,11.069853646192719,0.6546437204543986,0.8769970618048087
326,326,326,326,11-22,11.142874494030744,0.7239379055926861,0.833411693153773
327,327,327,327,11-23,11.073844791620381,0.6584311753849629,0.6608436376144687
328,328,328,328,11-24,11.338000282484119,0.9091053325764814,0.7717445309077728
329,329,329,329,11-25,10.658855413369887,0.264621028580042,0.6892466546718546
330,330,330,330,11-26,11.876084418913234,1.4197280228580662,0.5019034897826968
331,331,331,331,11-27,10.548245821043071,0.1596564630388887,0.5057771882266845
332,332,332,332,11-28,9.958363264735123,-0.40012108374226063,0.4922089942795287
333,333,333,333,11-29,11.098336954483774,0.6816733660488886,0.6292267921307728
334,334,334,334,11-30,11.252212908809847,0.8276961688935469,0.28069477717595276
335,335,335,335,12-01,11.52517535765065,1.0867278156875062,0.49350572438760687
336,336,336,336,12-02,9.672427372085435,-0.6714640668708541,0.5735957112277285
337,337,337,337,12-03,11.893781735515235,1.4365221463088131,0.40714115467734474
338,338,338,338,12-04,10.464746771293218,0.08041883729846895,0.3720711035158028
339,339,339,339,12-05,10.0458977501071,-0.31705397325341383,0.12244913826304016
340,340,340,340,12-06,11.030476132678217,0.6172758619242946,0.22965090649855516
341,341,341,341,12-07,9.946895087347329,-0.4110039758290696,-0.06544415562323842
342,342,342,342,12-08,10.35023004692785,-0.02825345745776413,-0.09158352689925621
343,343,343,343,12-09,10.027989540749218,-0.3340482264219484,-0.28203828372053036
344,344,344,344,12-10,10.299475842826253,-0.0764173903576377,-0.26354076292614276
345,345,345,345,12-11,8.841712914962242,-1.4597825141810588,-0.3539719480248966
346,346,346,346,12-12,11.147430071766653,0.72826098669062,-0.24393050467105623
347,347,347,347,12-13,9.375127474200829,-0.9535910864215928,-0.07393611842874374
348,348,348,348,12-14,11.045987084114882,0.6319952026652781,-0.026398509369115336
349,349,349,349,12-15,11.102809962088692,0.6859180910319265,0.2254338819413625
350,350,350,350,12-16,10.60004102105579,0.20880826400013272,-0.010116456188965802
351,351,351,351,12-17,10.43396900599241,0.051211833681808185,0.09683043264754687
352,352,352,352,12-18,9.658120222940124,-0.6850410420913498,-0.07610205827301295
353,353,353,353,12-19,10.051318627691966,-0.31190975340251675,-0.27993119357660107
354,354,354,354,12-20,9.952589961638273,-0.4055997428580808,-0.3361695530269056
355,355,355,355,12-21,9.814063186792334,-0.5370567207896023,-0.10851724555216591
356,356,356,356,12-22,10.24446376620658,-0.1286218927016947,0.09512661739176824
357,357,357,357,12-23,11.87334211970292,1.4171256785302464,0.08519027245978827
358,358,358,358,12-24,10.945695580049877,0.5368221355722551,0.000352047080759819
