,unnamed: 0,unnamed: 0,mth_day,witty,witty_norm,witty_ravg
56,56,56,02-26,14.279900279394965,2.3137027515436865,0.9140973069819699
57,57,57,02-27,12.708620442253055,1.0332492299192224,0.8388936601568194
58,58,58,02-28,11.700961565633152,0.21209673584086725,0.5996441414553318
59,59,59,02-29,10.553810588400284,-0.7227294319183958,0.2560666436515084
60,60,60,03-01,11.093611326530112,-0.2828397701436542,-0.3777609741708738
61,61,61,03-02,10.192605312179284,-1.0170796533326774,-0.6514970672419892
62,62,62,03-03,9.61317615725186,-1.4892629553906065,-0.8254474334741696
63,63,63,03-04,10.693165778057333,-0.6091673285074702,-0.8450486491009187
64,64,64,03-05,10.420205809138443,-0.8316054615522155,-0.8227722811701602
65,65,65,03-06,10.409491434080456,-0.8403367256788901,-0.8595152065779678
66,66,66,03-07,11.257626999960964,-0.14918156255910295,-0.6951432503743935
67,67,67,03-08,9.922075768345538,-1.2375372057795224,-0.752041454907664
68,68,68,03-09,10.823408326772164,-0.5030312181691614,-0.5772542746068082
69,69,69,03-10,10.274237640286511,-0.9505565557070932,-0.6310598164096611
70,70,70,03-11,11.707122831394106,0.21711762025291886,-0.8646907161960026
71,71,71,03-12,10.013333846787187,-1.1631699764960075,-0.7842064261655993
72,72,72,03-13,9.53745746955017,-1.5509669612771515,-0.8136032793390076
73,73,73,03-14,10.514662722869344,-0.7546314655971028,-0.9830518045805096
74,74,74,03-15,10.606966190200756,-0.6794123372096105,-1.0361682572503375
75,75,75,03-16,9.026627883357794,-1.9672477071561056,-1.335732326896613
76,76,76,03-17,11.316038845801005,-0.10158109576604776,-1.05700921252235
77,77,77,03-18,7.807713847537824,-2.96055439437366,-0.8626228014422656
78,78,78,03-19,11.589630402181394,0.12137172496842652,-0.6757752008566967
79,79,79,03-20,11.945884285477975,0.41168700088340426,-0.2793649781859873
80,80,80,03-21,11.982681258933509,0.4416732663038028,-0.19921812697697375
81,81,81,03-22,11.945303397620295,0.41121362886815055,0.35042156185059364
82,82,82,03-23,11.906141317409825,0.3793000114880339,0.2919110068121739
83,83,83,03-24,11.854581989938072,0.33728373859174443,0.2495567116711029
84,84,84,03-25,11.158830905725416,-0.2296916052620917,0.2563261861489187
85,85,85,03-26,11.63403954212286,0.15756123003697795,0.369566491334653
86,86,86,03-27,12.032523312122025,0.4822901131706976,0.33416312537326287
