,mth_day,Morgan Freeman,Morgan Freeman_norm
78,03-19,2.524153497931948,1.051409359256791
79,03-20,2.1290090639212464,-0.027721684766934672
80,03-21,2.8132613490372127,1.840956750908094
81,03-22,2.4856219730256854,0.9461805843557244
82,03-23,2.1082413505510282,-0.0844378682234935
83,03-24,2.3868203754556743,0.6763555230363726
84,03-25,1.9476598316841518,-0.5229825804616388
85,03-26,2.2639793729100224,0.340879358079383
86,03-27,1.7567375216170231,-1.0443873480777812
87,03-28,2.525784463896883,1.0558634926141637
88,03-29,2.3383025751508177,0.5438544424434053
89,03-30,2.3601434751052213,0.6035014756332361
90,03-31,2.189248943451424,0.13679214484581795
91,04-01,2.3181815953012292,0.4889044744747847
92,04-02,1.857154713624397,-0.7701501327158824
93,04-03,1.7996818916538595,-0.9271071869923353
94,04-04,2.3981167079814454,0.7072055668758979
95,04-05,1.934948852884365,-0.5576959931840507
96,04-06,2.485126210118834,0.9448266664026646
97,04-07,1.9522820991050815,-0.5103592664569939
98,04-08,2.4162551454015997,0.7567412536411074
99,04-09,1.663151816211771,-1.2999679188442956
100,04-10,2.551680502043243,1.1265850219479239
101,04-11,2.4168236330752366,0.758293781385304
102,04-12,2.4183500234358504,0.7624623209917413
103,04-13,2.0193646682524506,-0.32715819705300575
104,04-14,2.408358546572391,0.7351758102099352
105,04-15,1.7920870145944368,-0.9478486346882549
106,04-16,2.253561474879361,0.3124283001605063
107,04-17,1.8291075223468287,-0.8467464154930195
108,04-18,1.9424223142287158,-0.5372861292233153
109,04-19,2.012057056741042,-0.34711512864782745
110,04-20,2.330385768776621,0.5222338126367128
111,04-21,1.8099323485771137,-0.8991134071760872
112,04-22,2.4023085275677465,0.7186533370003828
113,04-23,1.8951792459640255,-0.6663059437298727
114,04-24,2.5660124962229127,1.165725393191594
115,04-25,2.198238117908322,0.16134138907564044
116,04-26,2.1711900338929593,0.08747364697921642
117,04-27,2.6828068240764056,1.4846882181852914
118,04-28,2.044423950141025,-0.2587218312603149
119,04-29,2.1977010795192764,0.15987474865869347
120,04-30,2.466517958360484,0.8940079266734322
121,05-01,2.2681235874308774,0.35219711978275914
122,05-02,1.669300944438793,-1.283174780456619
123,05-03,1.9223317697409428,-0.5921529788662194
124,05-04,2.5519590516993245,1.127345735133552
125,05-05,1.6814331478350077,-1.2500419910500222
126,05-06,1.908642641954567,-0.6295376956644466
127,05-07,2.228892936722238,0.24505904718675878
128,05-08,2.2692273304775017,0.35521141856497446
129,05-09,1.7002604295003947,-1.1986250853037363
130,05-10,2.455200742060614,0.863100849691069
131,05-11,2.361652705468638,0.6076231516523449
132,05-12,2.3955827445007043,0.7002853665108434
133,05-13,1.7858878108980674,-0.9647785281175463
134,05-14,2.1716793113391484,0.08880985327716215
135,05-15,2.5259754322502674,1.0563850231251002
136,05-16,2.2954777704750833,0.42690081181581085
137,05-17,2.3049274197510714,0.452707602981643
138,05-18,2.58606069683691,1.2204766026159288
139,05-19,1.927415741074478,-0.5782687612973187
140,05-20,2.199415119409054,0.16455575513771623
141,05-21,2.5669342571421936,1.1682427026550417
142,05-22,2.2746175906966304,0.3699321045652494
143,05-23,2.23809406305981,0.27018712749419727
144,05-24,2.6057658966702975,1.2742910842045103
145,05-25,3.1432455393453087,2.742136555427004
146,05-26,2.0158102832451603,-0.3368651469013126
147,05-27,1.9887897637672969,-0.41065761083216096
148,05-28,2.1915910875460947,0.14318849054777288
149,05-29,2.139431784014651,0.0007425421027222305
150,05-30,2.3395823355128127,0.5473494407697701
151,05-31,2.0847591612614864,-0.14856722767513067
152,06-01,2.577859765117613,1.198080032535499
153,06-02,2.1955949772816443,0.1541230282473791
154,06-03,2.8814366220334295,2.0271419712799883
155,06-04,2.3325963256778324,0.528270796512369
156,06-05,2.1917037874833323,0.14349627167908788
157,06-06,2.2029521700971064,0.17421536532890927
158,06-07,2.0973496242465046,-0.11418294107931645
159,06-08,3.270267755025444,3.0890315245141777
160,06-09,1.9873092721229557,-0.41470080202078596
161,06-10,2.0457685457317107,-0.2550497693035292
162,06-11,2.734757436496586,1.6265642356446264
163,06-12,2.5687078943138957,1.1730864680432855
164,06-13,1.877092191000328,-0.7157013060994736
165,06-14,2.322218659848023,0.49992961187822454
166,06-15,2.6872824660541346,1.4969111012234777
167,06-16,2.4650944026825807,0.8901202263980438
168,06-17,2.6455856607937425,1.3830380130051017
169,06-18,2.0422127701469206,-0.2647605167894086
170,06-19,2.630644907440142,1.3422351334065614
171,06-20,2.9402835854372573,2.1878517765809
172,06-21,1.8096793707333725,-0.8998042842861618
173,06-22,2.9937163567491862,2.333775538446064
174,06-23,2.1390718887806415,-0.00024032412589687716
175,06-24,1.7629925555318482,-1.027304983509472
176,06-25,1.537042230752723,-1.6443705142105667
177,06-26,2.3646635057166887,0.6158455830859554
178,06-27,2.6960831284300775,1.5209455229701203
179,06-28,1.9902866693492123,-0.4065695935291675
180,06-29,2.481122509330567,0.9338926447140683
181,06-30,1.862246750823507,-0.7562438874396696
182,07-01,2.07237110777291,-0.1823987382416873
183,07-02,2.0715821325920047,-0.1845534126781648
184,07-03,2.011275826833746,-0.3492486509068309
185,07-04,2.390598948930437,0.6866747268205534
186,07-05,2.139824044735966,0.001813797788714294
187,07-06,2.1450122441548873,0.015982660041730993
188,07-07,1.91848836275457,-0.6026492415915101
189,07-08,1.9001049687833969,-0.6528538994869929
190,07-09,2.2965817494940888,0.42991575503357976
191,07-10,1.9739288986112862,-0.4512423174624138
192,07-11,2.6452025827350716,1.3819918349754627
193,07-12,1.961039356451955,-0.48644338292145584
194,07-13,2.0922943276633994,-0.12798884851474338
195,07-14,2.383096468405215,0.6661856120941362
196,07-15,1.4228561214563578,-1.9562103498051042
197,07-16,1.7726512429605583,-1.0009273135950818
198,07-17,1.7712734421958014,-1.004690058175937
199,07-18,2.1704118719919814,0.08534850338020769
200,07-19,2.00569114149842,-0.36450030776375303
201,07-20,2.1435760108568562,0.012060337455443536
202,07-21,3.0605311106862496,2.5162452102075012
203,07-22,1.7953620154966476,-0.93890467688804
204,07-23,3.144012738838483,2.7442317609234856
205,07-24,1.8575414443255196,-0.7690939793974049
206,07-25,2.000771951731278,-0.37793451037996184
207,07-26,1.5817549304062672,-1.5222610825566671
208,07-27,2.099632376277431,-0.10794879384009629
209,07-28,2.2129683420258752,0.20156931780877813
210,07-29,2.2866430592507583,0.4027734033885021
211,07-30,2.111774356756686,-0.07478930342768894
212,07-31,1.7256178841059222,-1.1293744161635857
213,08-01,1.3994637332689197,-2.0200944643570877
214,08-02,2.5210227398476097,1.042859325523945
215,08-03,2.2157642099547394,0.20920477365059312
216,08-04,1.8255684925931004,-0.8564114304704757
217,08-05,2.07715428153603,-0.16933599243921732
218,08-06,1.7268285232751674,-1.1260681863443185
219,08-07,2.1681718428007697,0.07923103130747586
220,08-08,2.156380417480182,0.047028899576603424
221,08-09,1.6894032040745937,-1.2282759369936485
222,08-10,2.0602919067201375,-0.2153867793757754
223,08-11,1.8748625620291415,-0.7217903753925434
224,08-12,2.1111227038721463,-0.07656895359382383
225,08-13,2.229142131271626,0.2457395922004301
226,08-14,2.8123301781518255,1.8384137430273726
227,08-15,2.068699172900478,-0.19242671427125094
228,08-16,2.0021275549769895,-0.37423238675144865
229,08-17,1.4708303353760566,-1.8251937920671808
230,08-18,1.7694507582776997,-1.0096677691853069
231,08-19,1.7210993120288571,-1.1417145403898772
232,08-20,2.129471988613706,-0.026457447278865072
233,08-21,2.4303698283000563,0.7952881523982915
234,08-22,1.7307229541871825,-1.1154325783634473
235,08-23,2.2917342763679454,0.4166774090384279
236,08-24,2.3155383445724445,0.4816858129600112
237,08-25,2.5034001127880545,0.9947323058815437
238,08-26,2.69030090269419,1.5051543874812172
239,08-27,1.9979191004199823,-0.38572558662708334
240,08-28,1.7969990044009083,-0.9344340950114844
241,08-29,2.14647260517346,0.01997087491958786
242,08-30,2.274837209811295,0.3705318796958006
243,08-31,1.9225776844926443,-0.5914813909102636
