,unnamed: 0,unnamed: 0,mth_day,oscar (best picture),oscar (best picture)_norm,oscar (best picture)_ravg,Oscar (Best Picture)_ravg
86,86,86,03-27,3.3812876034459167,-0.5483459122795324,0.5400188912983849,0.5400188912983849
87,87,87,03-28,4.248748234548694,0.9301162158029699,0.29961104171130426,0.29961104171130426
88,88,88,03-29,3.855720112251195,0.26025619766067754,0.3938831748316192,0.3938831748316192
89,89,89,03-30,3.6997396525451935,-0.005590106053475317,0.12481459885139976,0.12481459885139974
90,90,90,03-31,4.015063495764352,0.5318341222810011,0.2535075853220619,0.2535075853220619
91,91,91,04-01,3.456954279523648,-0.4193829243032432,0.05214417102206087,0.05214417102206089
92,92,92,04-02,3.8343371492214127,0.2238120065444405,-0.033884123557152805,-0.033884123557152784
93,93,93,04-03,3.5398704169901167,-0.27806426999703626,0.0958752334680623,0.09587523346806233
94,94,94,04-04,3.5528669354633644,-0.2559135698146045,0.3770239284132907,0.37702392841329085
95,95,95,04-05,4.156543238914649,0.7729660360978153,0.5082833086699979,0.5082833086699982
96,96,96,04-06,5.0048166441952215,2.2187262919523723,0.6500457238344486,0.6500457238344487
97,97,97,04-07,3.9190385331797777,0.3681733572370005,0.4409973922827642,0.44099739228276436
98,98,98,04-08,4.333396185456716,1.074386497531144,0.6555315134163434,0.6555315134163435
99,99,99,04-09,2.803938691012132,-1.5323542593071426,0.6928581878615012,0.6928581878615013
100,100,100,04-10,4.308110782066229,1.0312911569868706,0.35622227475208385,0.35622227475208396
101,101,101,04-11,4.287947702875424,0.9969260827687624,0.2965921112183143,0.29659211121831436
102,102,102,04-12,3.8197268292136655,0.198910813295868,0.2853582460399629,0.285358246039963
103,103,103,04-13,3.7091170817908825,0.010392376034383016,0.590550029049686,0.5905500290496862
104,104,104,04-14,4.293848595056244,1.0069833064610356,0.495647769411085,0.49564776941108507
105,105,105,04-15,3.878332894292893,0.2987964387511965,0.2639448901740673,0.26394489017406747
106,106,106,04-16,3.9740177844486935,0.4618775991552636,0.28806707365961626,0.2880670736596164
107,107,107,04-17,3.472263126178341,-0.3932911926533435,0.2186119759661104,0.2186119759661105
108,108,108,04-18,3.904646330819393,0.3436439142091617,0.08470792399341924,0.08470792399341938
109,109,109,04-19,3.4646080271423685,-0.4063382101266525,-0.1113443568918459,-0.11134435689184574
110,110,110,04-20,3.8224540646514655,0.2035589946248888,-0.08616399548299654,-0.0861639954829964
111,111,111,04-21,3.188152339476351,-0.8775172465603943,-0.1696357460356209,-0.16963574603562073
112,112,112,04-22,4.062662485388497,0.6129597676083597,-0.18097465933175094,-0.18097465933175083
113,113,113,04-23,3.1784099822731524,-0.8941216959690897,0.025781634630845877,0.025781634630846022
