,unnamed: 0,unnamed: 0,mth_day,pixar,pixar_norm,pixar_ravg,Pixar_ravg
74,74,74,03-15,0.30292158424074417,-1.1347791159267009,-0.2709103794008401,-0.2709103794008401
75,75,75,03-16,0.4326861497701292,-0.5753847212362064,-0.5883523327562122,-0.5883523327562122
76,76,76,03-17,0.574991139008147,0.03806944471028965,-0.4420176713078178,-0.4420176713078178
77,77,77,03-18,0.21601201001970605,-1.5094324618986952,-0.5272590775413866,-0.5272590775413866
78,78,78,03-19,0.7476420993240425,0.7823402635169266,-0.19164954925103106,-0.19164954925103103
79,79,79,03-20,0.3888471034778453,-0.7643678744139316,-0.027639386845921488,-0.027639386845921488
80,80,80,03-21,0.7700362894234688,0.8788780538154323,-0.10038154725535617,-0.10038154725535618
81,81,81,03-22,0.6609620245615992,0.4086762531944508,0.301262638674116,0.30126263867411596
82,82,82,03-23,0.4737457036145178,-0.3983835177463185,0.28608324799010143,0.28608324799010143
83,83,83,03-24,0.7750363811528314,0.9004326536781377,0.3194828561235516,0.3194828561235516
84,84,84,03-25,0.7265148189385987,0.6912639194128393,0.19337620998550573,0.19337620998550573
85,85,85,03-26,0.4353340080241827,-0.5639702256132307,0.2503230493161928,0.2503230493161928
86,86,86,03-27,0.5945160378607891,0.1222381769871572,0.30096751987387216,0.30096751987387216
87,87,87,03-28,0.7402229031205301,0.7503572891785734,0.32371488635229345,0.32371488635229345
88,88,88,03-29,0.5442346943597947,-0.0945166944002422,0.29157764489194826,0.29157764489194826
89,89,89,03-30,0.8066970715997913,1.0369168525486658,0.2825981168036646,0.2825981168036646
90,90,90,03-31,0.6817849265943396,0.4984404706507683,0.2619153514631269,0.2619153514631269
91,91,91,04-01,0.4228359432731433,-0.617847394142933,0.15765234815636733,0.15765234815636733
92,92,92,04-02,0.5657289414883337,-0.0018584150560690261,-0.003132558258612793,-0.0031325582586127936
93,93,93,04-03,0.5951055034471607,0.124779269338016,-0.1893299248139968,-0.1893299248139968
94,94,94,04-04,0.3204478592825508,-1.059226132890123,-0.2147904105957528,-0.2147904105957528
95,95,95,04-05,0.5475401625949007,-0.08026734678363823,0.11061649617850801,0.110616496178508
96,96,96,04-06,0.6463480086667157,0.34567755596023225,0.1938467534927336,0.19384675349273361
97,97,97,04-07,0.8757502335693802,1.3345940465026318,0.36874889558450463,0.36874889558450463
98,98,98,04-08,0.6815721277818442,0.4975231288292847,0.6208507916410179,0.6208507916410179
99,99,99,04-09,0.8385412692766151,1.1741921218886422,1.110267279668716,1.1102672796687159
100,100,100,04-10,0.6713333167137907,0.4533852434489563,1.1072473807929708,1.1072473807929708
101,101,101,04-11,1.228729518812569,2.85623158138255,1.0464670185437726,1.0464670185437726
102,102,102,04-12,0.6421447931614488,0.3275581627057613,0.9963019881559028,0.9963019881559027
103,103,103,04-13,0.7911537051645895,0.969911873007442,0.6112611743730799,0.6112611743730799
104,104,104,04-14,0.6117504409558395,0.19653294650206427,0.4505644098000106,0.45056440980001056
