,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,spy,spy_norm,spy_ravg
120,120,120,120,04-30,1.8808265877195811,-0.54159661912786,-0.1726775217391299
121,121,121,121,05-01,2.059096247394189,-0.04360124154989761,-0.07724734682829545
122,122,122,122,05-02,2.3003906693260134,0.6304534852988934,0.0818093741288347
123,123,123,123,05-03,2.383323046369882,0.8621246541045301,0.1645545202130194
124,124,124,124,05-04,2.176600040421814,0.2846450000284145,0.18883810744034743
125,125,125,125,05-05,2.0014276551344685,-0.2046981574759653,-0.06758898736276515
126,126,126,126,05-06,1.9329840216108227,-0.3958950957638917,-0.005945052803870994
127,127,127,127,05-07,1.5083300397531207,-1.5821638103685731,-0.1406482102973036
128,128,128,128,05-08,2.432792419176763,1.0003170926522584,0.10264521040565673
129,129,129,129,05-09,2.0940012519358766,0.053905709143934485,0.1251048371051687
130,130,130,130,05-10,2.6991571234300555,1.7444055242461765,0.45832316538259515
131,131,131,131,05-11,2.049667500583804,-0.06994039727889359,0.8618015573263543
132,132,132,132,05-12,2.6486860620787667,1.603414873900667,0.786967857893794
133,133,133,133,05-13,2.374939958516212,0.8387065412939829,0.9153778623719079
134,134,134,134,05-14,2.272061070284522,0.5513148960568957,0.5698727269515023
135,135,135,135,05-15,2.3698063155306026,0.8243657360126175,0.7315606018803523
136,136,136,136,05-16,1.957064899119208,-0.3286252882762569,0.6570783146783875
137,137,137,137,05-17,2.3969483437586696,0.9001868522942075,0.439342829708516
138,138,138,138,05-18,2.48870949294844,1.1565211506888784,0.4337830013237121
139,139,139,139,05-19,1.907277415219757,-0.4677063685252454,0.6100683330737566
140,140,140,140,05-20,2.2601194086711707,0.5179559257480728,0.9391156033978456
141,141,141,141,05-21,2.748440264900375,1.8820777265128843,0.9431573104386154
142,142,142,142,05-22,2.6638081446026565,1.645658333668277,1.108172926382525
143,143,143,143,05-23,2.405629312752801,0.9244370945388259,1.2732202426656902
144,144,144,144,05-24,2.8431378152158837,2.146614846352336,1.327916671620579
145,145,145,145,05-25,2.2617738249708816,0.5225775291737457,1.279334775850231
146,146,146,146,05-26,2.3775989783325726,0.8461344994774055,1.210134457534735
147,147,147,147,05-27,2.6440937779817717,1.5905863518907952,1.1744301792478014
148,148,148,148,05-28,2.515176437350956,1.2304564237753013,1.2085542592621834
149,149,149,149,05-29,2.328941979989644,0.7102114248172233,1.323201332157012
150,150,150,150,05-30,2.916431123605125,2.3513593264386277,1.343731040813158
151,151,151,151,05-31,2.5080182150339376,1.210459966542718,1.1144826724712258
152,152,152,152,06-01,2.4216936547910146,0.9693127514142807,1.055548482455305
153,153,153,153,06-02,2.1517033208168064,0.2150961418392023,1.0369059428547838
154,154,154,154,06-03,2.3885948046245504,0.8768512836797772,0.8694127641045144
155,155,155,155,06-04,2.2889006542301287,0.5983561872140954,0.9590064033245366
156,156,156,156,06-05,2.5566813750972157,1.346400253937012,0.8065497298687063
157,157,157,157,06-06,2.7004516586989347,1.7480218018628508,0.9963300275974912
158,158,158,158,06-07,2.094240021494924,0.054572710679298544,0.9335813617774648
159,159,159,159,06-08,2.5593223945552137,1.3537779282119118,0.8894701716779566
160,160,160,160,06-09,2.2538202608706306,0.5003592887596187,0.8772757809228646
161,161,161,161,06-10,2.194156559795435,0.333689046617047,0.8597085599369135
162,162,162,162,06-11,2.530489687530689,1.2732339094064598,0.9603868535831928
163,163,163,163,06-12,2.6627199529731658,1.642618475947144,0.976540348534324
164,164,164,164,06-13,2.3104816087028213,0.6586424725569745,1.2891574185496075
165,165,165,165,06-14,2.5940176328303064,1.4506988979186999,1.3381056702034926
166,166,166,166,06-15,2.925273947262003,2.376061708851319,0.836628064474117
167,167,167,167,06-16,2.299289923158501,0.6273785565403591,0.674460529333146
168,168,168,168,06-17,1.4533924356331946,-1.7356317249697937,0.5795464410594992
169,169,169,169,06-18,2.3144088729733308,0.6696132651013189,0.5483578493574723
170,170,170,170,06-19,2.106620653641408,0.08915794291509277,0.4487473134317801
171,171,171,171,06-20,2.527029304679648,1.2635673477065388,0.4331306530716623
172,172,172,172,06-21,2.711325740443173,1.7783984932971653,0.6528805372812462
173,173,173,173,06-22,2.2657477235357795,0.5336785943796523,1.0650727250474994
174,174,174,174,06-23,1.9253816006182949,-0.4171324197122909,0.8744332580189864
175,175,175,175,06-24,3.1997346933574984,3.1427663916988378,0.8485050320078106
176,176,176,176,06-25,1.6971562155615445,-1.0546788592559846,0.3522374152516982
177,177,177,177,06-26,2.4713394380452334,1.1079979916394846,0.10643351565693493
178,178,178,178,06-27,1.6454187485720586,-1.1992072072395097,0.48336720192000543
179,179,179,179,06-28,1.7377985155663944,-0.9411448031889272,0.058256479132035764
180,180,180,180,06-29,2.734977548638837,1.844469697866132,0.36820462432405415
181,181,181,181,06-30,2.2866618341993976,0.5921020549710201,0.284860946824598
182,182,182,182,07-01,2.3628774593476707,0.8050100118961258,0.7280041375940828
183,183,183,183,07-02,2.29232995691969,0.6079359266427479,0.9327020089971922
184,184,184,184,07-03,2.5972225928946315,1.4596519373773995,0.5394969180109513
185,185,185,185,07-04,2.1774582575739743,0.2870424252297293,0.5249192924474445
186,186,186,186,07-05,1.890433110174044,-0.5147608480513137,0.22242046692039374
187,187,187,187,07-06,2.2553513225150192,0.5046363015899789,0.20079492160916726
188,188,188,188,07-07,1.7131562156572069,-1.0099829412661785,-0.20448981199895977
189,189,189,189,07-08,2.245881590812437,0.4781826547753889,-0.2020085798795224
190,190,190,190,07-09,1.7267329283154769,-0.9720564642713628,-0.26520930004883064
191,191,191,191,07-10,2.182787564938116,0.30192981794635343,-0.49550481691505666
192,192,192,192,07-11,1.7546876227692876,-0.8939651690671631,-0.28243544360614364
193,193,193,193,07-12,1.760711750364739,-0.877136799607377,-0.6795009707305102
194,194,194,194,07-13,2.1707966642685856,0.26843329858729964,-0.5405584291686463
195,195,195,195,07-14,1.3930455255471748,-1.90421050797081,-0.5147966118705368
196,196,196,196,07-15,2.025160271786321,-0.1384012149001796,-0.1399418386319333
197,197,197,197,07-16,2.2381200110905635,0.4565007217350107,0.07896827709658176
198,198,198,198,07-17,2.5598183833517383,1.355163470364458,-0.09007467593108193
199,199,199,199,07-18,2.2308972210016664,0.4363238947637133,0.19135582502522563
200,200,200,200,07-19,1.8077182374783936,-0.7458244195786825,0.3825077386167677
201,201,201,201,07-20,1.997515228116024,-0.21562750223296456,0.3279226478158184
202,202,202,202,07-21,2.435725366761881,1.0085102666490726,0.20901101988395843
203,203,203,203,07-22,2.12087957876704,0.12899017692931514,0.1981431109103232
204,204,204,204,07-23,2.3044143808583897,0.6416937027732983,0.48890317674708933
205,205,205,205,07-24,2.2075546135638944,0.3711164409219018,0.6680543821965529
206,206,206,206,07-25,2.4322264194914562,0.9987359754419148,0.4878670182447887
207,207,207,207,07-26,2.382304636175601,0.8592797304638168,0.36725274539129926
208,208,208,208,07-27,2.048710448604529,-0.07261391706151298,0.3279314039018495
209,209,209,209,07-28,1.861818555212149,-0.5946954601916217,0.27453442750928786
210,210,210,210,07-29,2.2199581491636384,0.4057656538365997,-0.005858586985593976
211,211,211,211,07-30,2.092866069399669,0.05073458256653221,0.12005861273982223
212,212,212,212,07-31,1.829985079273618,-0.6836221115273763,0.15031827645693094
213,213,213,213,08-01,2.652755536158689,1.614782928816314,0.06791414211112516
214,214,214,214,08-02,2.1137035814197733,0.10894406524113916,0.06816027186710066
215,215,215,215,08-03,1.6848270691820475,-1.0891202662664563,-0.03221320631095602
216,216,216,216,08-04,2.22048679826131,0.4072424323724527,0.095157759095527
217,217,217,217,08-05,1.8772791792298995,-0.5515062865018079,-0.06746021206565818
218,218,218,218,08-06,2.1035584457479115,0.08060368091152181,-0.11108477642930258
219,219,219,219,08-07,2.3034769884315107,0.6390751018492029,0.10363034770375863
220,220,220,220,08-08,2.0200046846904467,-0.15280332094072718,0.14918672010407522
221,221,221,221,08-09,2.146002339029202,0.1991704785319109,0.26155636227611556
222,222,222,222,08-10,2.318334923398288,0.6805806667743521,0.04410371968399144
223,223,223,223,08-11,2.1186319961800653,0.12271156653043434,0.48659619278078875
224,224,224,224,08-12,1.636503404649583,-1.224112174641223,0.3875534719649647
225,225,225,225,08-13,3.253883190648025,3.294029940429987,0.18088409508710712
226,226,226,226,08-14,1.8072760579434641,-0.747059645835672,0.19590686692157852
227,227,227,227,08-15,1.702108104584291,-1.0408457827352346,0.2007911800618609
228,228,228,228,08-16,2.3506015412371,0.7707172977811805,0.3764814712658861
229,229,229,229,08-17,2.1291227542930886,0.15201744537212866,-0.28915386343376787
230,230,230,230,08-18,2.0138592978717567,-0.16997042741707188,-0.38565743480553616
231,231,231,231,08-19,1.824200226584076,-0.6997820677679369,-0.15623187109417544
232,232,232,232,08-20,1.6000011361218918,-1.3260810740662818,-0.41033709409673746
233,233,233,233,08-21,2.194879150320471,0.3357075995329298,-0.3577686023720479
234,234,234,234,08-22,1.8048223593516364,-0.7539140402341917,-0.05006578200224743
235,235,235,235,08-23,2.2420318400152843,0.4674283957202661,-0.25245197978850903
236,236,236,236,08-24,2.6747579271123936,1.6762464948017308,0.1705778080187744
237,237,237,237,08-25,1.3895056061921855,-1.9140992544855064,0.09867064340525156
238,238,238,238,08-26,2.5086044649889754,1.2120976527774188,0.5167262153808184
239,239,239,239,08-27,2.0404335509316063,-0.09573538814820713,0.41111474409265253
240,240,240,240,08-28,2.7027418328651103,1.75441939161921,0.26588247845912727
241,241,241,241,08-29,2.0151945412133063,-0.16624043200872954,0.7002356170608328
242,242,242,242,08-30,2.3628212176491705,0.8048529010005795,0.4162454688584749
243,243,243,243,08-31,2.3224297619189334,0.6920195771247272,0.4383558463546117
244,244,244,244,09-01,1.8986370313488887,-0.4918432364367287,0.03847709722589924
245,245,245,245,09-02,2.0879232624709028,0.036926876828613404,0.20821812682503035
246,246,246,246,09-03,1.8438633967038407,-0.6448531031530649,0.26624767057028303
247,247,247,247,09-04,2.3797723297858613,0.852205745586057,0.24214343842011962
248,248,248,248,09-05,2.487459808451184,1.1530301634720956,0.4756916104924282
249,249,249,249,09-06,2.270657555321036,0.5473941842237465,0.29429109645231416
250,250,250,250,09-07,2.4002628097500867,0.9094457959971228,0.31040621091999815
251,251,251,251,09-08,1.6983026833401158,-1.0514762074120707,-0.07887617242631102
252,252,252,252,09-09,1.8784761995665133,-0.5481624163469611,-0.4389949343374638
253,253,253,253,09-10,1.5436532677899188,-1.483488554491798,-0.5950847615126137
254,254,254,254,09-11,1.713979747966582,-1.0076824079948212,-0.8820458230465867
255,255,255,255,09-12,1.9354004631225108,-0.3891447788271529,-0.7886923637094436
256,256,256,256,09-13,1.7839143083443647,-0.8123205732067154,-0.5446797655120782
257,257,257,257,09-14,1.8988116459704911,-0.491355451389212,-0.5251954008953391
258,258,258,258,09-15,2.4025779659145496,0.9159131728372318,-0.5797471995398199
259,259,259,259,09-16,1.5855027050207888,-1.3665823667913632,-0.4264788848335626
260,260,260,260,09-17,1.5968108221068211,-1.3349931998617055,-0.14207122540335793
261,261,261,261,09-18,2.2645973777742863,0.5304651094103903,0.4363015445893838
262,262,262,262,09-19,2.3947784922899715,0.8941253833745129,0.30969323908301233
263,263,263,263,09-20,3.141067958145094,2.9788811685672383,0.5782978715373329
264,264,264,264,09-21,2.130642676341712,0.1562633397990031,0.7740638644573119
265,265,265,265,09-22,2.162424402337048,0.2450454279345605,0.6134455423438235
266,266,266,266,09-23,2.017286254269757,-0.1603972423418321,0.3075033925590882
267,267,267,267,09-24,1.9196137705777048,-0.4332448232705397,-0.40458183776152606
268,268,268,268,09-25,1.7376615143673688,-0.9415275153338988,-0.33210705566119736
269,269,269,269,09-26,1.6116177176311943,-1.2936302133564477,-0.2627496074352648
270,270,270,270,09-27,2.28630743133829,0.5911120324009753,-0.44659781402139154
271,271,271,271,09-28,2.3113936006208284,0.6611901172901558,-0.6650273107794256
272,272,272,272,09-29,1.6224084056523984,-1.2634864818585922,-0.6450479367574724
273,273,273,273,09-30,1.4504605960321693,-1.7438218038187443,-0.5867657377552776
274,274,274,274,10-01,1.7805741561440211,-0.8216512712021795,-0.5341177450499842
275,275,275,275,10-02,1.7367989733096063,-0.943937019343279,-0.6629704445648735
276,276,276,276,10-03,2.3993872730159915,0.906999988632736,-0.5294053337492466
277,277,277,277,10-04,2.034637695748064,-0.1119260797991803,-0.5448484876441664
278,278,278,278,10-05,1.9092858497601064,-0.4620958169648302,-0.44002046503685904
279,279,279,279,10-06,1.4172910617781818,-1.8364807271882628,-0.4024621441309166
280,280,280,280,10-07,2.0057287269208297,-0.19268313555833527,-0.8030375808724761
281,281,281,281,10-08,1.8174685062488416,-0.7185870939076243,-0.8700496291874948
282,282,282,282,10-09,1.5390124583431892,-1.496452631816621,-0.7606497111263469
283,283,283,283,10-10,1.8907060580049413,-0.5139983696892928,-0.5600763634113052
284,284,284,284,10-11,2.144260153208989,0.1943036914020572,-0.42395572144242055
285,285,285,285,10-12,1.8480919572908263,-0.6330406408980127,-0.44419172181610705
286,286,286,286,10-13,2.298095061361554,0.6240407162549721,-0.26406596369331053
287,287,287,287,10-14,1.7740046702911167,-0.8400030961497429,-0.20277408553954102
288,288,288,288,10-15,1.925895056595676,-0.415698083079842,-0.39383130371939695
289,289,289,289,10-16,2.022351644505344,-0.1462471007666756,-0.5450576795201655
290,290,290,290,10-17,1.7338984495046033,-0.9520396176770785,-0.9307594805716487
291,291,291,291,10-18,1.5232808153206558,-1.5403988957026238,-1.1071712835842695
292,292,292,292,10-19,1.4696665428831843,-1.6901700900539267,-0.7919370408193028
293,293,293,293,10-20,1.39509907997904,-1.898473914225468,-0.5659390330148353
294,294,294,294,10-21,2.602970030047963,1.475707373509959,-0.3135274808674582
295,295,295,295,10-22,2.507760824016869,1.2097409460601294,0.004093260511828789
296,296,296,296,10-23,2.2760398852516617,0.562429695207184,0.2643759010391077
297,297,297,297,10-24,2.205481623047043,0.3653255525730981,0.39988284451765743
298,298,298,298,10-25,2.0287138734629817,-0.12847424689025325,0.13793725248372837
299,299,299,299,10-26,1.6861472838594338,-1.0854322533541694,-0.05962033536491196
300,300,300,300,10-27,2.0403509337953065,-0.09596617869361516,-0.5572294316594463
301,301,301,301,10-28,2.083437319772293,0.02439541896828737,-0.7328129371194593
302,302,302,302,10-29,1.2072516003620692,-2.4232248825600218,-0.6867066056856698
303,303,303,303,10-30,1.8283550892820075,-0.6881754801869797,-0.4741350664388402
304,304,304,304,10-31,2.127743226548809,0.1481637417124837,-0.7376372851990123
305,305,305,305,11-01,2.142718460993792,0.18999698212680816,-0.7114057423537643
306,306,306,306,11-02,1.4743884412475592,-1.6769794912546483,-0.24316545450460167
307,307,307,307,11-03,2.1397786646077304,0.1817846760397753,0.03533819301988043
308,308,308,308,11-04,2.2129601734029043,0.38621684453495386,0.04172947439990643
309,309,309,309,11-05,2.4265383580159083,0.9828464049599128,0.34881414157908175
310,310,310,310,11-06,2.1414707221176634,0.1865114299926397,0.8333426529868181
311,311,311,311,11-07,2.8022893916587246,2.03250498520186,1.14183253872509
312,312,312,312,11-08,2.5150816290205213,1.2301915771917693,1.176512456163309
313,313,313,313,11-09,2.8023677899657584,2.0327239904694068,0.8881320586004008
314,314,314,314,11-10,2.2874473356250498,0.5942963491642684,1.1094375879722504
315,315,315,315,11-11,1.8071413397495744,-0.7474359804175358,0.8060108495003896
316,316,316,316,11-12,2.6168011751484532,1.5143446062237385,0.7473221508861784
317,317,317,317,11-13,2.1505751327838607,0.2119445543706941,0.5048406143802913
318,318,318,318,11-14,2.3890272743043903,0.8780593855065029,0.7300531900151812
319,319,319,319,11-15,2.2815545101254657,0.5778347714340841,0.6856956988919084
320,320,320,320,11-16,2.7711695268807928,1.9455718029736075,0.5583090511543524
321,321,321,321,11-17,1.711868228360174,-1.013580927157172,0.465500657127494
322,322,322,322,11-18,2.3431941254238824,0.7500247197984024,0.43202942681377293
323,323,323,323,11-19,1.9512368871328776,-0.3449058097904563,0.3106773746825878
324,324,324,324,11-20,2.3171361872914384,0.6772320036241763,-0.14487333720724596
325,325,325,325,11-21,2.0209088494433454,-0.15027754135302654,0.0758568476738013
326,326,326,326,11-22,1.7927162235416991,-0.7877324683653951,0.2020471354196435
327,327,327,327,11-23,2.185962929359651,0.3108001821291115,0.11676402771995502
328,328,328,328,11-24,2.6142315767364144,1.5071664462734558,-0.05748111740507549
329,329,329,329,11-25,1.7680618063573184,-0.8566044559885873,0.31556810063153057
330,330,330,330,11-26,1.9428842469726275,-0.3682388671260067,0.5847180204791621
331,331,331,331,11-27,2.8221615534107007,2.0880177668666096,0.7445274974593578
332,332,332,332,11-28,2.370809114837748,0.8271670507203944,0.7524115757376286
333,333,333,333,11-29,2.5292092608327956,1.2696570440102843,1.1523223563687144
334,334,334,334,11-30,2.63116537188549,1.5544709159430807,1.0807453043876547
335,335,335,335,12-01,2.6270090412900307,1.5428602277979275,0.8748644274363299
336,336,336,336,12-02,1.7891476790642924,-0.7977011790123646,0.7012489988488052
337,337,337,337,12-03,2.379960896294641,0.8527325051586608,0.4532328468360753
338,338,338,338,12-04,1.9979097093964129,-0.21452552080475354,0.026019136818910844
339,339,339,339,12-05,1.996508472787508,-0.21843986806609544,-0.1586537591055929
340,340,340,340,12-06,1.7135756175770134,-1.0088113441599058,-0.3281251349851131
341,341,341,341,12-07,2.230359886018324,0.43482285225090506,-0.5283855954498887
342,342,342,342,12-08,1.4251490654679249,-1.8145294342894853,-0.6421993173892406
343,343,343,343,12-09,1.9498320347742728,-0.34883025762999265,-0.6765681442057955
344,344,344,344,12-10,1.7534552298174046,-0.8974078524408654,-0.531668097049919
345,345,345,345,12-11,1.9226894856739951,-0.4246528289654247,-0.6677127214455242
346,346,346,346,12-12,2.0247987725261027,-0.13941106122464647,-0.4022116873360588
347,347,347,347,12-13,1.938156825706573,-0.3814448941227261,-0.29816556932445415
348,348,348,348,12-14,1.9954047078895198,-0.22152322963269308,-0.10145258879620202
349,349,349,349,12-15,2.1733071939848307,0.275446450439635,0.2285391970481229
350,350,350,350,12-16,2.1759646466265115,0.28287003072864725,0.30716582212431115
351,351,351,351,12-17,2.6314614061363413,1.5552978861005249,0.627778065856456
