,unnamed: 0,unnamed: 0,mth_day,emotional,emotional_norm,emotional_ravg
69,69,69,03-10,5.160373217793885,-1.0911199712602295,-0.3820362989532049
70,70,70,03-11,6.2743237263380935,0.5130130079857151,-0.6259876438502534
71,71,71,03-12,5.481488715422901,-0.628700899728172,-0.2950978183749759
72,72,72,03-13,5.701981165940686,-0.31118301285851685,-0.27160125612070807
73,73,73,03-14,5.594566737966722,-0.4658640557219538,-0.10218562860274771
74,74,74,03-15,6.164072869476419,0.3542473948589112,-0.01959395993313991
75,75,75,03-16,5.8662521949258695,-0.0746262061524674,-0.2054620438516845
76,76,76,03-17,6.618446186905942,1.008563020003362,-0.20108573839308475
77,77,77,03-18,4.707059727495001,-1.7439094032394395,-0.15359349850233847
78,78,78,03-19,5.720215269051428,-0.28492518010691825,-0.014045763347250847
79,79,79,03-20,5.792445612583723,-0.18091061637747613,0.07637833889782882
80,80,80,03-21,6.745505727799452,1.191533805789437,0.06821444976418074
81,81,81,03-22,6.243008895213556,0.4679184073180106,0.4678523493739162
82,82,82,03-23,6.584430920454401,0.9595796852014734,0.5736016347480911
83,83,83,03-24,6.372171712337062,0.6539179944189729,0.7003608904295788
84,84,84,03-25,6.160825137727487,0.3495705321381315,0.3767023217894394
85,85,85,03-26,6.320594609540772,0.5796449177114502,0.7214469398386171
86,86,86,03-27,5.396965556394762,-0.7504176060514001,0.6739870306458621
87,87,87,03-28,7.679405182412691,2.5363861156130763,0.6683653016231254
88,88,88,03-29,6.386686753363278,0.6748202300449431,0.7085549518259339
89,89,89,03-30,6.348748487511704,0.620187620282553,0.5316053415407355
90,90,90,03-31,6.32827739459466,0.5907084333549819,0.5913711233211094
91,91,91,04-01,5.583324903422444,-0.4820527439997406,0.23104553399630104
92,92,92,04-02,5.6459827782927325,-0.3918229153691564,0.332940418060724
93,93,93,04-03,6.178089972278899,0.3744325796642261,0.2813476726400728
94,94,94,04-04,6.8112370595665945,1.2861895344314809,0.47579663888771817
95,95,95,04-05,6.1337846444559645,0.31063114775864603,0.5369957596774738
96,96,96,04-06,7.1384590726969845,1.757402230840854,0.7803119796999041
97,97,97,04-07,5.838314206459849,-0.11485801926120626,0.4146613701349777
98,98,98,04-08,6.659772397499175,1.068074404765425,0.3286154470964175
99,99,99,04-09,4.654587789813388,-1.8194710777253318,0.5841770363818236
100,100,100,04-10,6.452722269457297,0.7699139962001195,0.4688762306968955
101,101,101,04-11,7.198595228236862,1.8440006834710825,0.6296979302167549
102,102,102,04-12,6.65805230047792,1.0655973967312855,0.5397875792397898
103,103,103,04-13,6.508386137962573,0.8500721778579502,0.6756323973029787
104,104,104,04-14,6.285156268450103,0.5286122989036338,0.7959467558948751
105,105,105,04-15,5.220592252494724,-1.0044021693461982,0.35707000253151966
106,106,106,04-16,6.954018269250085,1.4918001477514975,0.15871091143234692
107,107,107,04-17,5.369992529124653,-0.7892598367090498,-0.021887369012221453
108,108,108,04-18,5.831578884883068,-0.124557149863751,-0.14755243559181988
109,109,109,04-19,5.755914058853503,-0.23351750480946,-0.02652851406987052
110,110,110,04-20,5.761566266996278,-0.2253781005739567,-0.20781928709581168
111,111,111,04-21,5.724844682946327,-0.27825864021450203,-0.3112149622540042
112,112,112,04-22,6.198660883973148,0.40405550959585057,-0.07246942067611561
113,113,113,04-23,4.939189099182523,-1.4096338876582046,-0.10045798044018428
114,114,114,04-24,6.826324535876544,1.3079160996035804,-0.2116162048135928
115,115,115,04-25,5.639298276548747,-0.4014488633938719,0.04882116748663646
116,116,116,04-26,5.298419774136929,-0.892327446814408,-0.010252796545656584
117,117,117,04-27,6.809970468917508,1.2843655935868736,0.2911735961448943
118,118,118,04-28,5.952526156515224,0.04961172540209231,0.1983772273021741
119,119,119,04-29,6.195097759264269,0.3989244684851007,0.3029724856148139
120,120,120,04-30,6.439683664075519,0.7511378865472591,0.3216082111923861
121,121,121,05-01,6.075099831766872,0.2261226864819668,0.11280023176795351
122,122,122,05-02,5.376066488914846,-0.7805130933489751,0.22033257117593089
123,123,123,05-03,5.9399612195199625,0.031517717040278274,-0.013059639747882925
124,124,124,05-04,6.4005652120732215,0.6948057618499566,-0.1159764772759773
125,125,125,05-05,5.222657037406963,-1.0014287970577822,-0.18902597779673855
126,126,126,05-06,6.0108753358928775,0.13363686137869285,0.052371261270035906
127,127,127,05-07,5.770735308475594,-0.21217431664260067,-0.11674172173838654
128,128,128,05-08,6.381860574686983,0.6678703410516715,-0.2183420395553161
129,129,129,05-09,5.235343226394927,-0.9831601810102564,-0.12313607502006318
130,130,130,05-10,5.9772422313801,0.08520385494837919,-0.15065870120715627
131,131,131,05-11,5.61933761432649,-0.4301930098462647,-0.13103233645059534
132,132,132,05-12,5.896200889942657,-0.03149889574386571,-0.006885649735977291
133,133,133,05-13,5.8525095726455945,-0.09441612810323506,0.15735203900357
134,134,134,05-14,6.899124167876749,1.4127504613393798,0.2983659154336445
135,135,135,05-15,5.919648053714957,0.0022659514270273943,0.45012138280241193
136,136,136,05-16,6.564783843179308,0.9312871135288262,0.8902324731291923
137,137,137,05-17,6.2516346205108535,0.4803397943663395,1.1652090334746241
138,138,138,05-18,7.729946517874027,2.609167646216816,1.008742968527073
139,139,139,05-19,6.998213637822977,1.5554432339693562,1.4847099963885233
140,140,140,05-20,6.247200213167582,0.4739540716540733,1.3329198884752422
141,141,141,05-21,7.902789300467847,2.8580681185957286,1.444676563008407
142,142,142,05-22,5.932342505374026,0.02054646604914088,1.0806882280589276
143,143,143,05-23,6.71727458692292,1.1508798415653267,0.9990112872121414
144,144,144,05-24,6.213370288595097,0.4252376365199397,1.0122045434840123
145,145,145,05-25,6.657902438054309,1.0653815888886389,0.5920019068444039
146,146,146,05-26,6.302170598005552,0.5531136092852987,0.623410404973969
147,147,147,05-27,6.15199327483034,0.3368522987580784,0.1977345181366086
148,148,148,05-28,6.0632076378164195,0.20899745482653212,0.32125070275527035
149,149,149,05-29,4.94367398116622,-1.4031754794588356,0.16303207172175072
150,150,150,05-30,6.728006862181692,1.1663347442319103,0.07448518249470183
151,151,151,05-31,5.998676326075215,0.11606980268752105,0.013849469938137043
152,152,152,06-01,5.933235402879102,0.021832273923005442,-0.005203465037354069
153,153,153,06-02,5.899351441345649,-0.026961976581310373,0.37513153790507964
154,154,154,06-03,5.983822598496858,0.09467984497358543,0.392748222527117
155,155,155,06-04,6.528359448367487,0.8788345381957666,0.4942464289065014
156,156,156,06-05,6.80140769009612,1.2720348519641345,0.6433615633013964
157,157,157,06-06,6.421573854180852,0.7250590409638273,0.8493385496266367
158,158,158,06-07,6.554531325124577,0.916523080292375,0.8589997044139744
159,159,159,06-08,6.757565211527951,1.2088999413701325,0.8669449236394188
160,160,160,06-09,6.0240762997587245,0.15264677369761187,1.220529099053265
