,Unnamed: 0,Unnamed: 0.1,mth_day,halloween,halloween_norm,halloween_ravg
73,73,73,03-14,0.487106148327061,-1.0181672881297197,0.11552559187003682
74,74,74,03-15,0.5135095975814477,-0.91569612190334,0.3822143418927429
75,75,75,03-16,1.9887813440730049,4.809798865790414,0.3240188305932767
76,76,76,03-17,0.8142677967330664,0.25153938290828004,0.6478427020113274
77,77,77,03-18,0.5707345416442065,-0.6936074584543407,0.7963690566902223
78,78,78,03-19,1.1238933374122624,1.4531888318566684,0.9075475936972205
79,79,79,03-20,0.7167282876929557,-0.1270091600563495,0.05745777098379253
80,80,80,03-21,0.6853919114934096,-0.2486248998613508,0.20778980976673309
81,81,81,03-22,0.674540217192587,-0.290740070490154,0.15395677849397046
82,82,82,03-23,1.0466815285263544,1.1535316156059234,-0.13202339560432294
