,unnamed: 0,unnamed: 0,mth_day,fairy tale,fairy tale_norm,fairy tale_ravg
178,178,178,06-27,1.9542359617324343,0.8319811533315071,0.6657528370342337
179,179,179,06-28,1.6733214021182827,-0.016004497518835877,0.6686823292515965
180,180,180,06-29,1.8555278548482663,0.5340149020437631,0.8676731958017371
181,181,181,06-30,2.3677373276339764,2.080201343033133,0.7107956303569436
182,182,182,07-01,2.0388527577267896,1.0874105227550823,0.4342674610577261
183,183,183,07-02,1.5948676795097054,-0.25282964150299,0.22460231243797235
184,184,184,07-03,1.4045984378778702,-0.8271878624637979,0.08891294735622714
185,185,185,07-04,1.2565832686470946,-1.2739953892373583,-0.07149707913558874
186,186,186,07-05,1.5858266998956618,-0.280121288446708,-0.28834102111218957
187,187,187,07-06,2.048900480068529,1.1177411840822378,-0.1406698442193098
188,188,188,07-07,1.6078457914819988,-0.21365312910452253,-0.2544819537830449
189,189,189,07-08,1.8883843227427728,0.6331974198542885,0.22547048546463766
190,190,190,07-09,1.178381317778299,-1.5100605198462085,0.2680170099290613
191,191,191,07-10,2.210554326802148,1.6057192462487369,0.04708998264575174
192,192,192,07-11,1.6703937312201975,-0.0248421416601662,0.10660371300133425
193,193,193,07-12,1.60977782382603,-0.2078209796176195,-0.1571914317647083
194,194,194,07-13,1.7261374630715056,0.14342925302897253,0.05173816250917248
195,195,195,07-14,1.364055425106397,-0.9495734487419668,-0.3540017125887361
196,196,196,07-15,1.5936574364741003,-0.2564829542029239,-0.43144180849909425
197,197,197,07-16,1.4040908809874597,-0.8287200043387144,-0.34190515573202823
198,198,198,07-17,1.5164709584658138,-0.4894827171223151,-0.555574703068733
199,199,199,07-18,1.7877441563187804,0.3293989369847768,-0.383645851972108
200,200,200,07-19,1.3014400399522172,-1.1385880309912562,-0.24552504370232198
201,201,201,07-20,1.7057875106128717,0.08199965783778372,-0.14494504287486265
202,202,202,07-21,1.868191417017872,0.5722418954157922,-0.2303086837459614
