,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,family,family_norm,family_ravg
116,116,116,116,04-26,6.613216011251646,-0.6697083692713384,0.16492510158202708
117,117,117,117,04-27,7.938772526436115,0.8116513220885333,0.4357013442890733
118,118,118,118,04-28,6.936629712818247,-0.30828128891212603,0.7540662175546736
119,119,119,119,04-29,8.435447414480597,1.366704351085475,0.6463426921968524
120,120,120,120,04-30,9.171066742747566,2.188786856506428,0.7904081675655998
121,121,121,121,05-01,7.649969766231183,0.4889032816841447,0.9549878618791658
122,122,122,122,05-02,7.386695662150822,0.19468448294114649,1.2624157701493655
123,123,123,123,05-03,8.82239189587156,1.7991294879699289,1.3347601139562133
124,124,124,124,05-04,8.587193323265907,1.5362861607090712,1.2078674254120048
125,125,125,125,05-05,8.82386023614397,1.8007704139265617,1.1279635915137352
126,126,126,126,05-06,8.489786844245776,1.427430725241176,1.1722874943869719
127,127,127,127,05-07,7.220970456084551,0.009480278294527552,0.8747544697943069
128,128,128,128,05-08,7.624668270321712,0.460627900180566,0.7482186888648319
129,129,129,129,05-09,7.224953374228126,0.01393134041394006,0.2892522005740065
130,130,130,130,05-10,7.907829642209974,0.7770714751322211,0.21993961666607753
131,131,131,131,05-11,6.359694285009923,-0.9530285158183902,-0.08175717661534883
132,132,132,132,05-12,8.117651375516706,1.0115552217936017,-0.3346713048388528
133,133,133,133,05-13,5.601176888281968,-1.8007004813940306,-0.20488387420409082
134,134,134,134,05-14,6.266786160780409,-1.0568568691604583,-0.1627194572869551
135,135,135,135,05-15,7.921774984551664,0.7926559242225121,0.19057754345578867
136,136,136,136,05-16,8.13420808849599,1.0300579766350353,0.3601898950050911
137,137,137,137,05-17,8.256526542001206,1.1667534886380726,0.7090718328150558
138,138,138,138,05-18,9.028290806155775,2.0292293310894163,1.007613860026447
139,139,139,139,05-19,7.474304914074187,0.2925911454657579,0.9987899324079179
140,140,140,140,05-20,7.869641962249501,0.7343952941078891,0.9686880992931921
141,141,141,141,05-21,7.874399800202537,0.7397123585113373,0.9498007133599179
142,142,142,142,05-22,7.972592994321565,0.8494469779466801,0.6759597135151832
143,143,143,143,05-23,8.155121200848694,1.0534291730384269,0.6824743245890987
144,144,144,144,05-24,7.558053468447762,0.3861833320210093,0.7445679041234055
145,145,145,145,05-25,7.509281504310665,0.33167881190924986,0.5614142412555155
146,146,146,146,05-26,8.203018991675489,1.1069567713137294,0.4355045854570199
147,147,147,147,05-27,6.891057810365234,-0.35920961869600154,0.22637873407697232
148,148,148,148,05-28,7.296590944818852,0.09398904315570633,0.18219564167343005
149,149,149,149,05-29,7.032335952645345,-0.2013259352418588,0.15157823521448915
150,150,150,150,05-30,7.320836863980489,0.12108477759975565,0.044325618706356616
151,151,151,151,05-31,7.344898325074391,0.1479743731556044,0.1866679726098086
152,152,152,152,06-01,7.627185564809014,0.4634410722649341,0.37859376654919163
153,153,153,153,06-02,7.655286116443437,0.4948445047247105,0.9187791050048513
154,154,154,154,06-03,8.327030026179667,1.2455438067920042,1.2406279069698174
155,155,155,155,06-04,9.932561464275288,3.0397860954920985,1.5997979673193239
156,156,156,156,06-05,9.048825463254456,2.0521775893895526,1.84022209822813
157,157,157,157,06-06,9.27326271759448,2.3029947352526428,1.8875776455647355
158,158,158,158,06-07,8.918009562488495,1.905985857717772,1.7706780605029409
159,159,159,159,06-08,7.909535457781487,0.7789777887443441,1.5818874604071678
160,160,160,160,06-09,7.6994025532378,0.5441462964212357,1.358903577018885
161,161,161,161,06-10,8.918955067035704,1.9070424949174605,1.2926964232440874
162,162,162,162,06-11,7.851637199807912,0.7142742890598563,1.390978043472609
163,163,163,163,06-12,8.917800133254389,1.9057518126038573,1.4323033175989417
164,164,164,164,06-13,9.445678201415245,2.495675579088899,1.5855281373906676
165,165,165,165,06-14,8.131408592359591,1.0269294335023404,1.434854903796186
166,166,166,166,06-15,8.522058222947987,1.4634952151715914,1.365787809755936
167,167,167,167,06-16,8.109998723940947,1.003003093350571,1.3443114921634114
168,168,168,168,06-17,7.480819752739937,0.29987172481835594,1.0394234380171994
169,169,169,169,06-18,8.802494959745276,1.7768939070487086,1.1166522077606367
170,170,170,170,06-19,7.80875092872393,0.6663472542116271,1.3058530970507307
171,171,171,171,06-20,8.546045629495868,1.4903020519629642,1.238204376742769
172,172,172,172,06-21,9.537867440412052,2.598700550912156,1.453099191698471
173,173,173,173,06-22,7.746796447797768,0.5971107715028015,1.525275566717936
174,174,174,174,06-23,8.634578250579438,1.5892406145525668,1.520389327016168
175,175,175,175,06-24,9.190005966184053,2.2099521571654988,1.6645098561131617
176,176,176,176,06-25,7.7825169752450725,0.6370298160010194,1.4432308444519724
177,177,177,177,06-26,9.319820860848276,2.355025226544926,1.4173707417840884
178,178,178,178,06-27,8.349832539941092,1.2710264809450205,1.3233962001474262
179,179,179,179,06-28,7.6079549721938875,0.4419501554954979,1.112971007844753
180,180,180,180,06-29,8.130034080836573,1.0253933647325943,1.345817083442313
181,181,181,181,06-30,8.06024462769496,0.9474010033494606,1.004602486620497
182,182,182,182,07-01,9.032654808792346,2.0341062695863794,1.2386922665204974
183,183,183,183,07-02,7.487858369099923,0.3077376456140298,1.1201779486373327
184,184,184,184,07-03,9.606647753805966,2.675565160345023,0.8570493655495875
185,185,185,185,07-04,6.9716580871269285,-0.2691357518034911,0.9588239552165138
186,186,186,186,07-05,6.717311122283416,-0.5533781337938759,0.7670935374164861
187,187,187,187,07-06,8.60666682832623,1.5580485413510174,0.665472012667018
188,188,188,188,07-07,8.003264691228553,0.8837237627862131,0.1167727975513213
189,189,189,189,07-08,6.942257965631487,-0.3019915028827791,0.35604699172750304
190,190,190,190,07-09,6.660711704450391,-0.6166301303491574,0.4055164969931715
191,191,191,191,07-10,8.256308137438173,1.1665094132535991,0.18496527582535907
192,192,192,192,07-11,6.982910188021443,-0.25656110219986483,0.19478031289601194
193,193,193,193,07-12,7.42253939517389,0.2347412143441429,0.06457589229903622
194,194,194,194,07-13,8.05596108797135,0.9426139852101302,-0.08653603229390644
195,195,195,195,07-14,6.2431975590274655,-1.0832180264646334,-0.3863343512858532
196,196,196,196,07-15,5.849400053399488,-1.5233016779068134,-0.29832756773273056
197,197,197,197,07-16,6.6467073741705365,-0.6322805006980815,-0.1672979668198159
198,198,198,198,07-17,7.455413791297622,0.2714795991188708,-0.5252881711842354
199,199,199,199,07-18,8.126030149722606,1.020918819821631,-0.4391657181589183
200,200,200,200,07-19,6.133931277648145,-1.2053272409763869,-0.1525268885944945
201,201,201,201,07-20,6.705584294850876,-0.5664833083127307,-0.3128001579843524
202,202,202,202,07-21,7.388348238300523,0.19653129947972925,-0.46940583422456644
203,203,203,203,07-22,5.7862089644104575,-1.5939201170372288,-0.6698052156455555
204,204,204,204,07-23,6.614606488388548,-0.6681544583224139,-0.5030864678139819
205,205,205,205,07-24,7.050096841029668,-0.1814774687043036,-0.552852388397328
206,206,206,206,07-25,7.029035108326843,-0.2050147539869452,-0.5400530026203497
207,207,207,207,07-26,6.438393791498448,-0.8650788318128072,-0.27922662851976227
208,208,208,208,07-27,7.4570674398799515,0.27332761414159873,-0.2938845975578595
209,209,209,209,07-28,7.186571488937867,-0.028961872433703593,-0.30689062109799076
210,210,210,210,07-29,6.535908655021749,-0.7561022725509972,-0.27054113663996765
211,211,211,211,07-30,6.980268212611525,-0.2595136099450913,-0.4548412702073263
212,212,212,212,07-31,7.224193500557822,0.013082152761193708,-0.602080634144191
213,213,213,213,08-01,5.448896463235187,-1.9708796332169591,-0.5801829708904035
214,214,214,214,08-02,6.666547355001872,-0.6101085694795895,-0.5504341503835922
215,215,215,215,08-03,7.304138844237214,0.10242410708902068,-0.5184232765842849
216,216,216,216,08-04,6.695628443828709,-0.5776093495101292,-0.5910508475944948
217,217,217,217,08-05,7.152132841717777,-0.06744836714924783,-0.11724938611135405
218,218,218,218,08-06,6.834260047543872,-0.4226832733000653,0.040072993560967024
219,219,219,219,08-07,7.992710573350563,0.8719291356818849,-0.009274094876646375
220,220,220,220,08-08,7.511202599404531,0.33382570855433696,-0.11998409140807352
221,221,221,221,08-09,7.039197027747737,-0.1936584235366597,-0.22143376447715746
222,222,222,222,08-10,6.101232532879224,-1.2418693286986922,-0.431649850151617
223,223,223,223,08-11,6.607455100513913,-0.6761464055637515,-0.6480080237973084
224,224,224,224,08-12,5.705621391094852,-1.6839797873468223,-0.6900488749258694
225,225,225,225,08-13,6.831095382810915,-0.42621990619226335,-0.5739508643779316
226,226,226,226,08-14,7.285487571073199,0.08158060178297055,-0.39144173702190477
227,227,227,227,08-15,7.662520891004072,0.5029296397509667,-0.5510239652036772
228,228,228,228,08-16,7.081114046836152,-0.1468145645625308,-0.2865985665899729
229,229,229,229,08-17,5.750666853171433,-1.6336397746543865,-0.44067719996611504
230,230,230,230,08-18,7.1253068812172975,-0.09742739566459648,-0.48168463325670025
231,231,231,231,08-19,6.003855634705008,-1.3506917064491162,-0.48755972539997544
232,232,232,232,08-20,7.06532090654315,-0.16446399796054093,-0.6428549491412899
233,233,233,233,08-21,7.630977842897997,0.467679086891316,-0.217692760854188
234,234,234,234,08-22,6.247342491657577,-1.0785859070104182,-0.021163858714696043
235,235,235,235,08-23,8.033339368082503,0.9173333550682252,0.12465649540037349
236,236,236,236,08-24,8.180459798523598,1.0817460171723554,0.09056305897548071
237,237,237,237,08-25,6.786757133528547,-0.475769581758699,-0.04216652896771847
238,238,238,238,08-26,6.882275112702664,-0.3690246165098976,0.30819200637047345
239,239,239,239,08-27,6.9183599510434695,-0.3286984407678791,0.026329372782684657
240,240,240,240,08-28,8.128398288747732,1.0235653050187334,0.050034792072045566
241,241,241,241,08-29,6.520034317924039,-0.7738424464585076,0.33175729554469374
242,242,242,242,08-30,8.307732897018722,1.2239785329085209,0.43766435658648223
243,243,243,243,08-31,8.299309832769751,1.21456543907719,0.6751716325141724
244,244,244,244,09-01,7.450884325928018,0.26641774974083304,0.3301563776703478
245,245,245,245,09-02,8.193523514002262,1.0963452147982624,0.391286445124033
246,246,246,246,09-03,6.276030272132815,-1.0465262240442148,0.37845260532251634
247,247,247,247,09-04,6.848238303733235,-0.4070620417363965,0.20628901126984575
248,248,248,248,09-05,8.238828713667612,1.146975494099421,0.06867831024506361
249,249,249,249,09-06,7.374972920788858,0.18158387476116647,-0.07317362875531847
250,250,250,250,09-07,6.712060005137769,-0.5592464564078597,-0.12756762970013513
251,251,251,251,09-08,7.431928218692608,0.24523358079597,-0.36427042082916783
252,252,252,252,09-09,5.983991858667562,-1.3728902297131147,-0.7231189487723673
253,253,253,253,09-10,5.577393975619756,-1.8272787885105928,-0.804443604367144
254,254,254,254,09-11,6.312190611035831,-1.0061156735597754,-0.8592693266050265
255,255,255,255,09-12,6.938345296731543,-0.3063640588074941,-1.017408652451642
256,256,256,256,09-13,6.417703703683102,-0.8882007898351547,-0.7732784290232422
257,257,257,257,09-14,6.5828868350009975,-0.7036023742837221,-0.772905800668549
258,258,258,258,09-15,7.294713664207798,0.09189111085728432,-0.7716219246024161
259,259,259,259,09-16,5.57939459685788,-1.825043018382433,-0.5372329281901228
260,260,260,260,09-17,6.3190836713536385,-0.9984124171629783,-0.3465563768331393
261,261,261,261,09-18,8.196766987671369,1.0999699196662651,-0.040782654658492255
262,262,262,262,09-19,7.441435670004388,0.25585851830674644,0.04629601911612948
263,263,263,263,09-20,8.22456921085421,1.1310399587641602,0.6329422304523652
264,264,264,264,09-21,7.762234296889296,0.6143631535050147,0.965424546771983
265,265,265,265,09-22,8.729065991647246,1.6948342496349815,0.6128185428431856
266,266,266,266,09-23,8.104163027103544,0.9964814807547286,0.22746773946253648
267,267,267,267,09-24,6.303644654747982,-1.0156661039065198,-0.13983895437899796
268,268,268,268,09-25,5.372508301322408,-2.0562463019771484,-0.20802297856589447
269,269,269,269,09-26,6.252519678526688,-1.0728002042850464,-0.3281916868963947
270,270,270,270,09-27,7.3961580035234356,0.20525900838363573,-0.5760795376903616
271,271,271,271,09-28,8.08388677483231,0.97382199965198,-0.5744426129460306
272,272,272,272,09-29,6.773266725935619,-0.4908456240090727,-0.37677514066687423
273,273,273,273,09-30,6.312433214092631,-1.0058445554405346,-0.4826562928753993
274,274,274,274,10-01,6.433774139381563,-0.8702414683022102,-0.5934438590277713
275,275,275,275,10-02,5.684049568408835,-1.7080871175361974,-0.7928063124699055
276,276,276,276,10-03,6.801345625525372,-0.4594663885305961,-0.8538116894402882
277,277,277,277,10-04,7.013520675694884,-0.22235272100082454,-0.9733381169626408
278,278,278,278,10-05,6.445732196505532,-0.856877885831369,-1.0513394449365507
279,279,279,279,10-06,5.670702367777243,-1.7230031205746503,-0.8680334421481687
280,280,280,280,10-07,6.01498927939685,-1.3382494361456705,-0.9488034376340481
281,281,281,281,10-08,6.668209462939948,-0.6082511008059049,-0.8641778833834102
282,282,282,282,10-09,6.3676959412298215,-0.9440863614458724,-0.719695208834647
283,283,283,283,10-10,7.467870643939477,0.2854006045030036,-0.5133756983221663
284,284,284,284,10-11,7.221451766964117,0.010018161461209832,-0.3733697604802864
285,285,285,285,10-12,6.778420525485842,-0.4850860574997662,-0.4404692456274424
286,286,286,286,10-13,6.766673495539317,-0.498213809094391,-0.2768978902755091
287,287,287,287,10-14,6.307956000309195,-1.0108480116888408,-0.47112339880445514
288,288,288,288,10-15,7.245901593978213,0.037341770665727136,-0.6838116647434046
289,289,289,289,10-16,6.4250845208370535,-0.8799524466706725,-0.8588716197970833
290,290,290,290,10-17,6.079540110005831,-1.2661114341724864,-0.740740223391711
291,291,291,291,10-18,5.838533209841592,-1.5354457878218382,-0.4828226936492239
292,292,292,292,10-19,7.400914496153691,0.21057456933784266,-0.5155384735074482
293,293,293,293,10-20,7.692701098712371,0.5366571667660814,-0.5323149923304565
294,294,294,294,10-21,7.070252362829227,-0.1589529084836181,-0.3539109332331005
295,295,295,295,10-22,6.335012309647591,-0.9806115596087228,-0.11031086581009723
296,296,296,296,10-23,7.03738173719942,-0.19568707958835027,-0.05213601538841772
297,297,297,297,10-24,7.146408636810371,-0.0738453832838184,0.09275435395394359
298,298,298,298,10-25,7.713252083490968,0.5596236718679197,0.13785401715178394
299,299,299,299,10-26,8.470609560199975,1.4059993828202493,0.35661499802605867
300,300,300,300,10-27,7.312389985716657,0.11164507070342414,0.521167803147243
301,301,301,301,10-28,7.509528040664308,0.3319543256369253,0.7095265175989747
302,302,302,302,10-29,7.920856740032921,0.7916297511387559,0.7399594101449103
303,303,303,303,10-30,8.157696263669152,1.0563069034265715,0.6620012554579423
304,304,304,304,10-31,7.8766446176288785,0.7422210271435334,0.8085111038604614
305,305,305,305,11-01,8.052056495229484,0.9382504546984416,0.8827267516088838
306,306,306,306,11-02,8.098993341625585,0.9907041611185388,0.7072702044946751
307,307,307,307,11-03,7.907987790752072,0.7772482121274592,0.5224792576286253
308,308,308,308,11-04,6.978840143325717,-0.2611095315464956,0.3998805939951177
309,309,309,309,11-05,7.16556378567306,-0.052438777769726864,0.35856920796947445
310,310,310,310,11-06,7.2184191038114145,0.006629045342487777,0.42990374006466636
311,311,311,311,11-07,7.830257925103727,0.6903821385445822,0.5157363845938103
312,312,312,312,11-08,8.481984539487655,1.4187113536896907,0.4862925988828042
313,313,313,313,11-09,8.36881856062407,1.2922440793023229,0.27708702555864534
314,314,314,314,11-10,6.820758069639383,-0.43777224581253227,0.19640149974638324
315,315,315,315,11-11,6.042350514715875,-1.30767221771468,-0.014478977295920126
316,316,316,316,11-12,6.785222932569518,-0.4774841095310846,-0.2949788132287654
317,317,317,317,11-13,6.6980521877705135,-0.5749007237092381,-0.5659380335501116
318,318,318,318,11-14,6.975996275337039,-0.26428766190738096,-0.6376094689474748
319,319,319,319,11-15,6.914053339424287,-0.3335112426257548,-0.5126606123301922
320,320,320,320,11-16,6.435958056390536,-0.8678008581967119,-0.23592069335601362
321,321,321,321,11-17,6.713194086010214,-0.5579790780109842,-0.20562179210407153
322,322,322,322,11-18,8.271024408392428,1.182955404313987,-0.06916495357472346
323,323,323,323,11-19,6.860725329985852,-0.3931073161975855,0.03016531298266924
324,324,324,324,11-20,7.708625571553433,0.5544533692687075,0.16618647436358788
325,325,325,325,11-21,7.447352103086307,0.2624703567186014,0.23228927350395442
326,326,326,326,11-22,7.166248225846617,-0.051673889911200005,-0.06675311269866019
327,327,327,327,11-23,7.068096396030568,-0.16136228316878512,-0.06174116157715497
328,328,328,328,11-24,6.665482206889845,-0.6112989129017007,0.04130655463756686
329,329,329,329,11-25,6.887634221195652,-0.3630356094685541,0.10109861572131978
330,330,330,330,11-26,8.261883118926999,1.1727396665570384,0.14177830967676588
331,331,331,331,11-27,7.76837240593977,0.6212227232211189,0.30786336557666144
332,332,332,332,11-28,7.384655275827237,0.19240427382147648,0.693944731967358
333,333,333,333,11-29,7.9597979694173135,0.8351480522305884,0.9434551235309433
334,334,334,334,11-30,8.73833192838068,1.7051892854424784,0.7582053355440124
335,335,335,335,12-01,8.227241854935395,1.1340267399129584,0.9265578366124553
336,336,336,336,12-02,7.267287148070532,0.06124093863545271,0.7869006506578285
337,337,337,337,12-03,8.672247768313168,1.6313377296317768,0.4669456807116413
338,338,338,338,12-04,6.63484348947624,-0.6455388419062844,0.09305186414099638
339,339,339,339,12-05,6.2419772505810265,-1.0845817674465348,-0.20724916029538373
340,340,340,340,12-06,6.730916494709332,-0.5381736139813909,-0.27316283873643604
341,341,341,341,12-07,6.614942093655429,-0.6677794067053222,-0.4816558852176012
342,342,342,342,12-08,6.91340021673205,-0.3342411320108612,-0.26474214760909454
343,343,343,343,12-09,7.552860014971253,0.3803794507447853,-0.21047713454205672
344,344,344,344,12-10,7.799441472519858,0.6559435837447557,-0.14737594605031512
345,345,345,345,12-11,6.533323135191468,-0.7589916890443079,-0.14632441241181157
346,346,346,346,12-12,7.0697033214697935,-0.1595664830309413,0.1040109497299417
347,347,347,347,12-13,6.620587720198059,-0.6614702048743007,0.2334660363781834
348,348,348,348,12-14,8.257437072345876,1.1677710408396584,0.2189059444685165
349,349,349,349,12-15,8.247897288624161,1.1571099706342354,0.35894795438753735
350,350,350,350,12-16,7.721269136097662,0.5685830322867542,0.33924686969891754
351,351,351,351,12-17,7.285201020341468,0.08126037046981723,0.27156817723743965
352,352,352,352,12-18,6.963929276242894,-0.27777299116265985,-0.11328664933899753
353,353,353,353,12-19,6.257224525203371,-1.0675423596431683,-0.4474297444184166
354,354,354,354,12-20,6.191172575975207,-1.1413579186189646,-0.3754994602527805
355,355,355,355,12-21,6.453901302626351,-0.8477485998422792,-0.11770069518699534
356,356,356,356,12-22,8.107458894213606,1.0001647372805709,0.023294118095968337
357,357,357,357,12-23,8.669308477696786,1.6280529608645282,0.15964031349043153
