,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,hilarious,hilarious_norm,hilarious_ravg
43,43,43,43,02-13,5.616112210908579,-1.9444007565015349,-0.7784265716840292
44,44,44,44,02-14,6.957022008198104,-0.22863085562509075,-0.8839876418105731
45,45,45,45,02-15,6.025045141253304,-1.4211479509951948,-0.9868407976767689
46,46,46,46,02-16,6.772517256929,-0.4647151168006928,-0.9158644939947908
47,47,47,47,02-17,6.4640274271371325,-0.8594452960814235,-0.8087019859906616
48,48,48,48,02-18,6.684883871732321,-0.5768469879648116,-0.7872760875131991
49,49,49,49,02-19,6.118610559241133,-1.3014257084767598,-0.5275844768075282
50,50,50,50,02-20,7.05749071499667,-0.10007546476031584,-0.4830252281607041
51,51,51,51,02-21,7.242771451376543,0.13700171323883048,-0.40401738431553375
52,52,52,52,02-22,6.981461124191848,-0.19735962491974807,-0.38641802839780515
53,53,53,53,02-23,6.834505048246792,-0.3853982330104017,-0.08332968886271579
54,54,54,54,02-24,6.767409443829182,-0.47125085245844,0.07935051666927441
55,55,55,55,02-25,7.539829536398427,0.5171043287337764,0.1891706011415438
56,56,56,56,02-26,7.820318462393883,0.8760057684316254,0.21921910483133167
57,57,57,57,02-27,7.757731506799383,0.7959222200724466,-0.09732101635284984
58,58,58,58,02-28,7.122362300873914,-0.01706860278102074,-0.2466883986867544
59,59,59,59,02-29,5.350208991365506,-2.284638960115491,-0.5623388770161396
60,60,60,60,03-01,6.067007182670344,-1.3674551464618674,-0.9396756547898707
61,61,61,61,03-02,6.059705125678352,-1.3767985412425348,-1.2260523951068432
62,62,62,62,03-03,6.050939309853686,-1.3880148982107612,-1.3295987563446932
63,63,63,63,03-04,6.4148752999943435,-0.9223382218293878,-1.1708131897197445
64,64,64,64,03-05,6.636820515160379,-0.6383467702081214,-1.011520096984038
65,65,65,65,03-06,6.0947742918063215,-1.3319255603657978,-1.013865218246359
66,66,66,66,03-07,6.813952336262612,-0.4116965900476292,-0.6240353735780162
67,67,67,67,03-08,6.04870855996798,-1.3908692688164612,-0.6152582710007549
68,68,68,68,03-09,7.878900009215357,0.950964169799296,-0.46063664008354976
69,69,69,69,03-10,6.45603222726642,-0.8696756063658201,-0.3036055896745329
70,70,70,70,03-11,7.361860602402344,0.2893830152951096,-0.3200603265027163
71,71,71,71,03-12,6.831112447165812,-0.3897392579116965,-0.09964277567643824
72,72,72,72,03-13,6.736794025651867,-0.5104250110167299,-0.25782912541633723
73,73,73,73,03-14,7.0822739112888335,-0.06836396385879283,-0.19636520743103447
74,74,74,74,03-15,7.137144511387775,0.0018460713599017266,-0.19477023552463277
75,75,75,75,03-16,6.744244194724966,-0.5008920984540037,-0.5541879225211007
76,76,76,76,03-17,7.369339624343232,0.2989528467335198,-0.33650179053256873
77,77,77,77,03-18,5.145758143305426,-2.546245379890504,-0.0794972216993761
78,78,78,78,03-19,7.757551413813451,0.7956917809144616,0.005624505524364896
79,79,79,79,03-20,8.287400347370598,1.473663449140363,0.1236166702761458
80,80,80,80,03-21,7.536290893212807,0.5125764347023477,0.28998767744818904
81,81,81,81,03-22,7.297524152503371,0.2070608900566816,0.8520026410910516
82,82,82,82,03-23,8.149474000361701,1.2971788897657792,0.5249529633325433
83,83,83,83,03-24,7.7811163131406955,0.8258444019666722,0.29774619029138144
84,84,84,84,03-25,6.2239747370711305,-1.1666062856365886,-0.05930869149404696
85,85,85,85,03-26,7.221999487409817,0.11042281089339212,-0.007317212254240128
86,86,86,86,03-27,5.862016077301072,-1.6297528560102226,-0.1241129425877462
87,87,87,87,03-28,7.541318674785013,0.5190097654955226,-0.2525508950229737
88,88,88,88,03-29,7.601804272600013,0.5964045077647427,0.1431612337194903
89,89,89,89,03-30,7.178854755773728,0.05521668735530734,0.2973059189944512
90,90,90,90,03-31,8.079518199161301,1.2076664868181952,0.4715591706118238
91,91,91,91,04-01,7.944803117126327,1.0352909225431577,0.283099833997049
92,92,92,92,04-02,6.6791112793462935,-0.5842333463059871,0.19841275342983064
93,93,93,93,04-03,6.65760937065857,-0.6117462541931259,0.22227720721019575
94,94,94,94,04-04,7.204696003087567,0.08828202436143237,0.23876396757906063
95,95,95,95,04-05,7.29075815213722,0.19840341003749806,0.06864794411190855
96,96,96,96,04-06,8.156826672143195,1.3065870490313845,0.4264102670937268
97,97,97,97,04-07,7.147107893216001,0.014594781740245219,0.37062291848514456
98,98,98,98,04-08,8.356703375147697,1.5623405915849222,0.653952610294876
99,99,99,99,04-09,6.396015544088322,-0.9464703458446192,0.6082780115283497
100,100,100,100,04-10,8.533264219897834,1.7882601752198213,0.12815210055289616
101,101,101,101,04-11,7.076584269233629,-0.07564418256165945,0.06972466273845146
102,102,102,102,04-12,5.905456470472175,-1.574168416821337,-0.06941645518656225
103,103,103,103,04-13,6.873134359506523,-0.33596984514642303,-0.13291865433728048
104,104,104,104,04-14,7.704253341598925,0.7274938840348399,-0.21196634803593786
105,105,105,105,04-15,6.098245822354194,-1.3274835407489285,-0.3685159012500396
106,106,106,106,04-16,8.162599737861425,1.3139740130278768,-0.2421485602370611
107,107,107,107,04-17,6.3425039141970085,-1.01494150184627,-0.22272746585599934
108,108,108,108,04-18,6.498008672962168,-0.8159643707434664,-0.1949064211004954
109,109,109,109,04-19,6.964202290176064,-0.21944327886005247,0.01797321357753216
110,110,110,110,04-20,7.834709685882955,0.8944201525678638,-0.1519370400669563
111,111,111,111,04-21,7.096464945923276,-0.05020573268076313,0.05080129697528054
112,112,112,112,04-22,7.3658693942805264,0.294512491160946,0.30602776001840154
113,113,113,113,04-23,7.293169229938662,0.20148852040715104,0.5902802270425622
114,114,114,114,04-24,7.69479734951112,0.7153944075152597,0.42995843284582475
115,115,115,115,04-25,8.297097514908867,1.4860715232849118,0.6769855618329984
116,116,116,116,04-26,7.082940823003521,-0.06751061261256112,0.4926519771596123
117,117,117,117,04-27,8.254805923764188,1.4319570412422784,0.42239773872679587
118,118,118,118,04-28,6.5015062549162765,-0.8114890168793709,0.26914251909809966
119,119,119,119,04-29,6.963738354967992,-0.22003691018974766,0.15569664526773286
120,120,120,120,04-30,6.976164535002941,-0.2041369102569177,0.2476684937998077
121,121,121,121,05-01,7.765135681552876,0.8053962803027107,-0.008487634582506565
122,122,122,122,05-02,7.5142082769033385,0.4843204785798879,0.13160360811651836
123,123,123,123,05-03,7.053657930639438,-0.10497972905160713,0.2950509898037778
124,124,124,124,05-04,7.158411541879161,0.029058439314778695,0.39470385065426944
125,125,125,125,05-05,7.73016348691772,0.7606473799338092,0.44655113823280884
126,126,126,126,05-06,7.443449212420684,0.3937802548460321,0.44905224195508003
127,127,127,127,05-07,8.008254071174134,1.1164800057739472,0.6870795460025151
128,128,128,128,05-08,7.525936263797796,0.4993271009135153,0.8202380170940212
129,129,129,129,05-09,8.169797608308032,1.3231840952330034,0.7512351269526697
130,130,130,130,05-10,7.782808199219358,0.8280092658638151,0.7325027889802365
131,131,131,131,05-11,7.406600339955298,0.34663003908570017,0.30702346687923776
132,132,132,132,05-12,7.355610946343592,0.2813862270114321,0.28166428792451925
133,133,133,133,05-13,6.013128531585525,-1.436395926832045,0.13542346803779248
134,134,134,134,05-14,7.4070239149068495,0.3471720271852042,-0.027621431410969788
135,135,135,135,05-15,7.4840561879126914,0.4457391759126426,0.07191694282430162
136,136,136,136,05-16,7.0182703566196505,-0.1502601308287585,0.10256583922976002
137,137,137,137,05-17,7.873348175373674,0.9438602844973286,0.26520653160337604
138,138,138,138,05-18,7.499327439255135,0.4652796054441825,0.4669346901800821
139,139,139,139,05-19,6.775770996861311,-0.4605517725903489,0.6425219180068303
140,140,140,140,05-20,8.352952377994487,1.5575409786454408,0.8426789241902469
141,141,141,141,05-21,8.307406570565485,1.4992625428731323,0.656098193624437
142,142,142,142,05-22,7.956831490430369,1.0506819062717403,0.6123006213670621
143,143,143,143,05-23,6.998447889012438,-0.17562409889753106,0.9490880721026967
144,144,144,144,05-24,7.293955167457813,0.20249417189993285,0.7110503481269835
145,145,145,145,05-25,8.355009304043026,1.5601729318234592,0.3468961924618381
146,146,146,146,05-26,7.2367638399842775,0.1293146347911615,0.4074283819583684
147,147,147,147,05-27,6.599842375136981,-0.6856623911177402,0.2761383794187244
148,148,148,148,05-28,8.24067446694775,1.413875043250922,0.37549400805993094
149,149,149,149,05-29,6.382812713450794,-0.963364114135395,0.16343010495346563
150,150,150,150,05-30,7.75984608602259,0.7986279437471717,0.18804753937321603
151,151,151,151,05-31,7.360615247421586,0.2877895131846673,0.4126083191047305
152,152,152,152,06-01,7.352198056358095,0.27701924130966393,0.21623420681200356
153,153,153,153,06-02,7.652835842880463,0.6617022872713466,0.7585889385935739
154,154,154,154,06-03,7.319851793792652,0.2356303694945601,0.6849985711951351
155,155,155,155,06-04,8.925981607184445,2.2907642765540266,0.8142624768947084
156,156,156,156,06-05,7.414771686779559,0.35708573935653903,0.8857691840783084
157,157,157,157,06-06,7.9667498025268815,1.0633729473821067,1.0758260465055227
158,158,158,158,06-07,7.687501913310323,0.7060594844112638,1.2412601137745682
159,159,159,159,06-08,8.544036144531322,1.802043461834632,0.9020689822251274
160,160,160,160,06-09,8.095592741899509,1.228234773108833,1.4262227288461122
161,161,161,161,06-10,7.335472141261188,0.25561748725738165,1.5217496599301619
162,162,162,162,06-11,9.872593893956873,3.502008219082447,1.5025169036799426
163,163,163,163,06-12,8.414687481338609,1.6365345338864052,1.4861624032807335
164,164,164,164,06-13,7.597317123595944,0.5906629469099476,1.5153388682729234
165,165,165,165,06-14,8.467347855021618,1.7039164594393772,1.7828621923818784
166,166,166,166,06-15,8.232404820506266,1.403293563061972,1.3125188919628235
167,167,167,167,06-16,8.589922331060823,1.8607574319111129,1.090394248179525
168,168,168,168,06-17,7.667095571719482,0.6799484165681158,1.0876521068545926
169,169,169,169,06-18,7.373117358504571,0.30378667118661457,0.8528458930354729
170,170,170,170,06-19,7.584458881358651,0.5742100989603537,0.9253890201857707
171,171,171,171,06-20,7.366312270656778,0.29507917652465954,0.9009376971217332
172,172,172,172,06-21,8.572568579780159,1.8385523259637588,0.8815389556633892
173,173,173,173,06-22,8.475267031524991,1.7140494935268882,0.9761433988568853
174,174,174,174,06-23,7.576132456688873,0.5635559678180518,0.9584933605376477
175,175,175,175,06-24,7.8167293766912,0.8714133303475904,1.106741087133178
176,176,176,176,06-25,7.5016956531680465,0.4683098690449282,0.9040224570224683
177,177,177,177,06-26,8.061464326592606,1.1845655360978409,0.7377289048244888
178,178,178,178,06-27,7.6219956722951565,0.622240545299501,0.9125529407517944
179,179,179,179,06-28,7.6954958515278,0.7162881803390108,1.1670721534184172
180,180,180,180,06-29,8.395904137461006,1.6125001833818842,1.066277350950516
181,181,181,181,06-30,9.010201668128726,2.398528606347328,0.8089537978894507
182,182,182,182,07-01,7.0290562692645375,-0.1364589457624792,0.8154886788993035
183,183,183,183,07-02,6.854842133733258,-0.3593757822685509,0.6799788288640402
184,184,184,184,07-03,7.6526385433436275,0.6614498313586187,0.5016904950295472
185,185,185,185,07-04,7.060073285429512,-0.09677091987256976,0.10778708363776317
186,186,186,186,07-05,7.559887932284623,0.542770180374927,0.1779931189763713
187,187,187,187,07-06,7.163139506992077,0.03510813799662425,0.32511898010658924
188,188,188,188,07-07,7.358261113922224,0.2847772662691697,0.09594664058154313
189,189,189,189,07-08,7.544733622761218,0.5233793845127569,-0.016600056825935468
190,190,190,190,07-09,6.578020897306397,-0.7135842057916579,0.11496655599818432
191,191,191,191,07-10,6.532327802323025,-0.7720511043174414,0.23268275429135518
192,192,192,192,07-11,8.17682016792511,1.3321698573196457,0.310114381220438
193,193,193,193,07-12,7.715125423671322,0.7414053277556495,0.1700555332824155
194,194,194,194,07-13,7.7213476575767235,0.7493670278436666,0.38493591224683216
195,195,195,195,07-14,6.887980238867805,-0.316973703115378,0.4882517259399613
196,196,196,196,07-15,7.585621760049663,0.5756980679948425,0.20273915884439478
197,197,197,197,07-16,7.016788521882062,-0.15215622215866614,0.2659085210916554
198,198,198,198,07-17,6.8380161769977805,-0.38090554525375375,0.028127573779730575
199,199,199,199,07-18,8.011334431706539,1.1204215012392134,0.1503511411515657
200,200,200,200,07-19,6.6063631773274505,-0.6773186560278824,0.359310368102574
201,201,201,201,07-20,7.461101770600653,0.4163677011156327,0.25612756259991626
202,202,202,202,07-21,8.565457603455672,1.829453429700892,0.15070565484682905
203,203,203,203,07-22,6.532951494295819,-0.7712530551746124,-0.23876581443462755
204,204,204,204,07-23,6.343679720053791,-1.0134369917722772,-0.2686205486506898
205,205,205,205,07-24,6.185054199173683,-1.2164073144495262,-0.45362237255597565
206,206,206,206,07-25,6.466370609843862,-0.8564470613242554,-0.908587926513727
207,207,207,207,07-26,6.593605174241277,-0.6936432423160825,-0.8143847539246424
208,208,208,208,07-27,6.43206744984741,-0.9003398940456162,-0.802441588514514
209,209,209,209,07-28,6.9746819046355775,-0.20603401964010454,-0.6752723021515971
210,210,210,210,07-29,6.399682710318079,-0.9417779993115069,-0.44617371424413016
211,211,211,211,07-30,6.781366823300892,-0.4533915962720241,-0.43943456097844463
212,212,212,212,07-31,7.5406424253596676,0.5181444661205461,-0.3045461622621219
213,213,213,213,08-01,6.625205903341763,-0.6532083227219692,-0.3656422326376274
214,214,214,214,08-02,7.0645759533024,-0.09100950174767987,-0.13255221045699547
215,215,215,215,08-03,6.688194820438948,-0.5726104418931374,-0.27213801536388615
216,216,216,216,08-04,7.492670858318991,0.4567621337722846,-0.3402873758810416
217,217,217,217,08-05,6.126831597103312,-1.290906425713368,-0.25702048252481663
218,218,218,218,08-06,7.2210815851218575,0.10924830301761396,-0.419196697083065
219,219,219,219,08-07,7.0156547381214915,-0.1536069625846195,-0.29222389504421487
220,220,220,220,08-08,6.304111482358834,-1.0640667890971702,-0.3521793428983726
221,221,221,221,08-09,7.2835861050962665,0.1892263703399636,-0.118258764694483
222,222,222,222,08-10,7.211532295202383,0.09702944664733816,0.02998089767108561
223,223,223,223,08-11,7.223714325752415,0.11261704350996975,0.23174891486519597
224,224,224,224,08-12,7.916195826878905,0.9986862772110257,0.6283996260859231
225,225,225,225,08-13,7.961770103230981,1.0570011405800426,0.6470784247104645
226,226,226,226,08-14,8.164056074600634,1.3158374782271929,0.5616460855929925
227,227,227,227,08-15,7.3711733185021595,0.30129916208721125,0.5051598898589166
228,228,228,228,08-16,6.8109294155174265,-0.4155645880574941,0.20871432676163926
229,229,229,229,08-17,6.958843517961423,-0.2263001308944851,-0.0005680850695637026
230,230,230,230,08-18,6.526125655871372,-0.7799871013726386,-0.3305868253658829
231,231,231,231,08-19,6.980418805665409,-0.19869333040717527,-0.4289611724984121
232,232,232,232,08-20,6.6165570937882325,-0.6642749635507224,-0.20813792268416345
233,233,233,233,08-21,6.909883751161269,-0.28894692070796363,0.09442586775506855
234,234,234,234,08-22,7.846397139927268,0.9093749108279976,0.47596200499592084
235,235,235,235,08-23,8.377602819069724,1.589082611740907,0.47230799726475087
236,236,236,236,08-24,8.315196128030571,1.5092297220724755,0.7680457572982472
237,237,237,237,08-25,6.963284708266005,-0.22061737679419527,0.9341962343664819
238,238,238,238,08-26,8.003308288064826,1.110151596650256,0.7064065856067013
239,239,239,239,08-27,7.688984034053463,0.7079559417014445,0.4376908601871599
240,240,240,240,08-28,6.7782631031181255,-0.4573629817306861,0.30778062279827084
241,241,241,241,08-29,7.117561310997696,-0.023211740776341413,0.22606110542781085
242,242,242,242,08-30,7.706030843126157,0.7297682977391406,0.2775644257211838
243,243,243,243,08-31,6.580091712226688,-0.7109344810169552,0.10922244933784102
244,244,244,244,09-01,8.244813772240926,1.4191715184104934,0.061416673932750854
245,245,245,245,09-02,6.899607537896728,-0.3020959165986121,-0.06248338237908266
246,246,246,246,09-03,6.554095867494178,-0.7441976341612271,-0.3498756824567944
247,247,247,247,09-04,6.536578513799558,-0.7666120786473425,-0.06923719913601543
248,248,248,248,09-05,6.3584125501035675,-0.9945855027271302,-0.10934026317214834
249,249,249,249,09-06,7.896040517211829,0.9728964189077188,-0.023966806877439777
250,250,250,250,09-07,8.056765509685752,1.178553134193696,-0.1134663632302821
251,251,251,251,09-08,7.299934308691225,0.2101448211696393,-0.11258843031142274
252,252,252,252,09-09,6.134421299574707,-1.2811949722782812,0.0480679766191795
253,253,253,253,09-10,6.540695250612552,-0.7613444811341864,-0.010628168778701819
254,254,254,254,09-11,7.111750453771888,-0.030647061143516733,-0.27343471126429736
255,255,255,255,09-12,7.620806980173051,0.6207195465204309,-0.47621619423396905
256,256,256,256,09-13,6.824432896446496,-0.3982861207198774,-0.4068355336318779
257,257,257,257,09-14,6.3490666763215176,-1.0065440766483902,-0.2823466422174185
258,258,258,258,09-15,6.459755859283117,-0.8649110086657344,-0.23914559824355608
259,259,259,259,09-16,7.1244391689529705,-0.014411132647430082,-0.42069985101812996
260,260,260,260,09-17,7.314325530143481,0.22855920269965765,-0.14445180581766284
261,261,261,261,09-18,6.769476474279523,-0.4686059701270126,0.36479427852095564
262,262,262,262,09-19,8.119794390206822,1.2592021504829254,0.5027957799085915
263,263,263,263,09-20,8.736984998139038,2.0489324293833207,0.8160653917790754
264,264,264,264,09-21,7.106862088936008,-0.03690200033991981,0.7343844058172785
265,265,265,265,09-22,8.593399400283438,1.8652065385754744,1.0914585712845268
266,266,266,266,09-23,6.931313212678907,-0.2615267130711239,0.8215609288604302
267,267,267,267,09-24,8.443841713777314,1.6738390226764777,0.1752023510108814
268,268,268,268,09-25,6.854210726079316,-0.3601837040616548,0.25403112005152634
269,269,269,269,09-26,5.706129115338478,-1.829219037713972,-0.028984763910704148
270,270,270,270,09-27,7.476500005981456,0.4360706139039499,-0.039326873596016824
271,271,271,271,09-28,7.266302667558419,0.16711123480209136,-0.5321904552012361
272,272,272,272,09-29,6.8828177721378605,-0.32357937118299995,-0.7210449938976332
273,273,273,273,09-30,6.132742987902524,-1.2833424669548377,-0.4082366682137612
274,274,274,274,10-01,5.968648270165263,-1.493310936240038,-0.4329424706039304
275,275,275,275,10-02,7.1729263182815135,0.047630916389260536,-0.48018191017695594
276,276,276,276,10-03,7.360651421187116,0.28783579956293504,-0.3650755484770531
277,277,277,277,10-04,7.044791051194546,-0.11632540263606216,-0.2018281262742634
278,278,278,278,10-05,7.422565839946633,0.3670587990164173,-0.06754981617150142
279,279,279,279,10-06,6.89823048492236,-0.3038579337380998,-0.18175857585880395
280,280,280,280,10-07,6.598295992117836,-0.6876410756234664,-0.42307558386835104
281,281,281,281,10-08,6.637387218116298,-0.6376216417345545,-0.3145633308600031
282,282,282,282,10-09,6.22908591187038,-1.1600662484943476,-0.5534499050522627
283,283,283,283,10-10,7.5536185219778735,0.5347481154140252,-0.5363702047604627
284,284,284,284,10-11,6.30239693753715,-1.06626064613714,-0.1798482842890765
285,285,285,285,10-12,6.978319327060263,-0.2013797319873004,-0.35320999582727824
286,286,286,286,10-13,8.270071686041675,1.4514904472048509,-0.37144492162783466
287,287,287,287,10-14,5.824472558553697,-1.6777919109637651,-0.5895589343081067
288,288,288,288,10-15,6.143580073425528,-1.2694758032976865,-0.7384699870955469
289,289,289,289,10-16,6.5308547479553445,-0.7739359606676065,-0.10568059339537696
290,290,290,290,10-17,5.604134462462684,-1.9597269628617813,-0.2616461710100982
291,291,291,291,10-18,9.945547615189184,3.595356630213719,-0.29355380093751676
292,292,292,292,10-19,7.538729665331313,0.5156969815165234,0.2219001866616065
293,293,293,293,10-20,5.674853707368201,-1.8692376905282764,0.29415330324111766
294,294,294,294,10-21,8.560608026896046,1.823248122297053,0.5343091897732103
295,295,295,295,10-22,6.869658611538726,-0.3404172611905395,-0.2229340387349946
296,296,296,296,10-23,6.730255328540838,-0.5187916436692251,-0.2578083223800343
297,297,297,297,10-24,6.394739793514067,-0.9481027408355104,0.031881468978224005
298,298,298,298,10-25,7.375199805333652,0.30645127964628505,-0.3993675422546838
299,299,299,299,10-26,7.033245223183771,-0.13109894237872635,-0.23677412672122303
300,300,300,300,10-27,6.5384276962879415,-0.7642459451003936,-0.5029040402189177
301,301,301,301,10-28,7.632079389822159,0.6351432320102252,-0.2884422728145735
302,302,302,302,10-29,5.482339014662439,-2.115571124655393,-0.507902981259618
303,303,303,303,10-30,7.4003777345093535,0.3386678635905545,-0.49454277176424005
304,304,304,304,10-31,6.346121207123933,-1.0103129710239818,-0.32249805084435146
305,305,305,305,11-01,7.0958929096726475,-0.050937685406458905,-0.3570837657208643
306,306,306,306,11-02,7.345166822795211,0.2680223804189377,-0.1209807573772812
307,307,307,307,11-03,7.4699026647246205,0.4276289427511479,-0.14695920482020133
308,308,308,308,11-04,6.589455430082897,-0.6989530745938944,0.03792616222962462
309,309,309,309,11-05,7.278561558540344,0.18279717893303374,0.24007749869659847
310,310,310,310,11-06,7.213071722782036,0.09899923127497404,0.376379695604906
311,311,311,311,11-07,8.043805706599336,1.1619703333953841,0.32102348082299426
312,312,312,312,11-08,7.9843048020769585,1.085835561868783,0.40573230535970134
313,313,313,313,11-09,7.21033047837022,0.09549165405967767,0.2347111942162573
314,314,314,314,11-10,6.986665659776733,-0.19070012737365205,0.24691349447569935
315,315,315,315,11-11,6.476622265776987,-0.8433294879276306,-0.060279623261528505
316,316,316,316,11-12,7.270289828632928,0.17221303283162648,-0.13540760127959114
317,317,317,317,11-13,6.603338913155709,-0.6811883730279831,-0.15072949418403125
318,318,318,318,11-14,7.6320203551117345,0.6350676937604071,-0.15050995930898645
319,319,319,319,11-15,7.138484214026418,0.00356029663303704,-0.33057247524586986
320,320,320,320,11-16,6.987695086151367,-0.1893829181233833,-0.3389796522151866
321,321,321,321,11-17,5.632286699728067,-1.9237045835489308,-0.19260445722090067
322,322,322,322,11-18,7.230867528614921,0.12176997101572624,-0.3903063119197003
323,323,323,323,11-19,7.2897104351683355,0.1970627969377325,-0.3716020616640414
324,324,324,324,11-20,6.704971732429242,-0.5511434344323906,-0.37791414386983746
325,325,325,325,11-21,7.2261907733009085,0.11578579816698994,0.02536320410035775
326,326,326,326,11-22,6.958096946447233,-0.2272554113581597,0.14717588198972087
327,327,327,327,11-23,7.523304417110604,0.4959595042722405,0.16979577218517683
328,328,328,328,11-24,7.802062348383527,0.852646038351905,0.4816256542841793
329,329,329,329,11-25,7.395777917857733,0.3327821381104682,0.3980709899558079
330,330,330,330,11-26,8.167180891526622,1.3198358581616243,0.4035792440778047
331,331,331,331,11-27,6.834392544587656,-0.3855421878032384,0.3210646357739783
332,332,332,332,11-28,6.983925836140562,-0.19420588662617905,0.47893942297247466
333,333,333,333,11-29,7.1363831406471725,0.0008718544492819312,0.5542301935870521
334,334,334,334,11-30,8.542356890645838,1.7998947615428829,0.43764606263001
335,335,335,335,12-01,7.74882571958567,0.7845267617979329,0.6768955221245673
336,336,336,336,12-02,7.620503379598267,0.6203310724193717,0.7958532382861313
337,337,337,337,12-03,7.956263061381077,1.0499545691641057,0.8318277751287968
338,338,338,338,12-04,7.541733384749778,0.5195404103432045,0.6505779864492266
339,339,339,339,12-05,7.305072224937468,0.21671907550527536,0.8098498032730285
340,340,340,340,12-06,7.692454054818226,0.7123960294654625,0.5068496666069188
341,341,341,341,12-07,8.495671107776863,1.740157662740744,0.3783851199678779
342,342,342,342,12-08,6.199697996680281,-1.1976697475772868,0.19129920316234536
343,343,343,343,12-09,7.353876800479819,0.2791672893298601,0.05840533213455301
344,344,344,344,12-10,6.664464217183827,-0.6029750904899907,-0.008311138254693947
345,345,345,345,12-11,6.681916310254955,-0.5806441506614787,-0.2765273897980995
346,346,346,346,12-12,7.379612214872836,0.31209720712998085,-0.03940090437789386
347,347,347,347,12-13,7.2379716949251485,0.13086015348031074,-0.1533173650723134
348,348,348,348,12-14,7.311613623598657,0.22508916494394696,-0.09111930807645814
349,349,349,349,12-15,6.819708326701372,-0.40433147483665705,0.03350881169400669
350,350,350,350,12-16,6.956118653908162,-0.2297867485148591,-0.120430648460918
351,351,351,351,12-17,7.266313087699146,0.1671245679613104,0.08044988555698412
352,352,352,352,12-18,6.657770911307281,-0.6115395537995673,0.0957324698008314
353,353,353,353,12-19,8.179925540875338,1.3361433575877235,0.24894693314726637
354,354,354,354,12-20,7.383275564736603,0.3167846704070306,0.19767289483722894
355,355,355,355,12-21,7.538150029925375,0.5149553052419529,0.3845267309200029
356,356,356,356,12-22,6.715688301511585,-0.5374309783750837,0.6153740836456384
