,unnamed: 0,unnamed: 0,mth_day,short,short_norm,short_ravg
28,28,28,01-29,1.419932351053825,2.1605868716266348,-0.08757185871464505
29,29,29,01-30,1.0884951767779667,0.8053248049961094,-0.21941538944821062
30,30,30,01-31,0.6874928314777519,-0.8343924910574906,-0.08223090985888741
31,31,31,02-01,0.7293172925407364,-0.6633703187264218,0.15092828385971496
32,32,32,02-02,0.7037479513390693,-0.7679245476690998,-0.23198559240645367
33,33,33,02-03,0.9417667403975352,0.20534538398855648,-0.13282233290279907
34,34,34,02-04,0.8580695367737572,-0.13689638597037707,0.01828129239587173
35,35,35,02-05,1.2340008675123997,1.4003043620180369,0.16048259689571687
36,36,36,02-06,0.9092124228022964,0.07222926073453427,0.17488001713030477
37,37,37,02-07,0.9379741997274637,0.18983750827264895,0.12653055632083263
38,38,38,02-08,0.7248737855090364,-0.6815400262615724,0.04171456726676719
39,39,39,02-09,0.8708218992645109,-0.08475138086827633,-0.3908180995753147
40,40,40,02-10,0.7336160936900203,-0.6457923202947697,-0.518837254690598
41,41,41,02-11,0.5993306804987907,-1.1948916390344542,-0.62884826679374
42,42,42,02-12,0.7213654753993489,-0.6958856699571657,-0.6266562681539155
43,43,43,02-13,0.7765512252852832,-0.4702285643462028,-0.5933458103162021
44,44,44,02-14,0.7280901811557007,-0.6683880344226255,-0.630576619435138
45,45,45,02-15,0.919699489620222,0.11511136615800373,-0.5886017728377938
46,46,46,02-16,0.6789860358987783,-0.8691771750083848,-0.749467371580669
47,47,47,02-17,0.660921829057127,-0.943042559450388,-0.7034839913768091
48,48,48,02-18,0.4853218017882817,-1.6610792624144173,-0.6353781574307956
49,49,49,02-19,0.8440242342641792,-0.19432828312304387,-0.5769611516345924
50,50,50,02-20,0.8280242339587358,-0.2597530307465443,-0.1900552837860435
51,51,51,02-21,1.0054167887646763,0.4656134009352231,0.0027957897097319697
52,52,52,02-22,1.2467064379135344,1.4522580320829088,0.5485262278100356
53,53,53,02-23,0.9438988993786764,0.2140638815242648,0.6008778840185278
54,54,54,02-24,1.2860910055039274,1.6133033661874046,0.5947751660120636
55,55,55,02-25,0.9208416355460268,0.11978165412790988,0.42671107336638464
56,56,56,02-26,0.8190695041189476,-0.2963693387853295,0.30071983021915766
57,57,57,02-27,0.7588105153276478,-0.5427711549388509,0.25472359569398867
58,58,58,02-28,1.0618351160914483,0.6963105731995468,-0.04031283855510559
59,59,59,02-29,0.8764070288081953,-0.06191352562674904,-0.3002409720719417
60,60,60,03-01,0.8531738104448394,-0.15691523930716114,-0.4189039885970869
61,61,61,03-02,0.5394400680906398,-1.439787146973107,-0.35707578583386773
62,62,62,03-03,0.644951143442367,-1.0083474379362003,-0.6469251182877597
63,63,63,03-04,0.8495331821193665,-0.1718019383595357,-0.6928366445036849
64,64,64,03-05,0.6365291354417951,-1.0427854215238046,-0.8254880742982466
65,65,65,03-06,0.8090394536784767,-0.33738268292230045,-0.8598566864454501
66,66,66,03-07,0.6585297657071159,-0.9528238180745308,-0.9043192180566448
67,67,67,03-08,0.4890098112082671,-1.6459988198563291,-0.990892095320989
68,68,68,03-09,0.5797097283631257,-1.2751226276033691,-0.8763231574229376
69,69,69,03-10,0.722501796016619,-0.6912392019456005,-0.7554366915954284
70,70,70,03-11,0.804640112521486,-0.3553717941354967,-0.8002193675973777
71,71,71,03-12,0.9864203586499184,0.3879361120427554,-0.7093906639603311
72,72,72,03-13,0.5928185916572166,-1.2215198740862276,-0.4092099469229929
73,73,73,03-14,0.6222859189862137,-1.1010265980340501,-0.4877901474988496
74,74,74,03-15,1.0201753080173075,0.5259616746206599,-0.604477061962876
75,75,75,03-16,0.6071983416921983,-1.1627204054007405,-0.8049600671668293
76,76,76,03-17,0.6334213549519838,-1.0554932809196556,-0.8305853971051075
77,77,77,03-18,0.6922446901742261,-0.8149619191809642,-0.6730637771632114
78,78,78,03-19,0.5552176560725056,-1.375271853715896,-0.92787153892943
79,79,79,03-20,0.8534228564969025,-0.15589687838267327,-0.5671191015946491
80,80,80,03-21,0.6462870396620092,-1.0028848959766519,-0.26071899981954255
81,81,81,03-22,1.136542907827532,1.0017942186079445,-0.22927893315888195
82,82,82,03-23,1.0830128535880728,0.7829073297309839,-0.12234075714127102
83,83,83,03-24,0.7383777906702564,-0.6263215192170007,-0.014140953862404987
84,84,84,03-25,0.712131751526875,-0.7336427976102303,0.21805398850813304
85,85,85,03-26,1.0121881813987221,0.4933019412905229,0.05278712135151298
86,86,86,03-27,0.9869947336585124,0.39028475824657616,-0.1383783385620547
87,87,87,03-28,0.8940411003889258,0.010193015668224158,-0.047027240076458476
88,88,88,03-29,0.8025091425511831,-0.3640854297504221,0.08343588234946651
89,89,89,03-30,0.872420426531838,-0.07821492830342353,-0.20830055202183792
90,90,90,03-31,0.9035648169482018,0.04913593694531957,-0.4069399798174958
91,91,91,04-01,0.5841131906403476,-1.2571166649373036,-0.5668334604271519
92,92,92,04-02,0.6955242102694086,-0.8015518085273714,-0.7725602717775342
93,93,93,04-03,0.6594238494384036,-0.9491678679897124,-0.5568819631544856
94,94,94,04-04,0.5006390554043748,-1.598446297852716,-0.6299381931151812
95,95,95,04-05,1.1888926908534272,1.2158549234348683,-0.32058100206216106
96,96,96,04-06,0.7963668763390306,-0.38920144281885416,-0.013909327439136162
97,97,97,04-07,1.0380437289580673,0.5990264813808174,0.2742042996927118
98,98,98,04-08,1.1455141971663605,1.038478239210778,0.5506228552789898
99,99,99,04-09,1.0821829694558072,0.7795138948013753,0.275220523998221
100,100,100,04-10,0.9062375912301698,0.060065035664951937,0.14566841849288867
101,101,101,04-11,0.7847852962048621,-0.43655906424974456,0.004853298119568694
102,102,102,04-12,0.6062705776493047,-1.166514075850848,-0.32611498175989245
103,103,103,04-13,0.8314208178281933,-0.2458642408591024,-0.47117617744537105
104,104,104,04-14,0.659872958505046,-0.9473314400659888,-0.5599185609732037
105,105,105,04-15,0.8693296447201428,-0.09085327931149624,-0.6860810853649092
106,106,106,04-16,0.7760228133248371,-0.472389265502044,-0.5957217310803345
107,107,107,04-17,0.5996626474708489,-1.193534210599977,-0.5197828160849337
108,108,108,04-18,0.7388579928402085,-0.6243579501434001,-0.4338560143955336
109,109,109,04-19,0.9428486221917841,0.20976924911330244,-0.2510212189087028
110,110,110,04-20,0.7859563355037219,-0.4317706299295879,-0.3527942986886799
111,111,111,04-21,1.1376094828452668,1.0061554936094883,-0.2537965738342572
112,112,112,04-22,0.6266876427618892,-1.0830277441819065,-0.10692144463791721
113,113,113,04-23,0.7449254434719147,-0.5995478614734406,-0.025250300980222653
114,114,114,04-24,0.9543729651433821,0.2568928250346397,-0.0820226531907629
115,115,115,04-25,1.0626875245278449,0.6997961110594698,-0.3618991715733473
116,116,116,04-26,0.702652293620057,-0.7724047431928295,-0.37396021258038276
117,117,117,04-27,0.7269369582485401,-0.6731036166860178,-0.45375629869700845
118,118,118,04-28,0.608990058883655,-1.1553939902241197,-0.33897615005676235
119,119,119,04-29,0.6278378781133355,-1.0783243781731944,-0.2697998857122242
120,120,120,04-30,1.1227938590721904,0.9455737168761164,0.03367685198594985
121,121,121,05-01,1.1641922569888508,1.114853697126699,0.13614383614883951
122,122,122,05-02,1.147954238731873,1.0484556829962148,0.27946319479110654
123,123,123,05-03,0.8772903187847172,-0.05830171170867985,0.5968880171713913
124,124,124,05-04,0.8192875256998848,-0.2954778383705176,0.43811311762791244
125,125,125,05-05,1.0936063317511049,0.8262245561085141,0.18986444071383246
126,126,126,05-06,0.8898179409246766,-0.007075680384756759,-0.011078732525603577
127,127,127,05-07,0.7999283613777848,-0.37463836435778103,-0.008663433792097459
128,128,128,05-08,0.8531033497340641,-0.15720335644040145,0.11256838796668002
129,129,129,05-09,0.8808343704053263,-0.043809919307643136,0.07158673752759331
130,130,130,05-10,0.9971751834099916,0.4319130921821473,-0.017108500433772923
131,131,131,05-11,1.0334725343706683,0.5803346534739937,0.005091555924720233
132,132,132,05-12,0.7596723413445431,-0.5392471081529542,0.16651308392611164
133,133,133,05-13,0.8325032742129851,-0.2414380262068221,0.2659184919537138
134,134,134,05-14,1.0899627576318496,0.8113258115679469,-0.044085515385647284
135,135,135,05-15,1.0266953740693028,0.5526225288579701,-0.18401639181008952
136,136,136,05-16,0.5422955491166715,-1.4281109518540194,0.26447984625092835
137,137,137,05-17,0.8281471050622191,-0.2592506050726597,0.16419820408206995
138,138,138,05-18,1.417766430198672,2.151730320213153,-0.06625270761063379
139,139,139,05-19,0.6853565417961747,-0.8431278792199725,-0.20684173939388306
140,140,140,05-20,0.7518141403509615,-0.5713796585882756,0.26234312000526666
141,141,141,05-21,0.8204042105708608,-0.2909116618415255,0.3318037984972722
142,142,142,05-22,1.230746769767553,1.386998204540879,0.00598786652244554
143,143,143,05-23,0.9300691682683924,0.1575134658793736,0.05584938694390621
144,144,144,05-24,0.9396854103575178,0.19683472836419275,0.3158066042902083
145,145,145,05-25,0.7585200804526091,-0.5439587566912084,0.3917201602172356
146,146,146,05-26,1.1332583835182688,0.9883636454895368,0.17549552114133093
147,147,147,05-27,0.9317948046936976,0.16456967372063866,0.027760845267440482
148,148,148,05-28,0.913472855819782,0.08965037008545099,0.08068197395943091
149,149,149,05-29,0.7132929533067838,-0.7288945893639691,0.09223155213201328
150,150,150,05-30,1.017338418369927,0.5143615005161353,0.10213896273725764
151,151,151,05-31,0.7754671771707338,-0.4746612876557142,0.39005172051339
152,152,152,06-01,1.1477958707965343,1.047808109121003,0.7095162036216225
153,153,153,06-02,1.3542591821371166,1.8920462203774329,0.863129680446104
154,154,154,06-03,1.3822341744013766,2.006437268734846,0.7091967859743411
155,155,155,06-04,0.9386953368442092,0.19278627158292025,0.6733025426069826
156,156,156,06-05,0.7914673422377535,-0.40923586631444203,0.6790281040170935
157,157,157,06-06,0.722798308673477,-0.6900267478598646,0.20553857265374056
158,158,158,06-07,1.1561971856785838,1.0821614775816677,-0.1717446506366637
159,159,159,06-08,0.6594915669801283,-0.9488909678026846,-0.4430183013261815
160,160,160,06-09,0.8286334125651805,-0.2572620710075797,-0.2458199150241502
161,161,161,06-10,0.5406460984549156,-1.4348556325541868,-0.23816150343075412
162,162,162,06-11,1.0808233754522036,0.7739544514977457,-0.23017460917567678
163,163,163,06-12,0.7340357616818124,-0.6440762782994883,0.04827532448969313
164,164,164,06-13,1.1679166326917698,1.1300828431121317,0.1371958200662695
165,165,165,06-14,1.0680708143317497,0.7218086341895349,0.7537844349520834
166,166,166,06-15,0.9591095404585058,0.27626090245187856,0.7773209106382654
167,167,167,06-16,1.4453879631032958,2.2646760567606967,1.2520399913825597
168,168,168,06-17,1.115359262728538,0.915173305614838,1.739414967851695
169,169,169,06-18,1.4306075372996554,2.204238206166277,1.5710350128113564
170,170,170,06-19,1.8830588431513409,4.054332701926944,1.5844936427509682
171,171,171,06-20,0.8210010650454798,-0.28847109605249743,1.2391329418485475
172,172,172,06-21,0.9788578550611556,0.3570126820895505,1.4420636295167526
173,173,173,06-22,0.9386282257886644,0.19251185134617368,1.1437520987666911
174,174,174,06-23,1.413126500596384,2.132757431624068,1.4089457706711581
175,175,175,06-24,0.992884679528587,0.41436902166590905,1.653905985391419
176,176,176,06-25,2.2721867177492703,5.645494733353745,1.9228971041750826
177,177,177,06-26,1.180439685999776,1.1812901922690686,1.9882867223658403
178,178,178,06-27,1.3735578552018568,1.970959394791531,1.8756104260733235
179,179,179,06-28,1.0345766809859889,0.5848495604907195,2.1089439788401516
180,180,180,06-29,1.2477926622019728,1.4566996538689674,1.382829668747868
181,181,181,06-30,1.3352630960590086,1.8143703382668752,1.0356698705762348
182,182,182,07-01,1.2067340009772871,1.2888088728000449,0.5751144789437369
183,183,183,07-02,0.671040070849689,-0.9016685967607306,0.3881353315501182
184,184,184,07-03,0.697768951969161,-0.7923729550034571,0.16437559668479484
185,185,185,07-04,0.7602156915366536,-0.5370253238709929,0.002829549520763234
186,186,186,07-05,0.9194622408029812,0.11414124467702715,-0.29491203791167936
187,187,187,07-06,1.0982209768741968,0.8450940552826857,-0.34295026354776964
188,188,188,07-07,0.7698474408080188,-0.4976406517946105,-0.27494652299123135
189,189,189,07-08,0.6005519158836025,-1.189897950577272,-0.03587313589866945
190,190,190,07-09,0.7975531996001055,-0.3843505116642273,0.12737525311729278
191,191,191,07-10,1.1110163660933594,0.8974149986843785,0.4193964655491483
192,192,192,07-11,1.159002265242936,1.0936315787728006,0.4313751201141522
193,193,193,07-12,1.526713832360031,2.5972213298738187,0.45139034374452597
194,194,194,07-13,0.7874241362017984,-0.4257687244045873,0.43433566509845334
195,195,195,07-14,0.6299209478629754,-1.069806608795029,0.4982595389517299
196,196,196,07-15,0.7725282779802274,-0.4866785835406634,0.27841661437455745
197,197,197,07-16,1.2048140837762775,1.2809582418040375,-0.04459770614296218
198,198,198,07-17,0.8364191154575015,-0.2254259686902341,0.2648140208814875
199,199,199,07-18,1.052743714200663,0.6591354067687011,0.3812676302352554
200,200,200,07-19,1.2414346970422996,1.4307016377421105,0.5607257715285642
201,201,201,07-20,0.8007973687506263,-0.3710849526724213,0.6287159446483886
202,202,202,07-21,1.0358534342679553,0.5900702642191891,0.6926833216418253
203,203,203,07-22,1.304578423436665,1.6888992805229843,0.7566993833622694
204,204,204,07-23,0.9302806668071408,0.1583782932703862,0.5408297539605967
205,205,205,07-24,1.1466767023391584,1.043231777091366,0.5828432590728866
206,206,206,07-25,0.9246817011051416,0.1354838613320747,0.44155448706388584
207,207,207,07-26,0.8624452422890418,-0.11900392199868184,0.1105174569520152
208,208,208,07-27,0.8285355176616357,-0.25766236783481594,-0.057484698348320706
209,209,209,07-28,0.8188363051743278,-0.2973229001482395,-0.24840458492895112
210,210,210,07-29,0.6837652761855977,-0.8496346385316292,-0.2908291500676075
211,211,211,07-30,0.8665333295728525,-0.10228754239241664,-0.16257907124682178
212,212,212,07-31,0.862430664929988,-0.11906352949986365,0.03857807218600056
213,213,213,08-01,1.0506310320560288,0.6504965509260329,0.13941260142754905
214,214,214,08-02,1.1237003725470232,0.949280492762118,0.3038003144691863
215,215,215,08-03,0.9667943079730577,0.3076842753010516,0.38880699237972066
216,216,216,08-04,0.9249770702926244,0.13669163971819445,0.33219521292284
217,217,217,08-05,0.991266577030858,0.4077525250707893,0.14155486016248894
218,218,218,08-06,0.7793622370181843,-0.4587342062411479,0.0297907085624536
219,219,219,08-07,0.7708978289615043,-0.4933455656360733,0.09909075920112792
220,220,220,08-08,0.9597049557030288,0.278695583161906,0.049983079979836254
221,221,221,08-09,1.06848067635771,0.7234845791330975,-0.08179190724857574
222,222,222,08-10,0.8529196689806429,-0.1579544356095556,-0.1548712372317986
223,223,223,08-11,0.7979085668750449,-0.38289739829968267,-0.07438879550128788
224,224,224,08-12,0.6721304009445979,-0.897210186140485,0.07182551280666283
225,225,225,08-13,0.8889925077226449,-0.010450915253009004,0.19767812597458712
226,226,226,08-14,1.1742502825921841,1.1559814330096103,0.4809479887693288
227,227,227,08-15,1.2531485816019636,1.4786002581406432,0.3309285052594893
228,228,228,08-16,1.2685713655515678,1.5416647411588942,0.30490546000525853
229,229,229,08-17,0.5777797744071289,-1.2830142993587197,0.3327550843215137
230,230,230,08-18,0.6339458838796792,-1.0533484576658696,0.031010227298062687
231,231,231,08-19,0.9298572276109804,0.15664683064452195,-0.1392584093424681
232,232,232,08-20,0.7314895860749235,-0.6544877091310956,-0.38802266932617374
233,233,233,08-21,1.0033075042836292,0.4569884382974585,-0.27821710506277064
234,234,234,08-22,0.9035509370163892,0.04907918125666035,-0.1676035150657399
235,235,235,08-23,0.7389012881068859,-0.6241809137783008,0.022332608478839767
236,236,236,08-24,0.7962530417695443,-0.3896669176836852,0.18436891738236905
237,237,237,08-25,1.208557090746844,1.296263571912,0.27334803112851985
238,238,238,08-26,0.9692510833177312,0.3177301442900801,0.16138234021129388
239,239,239,08-27,1.1338696446506893,0.9908631207743632,0.2681562128279671
240,240,240,08-28,0.7392597945406963,-0.6227149642466956,0.24874321033422073
241,241,241,08-29,0.8955742954812232,0.01646232192173861,0.1311247254765522
242,242,242,08-30,0.7677676697555502,-0.5061449326461632,-0.013540800003898651
243,243,243,08-31,1.0359714076217168,0.5905526627659891,-0.29121459749956435
244,244,244,09-01,0.7569783392000677,-0.5502630085926251,-0.2827333269902064
245,245,245,09-02,0.7264292488257529,-0.6751796641996309,-0.5743658795747023
246,246,246,09-03,0.7517046569821555,-0.5718273411905481,-0.3524796527705478
247,247,247,09-04,0.4676517340723878,-1.7333329935852362,-0.4759348635935771
248,248,248,09-05,1.09334902778267,0.8251724281787636,-0.4890515045451527
249,249,249,09-06,0.854821294006221,-0.15017860217218662,0.026297722534390573
250,250,250,09-07,0.7377318369034764,-0.6289628543020791,0.024561517356177936
251,251,251,09-08,1.4826190476584704,2.416915698277629,0.3295782413173221
252,252,252,09-09,0.7491570628936088,-0.582244572259824,0.3230883353457629
253,253,253,09-10,0.9152133544514004,0.09676735018162898,0.32650270687676197
254,254,254,09-11,1.0838261636097912,0.7862329923494085,0.6297091103778566
255,255,255,09-12,0.8598313198013461,-0.12969237298619254,0.31100269345389275
256,256,256,09-13,1.1826371112697756,1.1902755667044882,0.5975385921415893
257,257,257,09-14,1.0149700658870666,0.5046771967338461,0.42771497751900367
258,258,258,09-15,1.1696011272320574,1.1369708198663562,0.3204762753968007
259,259,259,09-16,0.6660252733782199,-0.9221743375538856,0.22992628143002838
260,260,260,09-17,0.9264710957766268,0.14280077961619045,0.41507107591917364
261,261,261,09-18,0.7269641723912877,-0.6729923367868262,0.5037448062094461
262,262,262,09-19,1.4543064910669865,2.3011443336393596,0.28482372198106237
263,263,263,09-20,1.1450841065152833,1.0367195784754806,0.320630387468419
264,264,264,09-21,0.8483706257698904,-0.17655568550394618,0.3796711617364686
265,265,265,09-22,0.7185656358139929,-0.7073343446297459,0.6112868551508207
266,266,266,09-23,1.0131036720389237,0.4970454252244881,0.13406259482255858
267,267,267,09-24,1.0668219142997002,0.7167018236992864,-0.09279128970771718
268,268,268,09-25,0.7540587785386026,-0.562201228330213,-0.09350324622085332
269,269,269,09-26,0.8122135319740079,-0.324403728706174,-0.1467331467036844
270,270,270,09-27,0.8473259472797392,-0.18082742458276296,-0.4266772618260705
271,271,271,09-28,0.6404595562413058,-1.0267137475267325,-0.4918475233715475
272,272,272,09-29,0.6023319604008929,-1.1826192655098284,-0.6580928505007424
273,273,273,09-30,0.9711953287176802,0.3256802544264246,-0.8540481251368764
274,274,274,10-01,0.5101212428385604,-1.5596731911053827,-0.9810446116356907
275,275,275,10-02,0.5246815596316166,-1.5001353765229777,-0.8223692524124925
276,276,276,10-03,0.6609795970150524,-0.942806343575648,-0.675951421760462
277,277,277,10-04,0.8732894154237262,-0.07466159218754455,-0.9373133995465124
278,278,278,10-05,0.8171759226858941,-0.3041122815976451,-0.9294225044543541
279,279,279,10-06,0.587689831824698,-1.2424916122898777,-0.6667316939971881
280,280,280,10-07,0.5216998269496961,-1.512327820552433,-0.5187518609110043
281,281,281,10-08,0.910136898801355,0.0760094862200187,-0.6408694961293271
282,282,282,10-09,0.8781155396589881,-0.054927345058545886,-0.5261341711596469
283,283,283,10-10,0.6941019728947448,-0.8073674034974808,-0.3571089160752888
284,284,284,10-11,0.9855310452879066,0.3842996682204361,-0.05266393026350783
285,285,285,10-12,0.8357064522516098,-0.22834008178372925,-0.3670007157616049
286,286,286,10-13,0.9684225161080257,0.3143420943182527,-0.600644498829001
287,287,287,10-14,0.4488996288076606,-1.8100112267685635,-0.5590962222946998
288,288,288,10-15,0.5352819114463679,-1.456790043462922,-0.8194831941489006
289,289,289,10-16,0.7550672004014699,-0.5580777442916737,-0.8116625806022911
290,290,290,10-17,0.6034562084225802,-1.1780221629047691,-0.7919631418841683
291,291,291,10-18,0.8471819098128304,-0.1814164005040717,-0.5999955609502902
292,292,292,10-19,0.9973281859307834,0.4325387266269897,-0.24205817164286123
293,293,293,10-20,0.7305803198439679,-0.6582057411652954,-0.20079003824653618
294,294,294,10-21,1.060495859954562,0.6908342923816518,0.6557574136966742
295,295,295,10-22,0.8156213641634196,-0.3104689439137233,0.9032656140180017
296,296,296,10-23,1.8602979990781416,3.961262548754493,0.9528347319130059
297,297,297,10-24,1.2103592784315365,1.3036328014238934,1.1948476658910487
298,298,298,10-25,1.0700626722164357,0.7299534339970154,1.0164388578650627
299,299,299,10-26,1.0856942935213263,0.7938718627029617,1.3039845549176057
300,300,300,10-27,0.7987104267723135,-0.3796185557742634,0.5153627811691764
301,301,301,10-28,1.2375471406734415,1.4148052384015348,0.39833700666601013
302,302,302,10-29,0.7031259124420629,-0.7704680937360828,0.41054289317572573
303,303,303,10-30,1.0386432997712378,0.6014781544048956,0.10797918916548484
304,304,304,10-31,1.087972792925576,0.8031887530553088,0.06062110591280959
305,305,305,11-01,0.6417320744137934,-1.0215103613584835,-0.30856122038853756
306,306,306,11-02,0.7292202683201771,-0.6637670552903149,-0.0982934515992961
307,307,307,11-03,0.6958331060168599,-0.8002887194065482,-0.268794922013265
308,308,308,11-04,1.0116591039689014,0.4911385189993659,-0.36408369079039876
309,309,309,11-05,0.7884605773799199,-0.4215306680789174,0.049422906718840455
310,310,310,11-06,0.9481522768438156,0.2314561403925061,0.17813513633832403
311,311,311,11-07,1.2484846498634699,1.4595292236969517,0.4753763174823518
312,312,312,11-08,0.9180841879865296,0.10850632242658677,0.5876159871474206
313,313,313,11-09,1.1319854026795824,0.9831583674576186,0.6636786208010085
314,314,314,11-10,1.1763522649658786,1.1645765369897787,0.612647599796779
315,315,315,11-11,0.9000699184225824,0.03484513384260962,0.48098396687444067
316,316,316,11-12,0.8732726894112331,-0.07472998563287041,0.4372529113517507
317,317,317,11-13,1.055290033743942,0.6695474261629213,0.10008517882675773
318,318,318,11-14,0.8539160931475299,-0.1538800107095529,-0.02702568230336037
319,319,319,11-15,0.6372474920867626,-1.0398480276923392,-0.3149533087391709
320,320,320,11-16,0.9898380888369184,0.4019113702090701,-0.2806844245311894
321,321,321,11-17,0.4775837236790103,-1.6927206247722533,-0.46018356768691043
322,322,322,11-18,0.9235566120287312,0.13088331961501828,-0.5804874806151609
323,323,323,11-19,0.7919047140011041,-0.4074474327714051,-0.5758279184390446
324,324,324,11-20,0.6773899882544671,-0.8757034882790554,-0.48951719674225164
325,325,325,11-21,0.6440846293122776,-1.011890654635641,-0.08625760676871859
326,326,326,11-22,1.11648480498098,0.9197757003898273,-0.1608236364378278
327,327,327,11-23,1.0693005094934245,0.7268369150689449,-0.16386224786969314
328,328,328,11-24,0.8141432899310636,-0.3165128583996369,0.07945150849663297
329,329,329,11-25,0.7874460540349014,-0.42567910136259707,0.21813309762786492
330,330,330,11-26,1.034412703748879,0.5841790499189012,-0.03548781539819338
331,331,331,11-27,0.8475769360364738,-0.17980111984824934,-0.1705970867995139
332,332,332,11-28,0.7443380409549938,-0.6019497777665226,-0.012377109079527224
333,333,333,11-29,0.8710499885013165,-0.08381871333897838,0.14908175804604765
334,334,334,11-30,1.0463049520362186,0.6328070079202832,0.012639092831822038
335,335,335,12-01,1.02436025092493,0.5430741013908521,0.29604055516003375
336,336,336,12-02,0.8342056477584372,-0.2344769413664523,0.3367840763189697
337,337,337,12-03,1.2634217331681683,1.520607654121021,0.30037128922629247
338,338,338,12-04,0.8041224229817411,-0.3574886508129067,0.14360385714400817
339,339,339,12-05,0.8176202428071405,-0.3022954358950418,-0.24541996841018898
340,340,340,12-06,0.8162746605354091,-0.30779758457342243,-0.1658945510275639
341,341,341,12-07,0.4535320960947744,-1.791068851934331,-0.5031329716904515
342,342,342,12-08,0.95089605149387,0.24267556292929826,-0.5209065385205538
343,343,343,12-09,0.7685800994183793,-0.5028228698563045,-0.6649179907950066
344,344,344,12-10,0.7780426517905437,-0.4641300517935206,-0.5602239771328829
345,345,345,12-11,0.6063072429950395,-1.1663641495417587,-0.24377225340186245
346,346,346,12-12,0.9698958187135148,0.3203664973993203,-0.2975026211105887
347,347,347,12-13,0.9178726883267906,0.10764149045179117,0.08525547814100126
348,348,348,12-14,0.8720556189989583,-0.0797066433230593,0.14256569441832642
349,349,349,12-15,1.3302143366809085,1.7937257256532353,0.38744759692331404
350,350,350,12-16,0.8621359202784015,-0.12026875412956972,0.19846109888378147
351,351,351,12-17,0.9656309537191422,0.3029272654881674,0.35608613189074284
352,352,352,12-18,0.6925893740245895,-0.8135524908378752,0.3670782637135453
353,353,353,12-19,1.149161367415344,1.0533916884935592,0.04210560318654925
354,354,354,12-20,0.8881847553497242,-0.013753852386244202,-0.19385194872776912
355,355,355,12-21,0.8533706782890186,-0.15611023750874106,0.12006803442988356
356,356,356,12-22,0.5159072187699218,-1.53601406561548,0.7036386042473374
357,357,357,12-23,1.426256635179446,2.1864471644340835,0.7391204726110353
358,358,358,12-24,1.5488827157177991,2.687870928066848,0.6985147532498971
359,359,359,12-25,1.2012251437640613,1.2662828986757464,0.8613451575009491
360,360,360,12-26,0.8286025746813567,-0.2573881685530736,1.0273006870898322
361,361,361,12-27,1.0922973791831443,0.8208721879975706,0.4950433309396594
362,362,362,12-28,0.759419524485721,-0.5402808880821816,-0.2350768736017219
363,363,363,12-29,0.6452569520028378,-1.007096972466953,
364,364,364,12-30,0.4775520110524895,-1.6928502991814398,
365,365,365,12-31,,,
