,unnamed: 0,unnamed: 0,mth_day,mental illness,mental illness_norm,mental illness_ravg
58,58,58,02-28,4.8957672883980745,-1.2255446010711968,-0.13025776450139226
59,59,59,02-29,5.8689542647764465,0.10023841795309826,-0.13005177491733252
60,60,60,03-01,6.139698887693871,0.4690767113834671,-0.20324666412219275
61,61,61,03-02,5.338428052712897,-0.6225031108316742,-0.4852081257732422
62,62,62,03-03,5.639112150084362,-0.2128779513692577,-0.33467481292385637
63,63,63,03-04,4.753293459638607,-1.4196382207038911,-0.4357453237850393
64,64,64,03-05,5.558758399947807,-0.3223447239748818,-0.36666267506600186
65,65,65,03-06,5.4238112657128426,-0.5061846472139991,-0.5690609945079717
66,66,66,03-07,6.443958331640741,0.8835726036976916,-0.6007716194334884
67,67,67,03-08,4.447008842953725,-1.8368930274834927,-0.5517278183113982
68,68,68,03-09,5.499449625760993,-0.40314170092235857,-0.5209714383310633
69,69,69,03-10,4.969296174287503,-1.1253754139713492,-0.49941769452584023
70,70,70,03-11,5.694218160743812,-0.1378064440928722,-0.8378081241767986
71,71,71,03-12,5.518740024623375,-0.3768621843826606,-0.5557703111060314
72,72,72,03-13,4.953591562681426,-1.1467699742080584,-0.4367452632481274
73,73,73,03-14,5.689182815261987,-0.14466614905888864,-0.38465270534210166
74,74,74,03-15,6.023669463136968,0.3110085862250649,-0.1689612956854226
75,75,75,03-16,5.198726472577293,-0.8128200665351948,-0.43805256280062177
76,76,76,03-17,6.644183884165372,1.1563420138472025,-0.315892218886353
77,77,77,03-18,4.333586287446719,-1.991409787073856,-0.2250226328903214
78,78,78,03-19,5.491620127030194,-0.4138079107224459,-0.22424412787861
79,79,79,03-20,6.089398067854291,0.4005513669173008,-0.052263053993445586
80,80,80,03-21,6.027098218495443,0.31567961629533325,-0.22066765508149064
81,81,81,03-22,5.956179565068022,0.21906637677579172,0.24537904273191913
82,82,82,03-23,5.902482585283022,0.1459144073189322,0.24347040427078315
83,83,83,03-24,6.3861872192188525,0.8048703998066024,0.3775843550929274
84,84,84,03-25,5.4832139456279325,-0.4252597414892619,0.39515059513093426
85,85,85,03-26,6.680073684080608,1.205235071850166,0.4443122004096158
86,86,86,03-27,6.104464887627348,0.42107705652337424,0.4291386412905877
87,87,87,03-28,6.1727011224052575,0.5140360084478803,0.33070699615107735
88,88,88,03-29,5.8356539568813135,0.054873052604763835,0.37785577279347665
89,89,89,03-30,5.952666528101084,0.21428052896954008,0.0455428179960341
90,90,90,03-31,5.690870438683596,-0.14236708163486608,-0.0755229021805406
91,91,91,04-01,5.216473826260619,-0.7886426569344892,-0.13976661202658944
92,92,92,04-02,5.571257354549633,-0.305317264536074,-0.06108452170757519
93,93,93,04-03,5.889753728272464,0.12857374937158733,-0.11425544383943576
94,94,94,04-04,6.182192045575698,0.5269655945188493,0.16108222215170723
95,95,95,04-05,5.718486810010396,-0.10474500382162327,0.26526098779438817
96,96,96,04-06,6.903535075976349,1.5096589143119918,0.40493362746222966
97,97,97,04-07,5.675306454905595,-0.1635700630784034,0.16302822641427184
98,98,98,04-08,6.186415002206798,0.5327185734709747,0.1410711504817693
99,99,99,04-09,4.824334202887163,-1.3228586569161596,0.1178393899101103
100,100,100,04-10,6.0854868983672725,0.3952231389238341,-0.2622951004732799
101,101,101,04-11,5.6161675926018715,-0.2441355672515773,-0.26743844353584106
102,102,102,04-12,5.22931570521264,-0.7711480279883495,-0.2708922537170163
103,103,103,04-13,5.6526537232970036,-0.19443012145376995,0.023755629813419128
104,104,104,04-14,6.1712034493102585,0.5119957123839232,-0.059943625145021634
105,105,105,04-15,6.122046477465706,0.44502864426645294,-0.04028171968368413
106,106,106,04-16,5.716851803381335,-0.10697239082681048,0.14021724268620947
107,107,107,04-17,5.702764162558721,-0.12616413448355232,0.03681265161972954
108,108,108,04-18,6.024283977882775,0.3118457462310122,0.00035063811985632426
109,109,109,04-19,5.1972307775527335,-0.8148576678526496,-0.20317961719381192
110,110,110,04-20,6.010614471348887,0.2932236313846839,-0.17508236213348827
111,111,111,04-21,5.2256419032873564,-0.7761528876155563,-0.2582563729589123
