,unnamed: 0,unnamed: 0,mth_day,rape,rape_norm,rape_ravg
45,45,45,02-15,5.583963035209104,-1.0427314100942904,-0.6645444024924104
46,46,46,02-16,6.492259436190651,0.11846092136265288,-0.5545906807888503
47,47,47,02-17,6.183830152585631,-0.27584397573027924,-0.48032204794493594
48,48,48,02-18,6.302036204654947,-0.12472594746730012,-0.5529784467548783
49,49,49,02-19,5.70244515933315,-0.8912604433494079,-0.5017028039941442
50,50,50,02-20,5.5377825889957775,-1.1017698252506494,-0.23623843272545975
51,51,51,02-21,5.824612997403505,-0.735077553529886,-0.13034276817264434
52,52,52,02-22,7.7381529534668605,1.7112471489747598,-0.3392903168840878
53,53,53,02-23,6.680826119854148,0.35953001158661324,0.030731634296342975
54,54,54,02-24,5.321390873056538,-1.3784112397359607,0.3728786281155882
55,55,55,02-25,7.439054663736258,1.3288712637331768,0.5591349475049934
56,56,56,02-26,7.143567649784559,0.9511121376648216,0.24480816178238887
57,57,57,02-27,6.698762472792487,0.3824603628065454,0.05431631689456375
58,58,58,02-28,6.2629353837173865,-0.17471356536086735,0.09957157131949633
59,59,59,02-29,5.786798218838704,-0.7834210577403375,-0.376967442752379
60,60,60,03-01,5.533785582904972,-1.1068797131863652,-0.7916030883516071
61,61,61,03-02,5.2025328076246256,-1.530362820698075,-0.7388701360860681
62,62,62,03-03,5.197574443936022,-1.5367017359305468,-0.9057329922053493
63,63,63,03-04,6.946251968503287,0.6988580763997798,-0.8907454340165183
64,64,64,03-05,5.479804488525463,-1.1758907020765543,-0.7159307674075643
65,65,65,03-06,5.857138737598432,-0.6934957086073521,-0.7940780337513628
66,66,66,03-07,6.354236398251697,-0.05799171353264153,-0.6211837383579643
67,67,67,03-08,4.835767308867538,-1.999246418760865,-0.9322941662789077
68,68,68,03-09,6.0090124564090885,-0.4993359635701558,-0.8682916768754763
69,69,69,03-10,5.486129604619591,-1.1678044911258814,-0.7183413364822898
70,70,70,03-11,5.7801848606868464,-0.7918757656559653,-1.0169648058623497
71,71,71,03-12,6.560894786353253,0.20620633375176686,-0.7885447734533511
72,72,72,03-13,4.952718586919564,-1.849732529813,-0.6635914664956253
73,73,73,03-14,5.907802084134438,-0.6287262243068741,-0.3744107091806068
74,74,74,03-15,6.595450908985037,0.2503838781761983,-0.21168063942003737
75,75,75,03-16,6.843330305933845,0.5672800527642293,-0.5997255750960313
76,76,76,03-17,6.543919511825379,0.18450465290745105,0.056201850737398994
77,77,77,03-18,4.739698716010323,-2.1220632803041966,0.22723755184775074
78,78,78,03-19,8.031157037036147,2.0858320251875817,0.1655173900570511
79,79,79,03-20,6.7105172289871575,0.3974879823552365,0.2522273589928685
80,80,80,03-21,6.305782095453589,-0.1199370925679996,0.29324739954993667
81,81,81,03-22,7.250282800779244,1.0875398663791338,0.9540323738243974
82,82,82,03-23,6.7364372586108106,0.4306248962498597,0.5886091882632011
83,83,83,03-24,7.8409349076227315,1.842646565342568,0.49248108885487274
84,84,84,03-25,6.316130738865555,-0.10670708817959576,0.3219382209564455
85,85,85,03-26,6.259362991947563,-0.17928061409473384,0.29487181858210093
86,86,86,03-27,5.5053799453764025,-1.1431942999585634,0.31565540682484766
87,87,87,03-28,7.123253116558253,0.9251414521330668,0.11010898665807622
88,88,88,03-29,6.8339800577955945,0.5553264257063402,0.05344310334699315
89,89,89,03-30,6.876251959168164,0.6093680443419397,0.10316237532243604
90,90,90,03-31,6.050182972200655,-0.4467023880460942,0.26076402748780253
91,91,91,04-01,6.492708500204867,0.11903501775792345,0.06918381945297884
92,92,92,04-02,6.2450455954463076,-0.19758438696636452,-0.09515087123816317
93,93,93,04-03,6.224117243490636,-0.2243397960758753,-0.2948608590553379
94,94,94,04-04,6.062714502206374,-0.4306817184405118,-0.10041553553009129
95,95,95,04-05,5.93896090964765,-0.5888918825611086,-0.23746862014757397
96,96,96,04-06,6.962765579376904,0.7199695531053854,-0.28000528644014633
97,97,97,04-07,5.849482635914383,-0.7032834899469728,-0.3686368148776915
98,98,98,04-08,6.0454099286064125,-0.4528043847217986,-0.1372117630507926
99,99,99,04-09,5.808146368834713,-0.7561289667011462,-0.07839251954865654
100,100,100,04-10,7.148852617195129,0.9578685925208816,-0.3843871864595592
101,101,101,04-11,6.2150149572027935,-0.2359764215482923,-0.3162633100563977
102,102,102,04-12,5.526652815907319,-1.1159984483600307,-0.20383879441643168
103,103,103,04-13,6.169205751964936,-0.2945402315280036,-0.11409992682052805
104,104,104,04-14,6.5730474965005365,0.22174270911799765,-0.2796485273181801
105,105,105,04-15,6.229314274912333,-0.2176957611257245,-0.24992567757310738
106,106,106,04-16,6.371889866342904,-0.0354230104650305,-0.19110633809695274
107,107,107,04-17,6.354512041634062,-0.05763932307785634,-0.13444992362550964
108,108,108,04-18,5.802707313893559,-0.7630824115031025,-0.08143807520380673
109,109,109,04-19,6.435109078896296,0.0453982553006549,-0.05231281698778036
110,110,110,04-20,6.821845924597618,0.5398137996482151,0.11381154959166152
111,111,111,04-21,6.366006706468871,-0.04294421182956632,-0.02678619862679671
112,112,112,04-22,7.1515548375546505,0.9613231890116208,0.07392369357228212
113,113,113,04-23,5.694650146752074,-0.9012258123886058,0.17820676276622946
114,114,114,04-24,6.275365099255732,-0.1588230583086295,0.13151666836440604
115,115,115,04-25,6.924536715642713,0.6710966704643389,0.22059075004163045
116,116,116,04-26,6.602717136586477,0.25967323323727465,0.09707971833171308
117,117,117,04-27,6.784054598879495,0.4915002782337802,0.2938971375300056
118,118,118,04-28,6.571885358806656,0.2202569987521166,0.31167360820388346
119,119,119,04-29,6.618365617473375,0.2796787028011494,0.14345767682740052
120,120,120,04-30,6.358794711549049,-0.05216423426536233,-0.18607493166109448
121,121,121,05-01,6.135055485438683,-0.33819891779455885,-0.1815817927728849
122,122,122,05-02,5.056134675502116,-1.7175224176936954,-0.1686339528944515
123,123,123,05-03,6.805142071319915,0.5184591115630378,-0.5097914269405819
124,124,124,05-04,6.632652947655494,0.2979440380227171,-0.6721109394715393
125,125,125,05-05,5.0172246310085695,-1.767266141475633,-0.6429542185986471
126,126,126,05-06,5.596986912546642,-1.0260813094511068,-0.5365983398511496
127,127,127,05-07,6.271895579448142,-0.1632585925572047,-0.824452466471985
128,128,128,05-08,5.555290547992463,-1.07938714520871,-0.7936978549626774
129,129,129,05-09,5.454167593787795,-1.2086656481619744,-0.40670875636334314
130,130,130,05-10,6.7769923590901575,0.482471707078562,-0.14934026652476137
131,131,131,05-11,6.833465382628978,0.5546684501203729,-0.16720176405258946
132,132,132,05-12,6.804884347176442,0.5181296295803839,0.04152859695851289
133,133,133,05-13,6.188066913957501,-0.2704275777241733,0.47251910443022993
134,134,134,05-14,6.534916561078961,0.17299502085790408,0.5221658395598915
135,135,135,05-15,7.476918431123756,1.3772773966683278,0.6513467713496051
136,136,136,05-16,7.009997433015385,0.7803521178565308,0.941640295885667
137,137,137,05-17,7.43974518094363,1.3297540408586543,1.140312380982082
138,138,138,05-18,8.167307555226008,2.259890776796756,1.5033185662340875
139,139,139,05-19,7.120486815364324,0.921604932854318,1.7225644092395405
140,140,140,05-20,8.238599246537671,2.3510321323699377,1.6457567980154686
141,141,141,05-21,8.505896343243574,2.6927524547010453,1.4883075363163203
142,142,142,05-22,6.649519285065776,0.3195064505120989,1.28392352259521
143,143,143,05-23,6.700794739069267,0.385058470663765,1.2495931900402597
144,144,144,05-24,7.208080083331882,1.0335866944700942,0.8074570233816573
145,145,145,05-25,6.959365612651745,0.7156229375246163,0.23434959151079715
146,146,146,05-26,6.1635389242778125,-0.3017848675816785,0.09527528069475684
147,147,147,05-27,5.816153721066871,-0.7458921365241149,-0.009837910385666171
148,148,148,05-28,5.9968072791673,-0.5149394143841429,0.020922401945238273
149,149,149,05-29,6.207471123845718,-0.24562067581877314,0.2765396310929455
150,150,150,05-30,7.352446250208856,1.2181485684555209,0.5973771659560422
151,151,151,05-31,8.159043924197745,2.24932631241086,0.7075728498960797
152,152,152,06-01,7.6693131374969346,1.6232403415969012,0.8119968578529648
153,153,153,06-02,6.333330800599527,-0.08471803288388882,1.0602142387019133
154,154,154,06-03,6.486896378279598,0.11160463335716778,0.9386062624923128
155,155,155,06-04,7.372420017729413,1.2436836092749175,0.7639534821776545
156,156,156,06-05,6.781708307167633,0.4885007111979184,0.6149587288044615
157,157,157,06-06,7.339352883443878,1.2014096305229092,0.8168753891200496
158,158,158,06-07,6.970041907807338,0.7292718213577438,0.7734780295699423
159,159,159,06-08,7.280978339570532,1.12678192900964,0.757931222574174
160,160,160,06-09,6.283221253546345,-0.14877952394347765,0.9866341819424201
161,161,161,06-10,7.299454798488117,1.1504027673003088,1.0147226292493323
162,162,162,06-11,7.855070932430763,1.8607184674073949,0.9814426595691286
163,163,163,06-12,7.471179291043475,1.3699403143643825,0.9874278601777314
164,164,164,06-13,6.813850331960242,0.5295920032765226,1.1071585442386918
165,165,165,06-14,7.309068446737148,1.1626931326612568,0.9380396063744841
166,166,166,06-15,6.84514857500831,0.5696045804222851,0.7107204237859462
167,167,167,06-16,6.505735523367788,0.13568914011506208,0.5246038978124008
168,168,168,06-17,6.788202732430639,0.4968033718761679,0.5647608725517383
169,169,169,06-18,6.597685902607874,0.2532411585231092,0.7140323146261501
170,170,170,06-19,7.002317485808646,0.7705338517125477,0.6639195048590018
171,171,171,06-20,8.009638248651349,2.058321785107728,0.9621765312307525
172,172,172,06-21,6.609956091274991,0.26892772181939506,0.9659184867300614
173,173,173,06-22,7.905533522107662,1.9252312983455664,0.8243719556592694
174,174,174,06-23,6.8057647053471735,0.5192551048720214,0.7891650606119122
175,175,175,06-24,5.933371122393756,-0.5960380279016426,0.6508158751898498
176,176,176,06-25,6.837082346745371,0.559292481428405,0.940716978301079
177,177,177,06-26,7.360329445311666,1.228226672575354,0.7310178910762843
178,178,178,06-27,7.97053756324938,2.00833434048677,0.8111827161565993
179,179,179,06-28,6.921361024293716,0.6670367749967978,1.1954450556723544
180,180,180,06-29,7.1819991333565625,1.000244055353911,0.9956216606828477
181,181,181,06-30,7.736814482600884,1.7095360091928875,1.0894309394966368
182,182,182,07-01,5.899259047792867,-0.6396478885086346,0.9084881074891441
183,183,183,07-02,7.800600852641736,1.7910823454580882,0.8665710853268903
184,184,184,07-03,7.121325669697144,0.9226773484418144,0.5453192362401018
185,185,185,07-04,6.7246335089367975,0.41553464202327495,0.24610489787016895
186,186,186,07-05,5.674280435448419,-0.9272670391668192,0.4951727555689078
187,187,187,07-06,6.332523569023339,-0.08575002102670981,0.19941253765410494
188,188,188,07-07,7.068199451304327,0.8547592576837981,0.2125767298874003
189,189,189,07-08,6.412521027062067,0.016521037969271145,0.26849632675707896
190,190,190,07-09,7.183108656563733,1.0016625018415868,0.6342127690644198
191,191,191,07-10,6.987078758729344,0.7510522232413468,0.71273125628722
192,192,192,07-11,7.390683063998765,1.2670316146772265,0.615030078034394
193,193,193,07-12,6.701031304165728,0.3853609023100904,0.6813150720104532
194,194,194,07-13,6.60966234504896,0.2685521881668425,0.27632048736362286
195,195,195,07-14,6.723613788372319,0.4142310018256259,0.008897370620425615
196,196,196,07-15,5.282363463783208,-1.4283050060393945,-0.27382118782355364
197,197,197,07-16,5.731992338175657,-0.8534864772178368,-0.064193630899689
198,198,198,07-17,6.0638111470795675,-0.4292797359866489,-0.14129321808022297
199,199,199,07-18,7.684868091625055,1.643126243853278,-0.27900314809983756
200,200,200,07-19,6.24781387779956,-0.19404533491636133,-0.0993005357986096
201,201,201,07-20,6.077305177329578,-0.41202857829206174,0.10383293367393347
202,202,202,07-21,6.1257546828522775,-0.3500893322320271,0.3350939182412415
203,203,203,07-22,6.685350679817343,0.3653143396174217,-0.0020824652678627467
204,204,204,07-23,7.149179251636622,0.9582861714171992,0.10078451089161718
205,205,205,07-24,6.102411401166023,-0.3799320572013475,-0.029888479152215097
206,206,206,07-25,6.730595420672546,0.4231565220405182,-0.025823677724294725
207,207,207,07-26,5.4640227605568565,-1.1960665185550554,-0.2570001720203539
208,208,208,07-27,6.144831855897603,-0.3257005236645048,-0.4931990850769136
209,209,209,07-28,5.600379110135076,-1.0217446261589336,-0.43287167128929194
210,210,210,07-29,6.040636161057413,-0.4589073069221586,-0.6263954569131337
211,211,211,07-30,6.385543685143839,-0.017967574475617563,-0.5500473641244344
212,212,212,07-31,5.8223378311692775,-0.7379861917025327,-0.3681857816206231
213,213,213,08-01,5.822344268664503,-0.7379779618228591,0.006925554545129664
214,214,214,08-02,6.998355685103903,0.7654689713583629,0.04236271131118835
215,215,215,08-03,7.360874425390433,1.228923390835583,0.25882185806244495
216,216,216,08-04,6.206951978409967,-0.2462843663258065,0.41936061738448377
217,217,217,08-05,7.40144290507936,1.2807873060319221,0.6110937492448266
218,218,218,08-06,6.575788091010188,0.2252463642297005,0.46136595691633214
219,219,219,08-07,6.7221978531219415,0.4124208293391976,0.18680050136415383
220,220,220,08-08,6.295644112448671,-0.13289778261260374,0.18371490518564934
221,221,221,08-09,6.0722671463585565,-0.4184693424774867,-0.1016580648517051
222,222,222,08-10,6.192470470939273,-0.26479794339683344,-0.07474811465976136
223,223,223,08-11,6.062113142383858,-0.4314505141922044,-0.06666278471049901
224,224,224,08-12,6.702083504342452,0.386706065381363,0.21255469921198392
225,225,225,08-13,6.760144414917344,0.4609328090347717,0.41394652017186434
226,226,226,08-14,7.606084573692717,1.542407120922294,0.6131862433096771
227,227,227,08-15,7.0174514773752765,0.7898815832817957,0.5113664296248377
228,228,228,08-16,7.127554445692573,0.9306403954300432,0.21422071701978482
229,229,229,08-17,5.584246206064115,-1.0423693963012408,-0.038708232216751855
230,230,230,08-18,5.3075011908976375,-1.3961682102489543,-0.34504253069368457
231,231,231,08-19,5.573082901994621,-1.0566408863844483,-0.4685144042812839
232,232,232,08-20,6.1683778307208845,-0.29559866993930234,-0.6835161252153608
233,233,233,08-21,6.437965777906253,0.04905034175619967,-0.5342836644018552
234,234,234,08-22,6.1184953051577535,-0.3593699301744185,-0.23255479544073362
235,235,235,08-23,6.284633058756072,-0.14697463142020686,0.1781082947820417
236,236,236,08-24,6.723593452232635,0.4142050035177749,0.4945586918886266
237,237,237,08-25,7.500431869571599,1.4073376549522036,0.6643330669970225
238,238,238,08-26,7.653562062451668,1.6031037127002068,0.46170556109701383
239,239,239,08-27,7.234761190926419,1.0676965924065749,0.5243463639350261
240,240,240,08-28,5.167511582497837,-1.5751349655744702,0.6949538488454756
241,241,241,08-29,6.5786226807903825,0.22887018560786634,0.622236108824814
242,242,242,08-30,7.524298866796878,1.437849912980473,0.44123644257779904
243,243,243,08-31,7.159148553660923,0.9710312148282332,0.30811459719821677
244,244,244,09-01,6.804083430993166,0.5171057152181177,0.46386551505508794
245,245,245,09-02,6.609985657495607,0.26896552012908137,0.6815553070582595
246,246,246,09-03,5.898491253857548,-0.6406294584332431,0.23678661928060304
247,247,247,09-04,7.600297639798157,1.5350089376268958,0.04658012528226755
248,248,248,09-05,5.436883436464901,-1.2307622136854657,-0.21604261276111503
249,249,249,09-06,6.266459878778408,-0.17020774916177975,-0.07584797802604927
250,250,250,09-07,5.5715264394321045,-1.0586307130421777,-0.02327919365156215
251,251,251,09-08,7.2679556356835215,1.1101333285394759,-0.5570479489690086
252,252,252,09-09,6.1452102668469575,-0.3252167521863204,-0.26353359636744433
253,253,253,09-10,5.095181684702579,-1.6676035942777825,-0.11358484502247769
254,254,254,09-11,6.814422830494124,0.5303239019239194,0.03003062212476461
255,255,255,09-12,6.970208469715568,0.7294847589080201,-0.11561279626334607
256,256,256,09-13,6.245551276152071,-0.1969379101587239,0.044762174674955635
257,257,257,09-14,6.584413094978364,0.2362728182108118,0.4266121774679154
258,258,258,09-15,6.897891825093268,0.6370330734434898,0.33456442911633016
259,259,259,09-16,6.887303319624863,0.6234964224799759,0.33845657591689243
260,260,260,09-17,6.382418744962664,-0.0219625881855916,0.5911825410278887
261,261,261,09-18,6.9884753295730055,0.7528376397113934,0.7059420276448075
262,262,262,09-19,7.43166013164317,1.3194178805072534,0.5612119354198893
263,263,263,09-20,7.123009290538079,0.9248297379123244,0.5347095019782849
264,264,264,09-21,6.218635762232357,-0.23134747990601945,0.552267985618773
265,265,265,09-22,6.762920488666658,0.4644818218303491,0.7986122081938394
266,266,266,09-23,6.464825287265637,0.08338831365733701,0.6206031619820592
267,267,267,09-24,8.144633003229638,2.230902975161792,0.3774950782527686
268,268,268,09-25,6.59621725984887,0.2513636032365721,0.418137573966445
269,269,269,09-26,5.982039660345392,-0.533818764463419,0.43207841007618725
270,270,270,09-27,6.4093815926185576,0.012507494376039159,0.3183072889122111
271,271,271,09-28,6.8283484677643065,0.5481268384888027,0.027456825697870224
272,272,272,09-29,5.930867748504332,-0.5992384133265201,-0.24902504826825025
273,273,273,09-30,6.779595936734692,0.4858001958757468,-0.0795923863360183
274,274,274,10-01,5.298615729472042,-1.407527640560151,-0.18254326838878987
275,275,275,10-02,6.7772313243241475,0.4827772071299728,-0.2631136800046
276,276,276,10-03,5.9262062575089205,-0.6051977979405903,-0.2541198887729209
277,277,277,10-04,6.450210516382446,0.06470436879394183,-0.3860250621215909
278,278,278,10-05,5.973077955989928,-0.5452756659364454,-0.053502912060862516
279,279,279,10-06,6.160530562406289,-0.3056308442162731,0.2141285467330292
280,280,280,10-07,6.859228888712517,0.5876052598042194,0.19199104696792127
281,281,281,10-08,8.033295548449349,2.088565959893323,0.07505732205932342
282,282,282,10-09,5.822309198501571,-0.7380227965312379,0.09696845071019007
283,283,283,10-10,5.901410053562043,-0.6368979806576454,-0.11583014163108903
284,284,284,10-11,6.075912596329252,-0.4138088940312454,-0.25674880738540523
285,285,285,10-12,5.161811278848791,-1.5824223982639478,-0.7590267883929153
286,286,286,10-13,6.197860844151782,-0.257906734721678,-0.7780215957158502
287,287,287,10-14,5.6759740087747685,-0.9251019261517364,-0.7505208958146454
288,288,288,10-15,5.733161614618826,-0.8519916404688476,-0.7404365390736704
289,289,289,10-16,6.030478009324704,-0.4718937812504171,-0.6492863181198146
290,290,290,10-17,6.123241112127572,-0.3533027535853939,-0.5698901594149047
291,291,291,10-18,5.5896030342620335,-1.0355210725408133,-0.6235728841036804
292,292,292,10-19,6.570487720422723,0.21847021750778145,-0.3344782665711496
293,293,293,10-20,5.424026983417551,-1.2471982742843908,-0.3984160473379774
294,294,294,10-21,7.089958039471919,0.8825760647263377,-0.1375146973239025
295,295,295,10-22,5.730401331668433,-0.8555204658513839,0.03463918966055831
296,296,296,10-23,7.34771918079521,1.2121053464990557,-0.031848021035070624
297,297,297,10-24,6.397566117001878,-0.002597750634048455,0.1428910909011796
298,298,298,10-25,6.2584459033171775,-0.18045304666599216,0.14538661062433136
299,299,299,10-26,6.24412320098352,-0.19876360266688936,0.3779670902877186
300,300,300,10-27,7.101670164268367,0.8975491830652481,0.1269127865088773
301,301,301,10-28,6.821962170785028,0.5399624121289394,0.2667121921909363
302,302,302,10-29,6.169455867840985,-0.294220476173992,0.43303066877663055
303,303,303,10-30,7.053681182183473,0.8361986834583052,0.5039114532443852
304,304,304,10-31,7.039021883404702,0.8174578128481734,0.3505715385754384
305,305,305,11-01,6.576785205476947,0.22652110413963925,0.25735615018570596
306,306,306,11-02,6.382005959566617,-0.022490304948433428,0.19768582122577058
307,307,307,11-03,6.384478046078867,-0.019329918209455257,0.16345746800981548
308,308,308,11-04,5.889407454301988,-0.6522424499336041,0.44306690061570486
309,309,309,11-05,6.893038595101093,0.6308285641625746,0.5483284160130265
310,310,310,11-06,8.351301862025139,2.4951144084835097,0.6013489698839898
311,311,311,11-07,7.070804945396987,0.8580901965235688,0.6025193575806563
312,312,312,11-08,6.6308452446071255,0.2956330182773462,0.7832397487083665
313,313,313,11-09,6.389970980731484,-0.012307592029455987,0.509719244653361
314,314,314,11-10,6.737575374801367,0.43207989683265774,0.14444368026919285
315,315,315,11-11,5.609335545928662,-1.0102944601674584,0.01925236823454768
316,316,316,11-12,6.6369683885322726,0.3034610221785004,-0.003572124284699459
317,317,317,11-13,6.483249472932473,0.10694232431569772,0.10005768177301666
318,318,318,11-14,6.523723949463276,0.1586860631618634,0.0985154417020589
319,319,319,11-15,6.876332683233629,0.6094712443168407,0.02982367207477758
320,320,320,11-16,6.7303372399913854,0.4228264564069114,0.09023334377853147
321,321,321,11-17,5.286947158892573,-1.4224450779311464,0.34527396060522736
322,322,322,11-18,6.9204867303602,0.6659190524010238,0.391102887588207
323,323,323,11-19,7.680221592497617,1.6371860252758732,0.46110592980308734
324,324,324,11-20,6.7388110542183925,0.4336596250597412,0.471096352058677
325,325,325,11-21,7.2048752144528505,1.0294894976061228,0.8232107949700258
326,326,326,11-22,6.777224896755287,0.4827689899404492,0.7328811183927516
327,327,327,11-23,6.939512057398501,0.6902415795369469,0.3429945433868331
328,328,328,11-24,6.496546003672716,0.12394099293737892,0.3684352212571265
329,329,329,11-25,5.850382228550549,-0.7021334247596379,0.358589162632567
330,330,330,11-26,6.858210789415362,0.5863036922815019,0.4128411254517708
331,331,331,11-27,7.158665093853863,0.9704131458587658,0.25502505688279564
332,332,332,11-28,7.031843505094045,0.8082807668556723,0.3914544818566865
333,333,333,11-29,6.198840095234897,-0.2566548318769044,0.6210565809865621
334,334,334,11-30,7.13684487062934,0.9425175427807242,0.3326719268637424
335,335,335,12-01,6.927964751176125,0.6754791700196157,0.4622326331845538
336,336,336,12-02,5.504746407975234,-1.144004232455416,0.19642799449917772
337,337,337,12-03,7.76672727307357,1.747777383783634,0.33368097886924436
338,338,338,12-04,5.7843530241026295,-0.7865470652565844,0.22762559238722002
339,339,339,12-05,6.843004141190435,0.5668630743434954,0.01684764338345109
340,340,340,12-06,6.6390992866977,0.30618522388857794,0.11949074774334599
341,341,341,12-07,5.938728873707737,-0.5891885240029979,-0.4003569993123574
342,342,342,12-08,5.9864772621155975,-0.5281456062960467,-0.2691811284109554
343,343,343,12-09,5.32694623981464,-1.3713090985505865,-0.39217552919821475
344,344,344,12-10,6.399995591871938,0.0005081601518275817,-0.43756553571055096
345,345,345,12-11,6.265759346079978,-0.17110333038006062,-0.4750432906716149
346,346,346,12-12,6.426072150164912,0.0338451848145609,-0.32870051413833123
347,347,347,12-13,5.7628359969163885,-0.8140550537693818,0.04002355650262538
348,348,348,12-14,6.673302072961795,0.3499110529036553,0.021887120383213807
349,349,349,12-15,7.057464452408597,0.8410353252951531,0.08090966089207345
350,350,350,12-16,6.314876567877567,-0.10831045656464186,-0.2628732611902019
351,351,351,12-17,6.542767519499727,0.1830319126730972,-0.21403577865187848
352,352,352,12-18,4.8126092514504695,-2.028852347679091,-0.37581267464736956
353,353,353,12-19,5.9920430374084725,-0.5210301585394412,-0.6755447016485717
354,354,354,12-20,5.914040914853885,-0.6207503230692913,-0.5613102222937153
355,355,355,12-21,5.650743891091193,-0.9573568367120604,-0.6131846073937557
356,356,356,12-22,6.851008767454696,0.5770964195644966,-0.572766262835908
357,357,357,12-23,6.299307503377956,-0.12821439792714467,-0.6260965774205164
358,358,358,12-24,5.002303082012352,-1.786342280332005,-0.6195555630846133
359,359,359,12-25,5.74174996456513,-0.8410120460470912,-0.7644598598946288
360,360,360,12-26,5.944739600777594,-0.5815042370538737,-1.2892689834123925
361,361,361,12-27,4.970670240686559,-1.8267826175721529,-1.4810048898509498
362,362,362,12-28,4.387942700722888,-2.5717583215420845,-1.452549382515955
363,363,363,12-29,5.399440897101454,-1.2786298365584894,
364,364,364,12-30,5.135852198038899,-1.6156092363220362,
365,365,365,12-31,,,
